id	effList
1	1_01,1_02,1_03,1_11,1_12,1_13,1_31,1_1010,1_1011,skill_1010,skill_1011,Weapon_1
2	2_01,2_02,2_03,2_11,2_12,2_13,2_31,2_1020,2_1021,skill_1020,skill_1021,Weapon_2
3	3_01,3_02,3_03,3_11,3_12,3_13,3_31,3_1030,3_1031,skill_1030,skill_1031,Weapon_3
4	4_01,4_02,4_03,4_11,4_12,4_13,4_31,4_1040,4_1041,skill_1040,skill_1041,Weapon_4
5	5_01,5_02,5_03,5_11,5_12,5_13,5_31,5_1050,5_1051,skill_1050,skill_1051,Weapon_5
6	6_01,6_02,6_03,6_11,6_12,6_13,6_31,6_1060,6_1061,skill_1060,skill_1061,Weapon_6
7	7_01,7_02,7_03,7_11,7_12,7_13,7_31,7_1070,7_1071,skill_1070,skill_1071,Weapon_7
8	8_01,8_02,8_03,8_11,8_12,8_13,8_31,8_1080,8_1081,skill_1080,skill_1081,Weapon_8
9	9_01,9_02,9_03,9_11,9_12,9_13,9_31,9_1090,9_1091,skill_1090,skill_1091,Weapon_9
10	10_01,10_02,10_03,10_11,10_12,10_13,10_31,10_1100,10_1101,skill_1100,skill_1101,Weapon_10
11	11_01,11_02,11_03,11_11,11_12,11_13,11_31,11_1110,11_1111,skill_1110,skill_1111,Weapon_11
12	12_01,12_02,12_03,12_11,12_12,12_13,12_31,12_1120,12_1121,skill_1120,skill_1121,Weapon_12
13	13_01,13_02,13_03,13_11,13_12,13_13,13_31,13_1130,13_1131,skill_1130,skill_1131,Weapon_13
14	14_01,14_02,14_03,14_11,14_12,14_13,14_31,14_1140,14_1141,skill_1140,skill_1141,Weapon_14
15	15_01,15_02,15_03,15_11,15_12,15_13,15_31,15_1150,15_1151,skill_1150,skill_1151,Weapon_15
16	16_01,16_02,16_03,16_11,16_12,16_13,16_31,16_1160,16_1161,skill_1160,skill_1161,Weapon_16
17	17_01,17_02,17_03,17_11,17_12,17_13,17_31,17_1170,17_1171,skill_1170,skill_1171,Weapon_17
18	18_01,18_02,18_03,18_11,18_12,18_13,18_31,18_1180,18_1181,skill_1180,skill_1181,Weapon_18
19	19_01,19_02,19_03,19_11,19_12,19_13,19_31,19_1190,19_1191,skill_1190,skill_1191,Weapon_19
20	20_01,20_02,20_03,20_11,20_12,20_13,20_31,20_1200,20_1201,skill_1200,skill_1201,Weapon_20
21	21_01,21_02,21_03,21_11,21_12,21_13,21_31,21_1210,21_1211,skill_1210,skill_1211,Weapon_21
22	22_01,22_02,22_03,22_11,22_12,22_13,22_31,22_1220,22_1221,skill_1220,skill_1221,Weapon_22
23	23_01,23_02,23_03,23_11,23_12,23_13,23_31,23_1230,23_1231,skill_1230,skill_1231,Weapon_23
24	24_01,24_02,24_03,24_11,24_12,24_13,24_31,24_1240,24_1241,skill_1240,skill_1241,Weapon_24
96	96_01,96_02,96_03,96_11,96_12,96_13,96_31,96_1960,96_1961,skill_1960,skill_1961,Weapon_96
97	97_01,97_02,97_03,97_11,97_12,97_13,97_31,97_1970,97_1971,skill_1970,skill_1971,Weapon_97
98	98_01,98_02,98_03,98_11,98_12,98_13,98_31,98_1980,98_1981,skill_1980,skill_1981,Weapon_98
99	99_01,99_02,99_03,99_11,99_12,99_13,99_31,99_1990,99_1991,skill_1990,skill_1991,Weapon_99
