id	等级	消耗	属性
0	0	0	0
1	1	30000_5010_1	101_111
2	2	30000_5010_2	101_222
3	3	30000_5010_4	101_333
4	4	30000_5010_6	101_444
5	5	30000_5010_8	101_555
6	6	30000_5010_10	101_666
7	7	30000_5010_12	101_777
8	8	30000_5010_14	101_888
9	9	30000_5010_16	101_999
10	10	30000_5010_18	101_1110
11	11	30000_5010_20	101_1221
12	12	30000_5010_22	101_1332
13	13	30000_5010_24	101_1443
14	14	30000_5010_26	101_1554
15	15	30000_5010_28	101_1665
16	16	30000_5010_30	101_1776
17	17	30000_5010_32	101_1887
18	18	30000_5010_34	101_1998
19	19	30000_5010_36	101_2109
20	20	30000_5010_38	101_2220
21	21	30000_5010_40	101_2331
22	22	30000_5010_42	101_2442
23	23	30000_5010_44	101_2553
24	24	30000_5010_46	101_2664
25	25	30000_5010_48	101_2775
26	26	30000_5010_50	101_2886
27	27	30000_5010_52	101_2997
28	28	30000_5010_55	101_3108
29	29	30000_5010_59	101_3219
30	30	30000_5010_62	101_3330
31	31	30000_5010_65	101_3441
32	32	30000_5010_68	101_3552
33	33	30000_5010_71	101_3663
34	34	30000_5010_74	101_3774
35	35	30000_5010_77	101_3885
36	36	30000_5010_80	101_3996
37	37	30000_5010_83	101_4107
38	38	30000_5010_86	101_4218
39	39	30000_5010_89	101_4329
40	40	30000_5010_92	101_4440
41	41	30000_5010_95	101_4551
42	42	30000_5010_98	101_4662
43	43	30000_5010_101	101_4773
44	44	30000_5010_104	101_4884
45	45	30000_5010_107	101_4995
46	46	30000_5010_110	101_5106
47	47	30000_5010_113	101_5217
48	48	30000_5010_116	101_5328
49	49	30000_5010_119	101_5439
50	50	30000_5010_122	101_5550
51	51	30000_5010_125	101_5661
52	52	30000_5010_128	101_5772
53	53	30000_5010_131	101_5883
54	54	30000_5010_134	101_5994
55	55	30000_5010_137	101_6105
56	56	30000_5010_140	101_6216
57	57	30000_5010_143	101_6327
58	58	30000_5010_146	101_6438
59	59	30000_5010_149	101_6549
60	60	30000_5010_152	101_6660
61	61	30000_5010_155	101_6771
62	62	30000_5010_158	101_6882
63	63	30000_5010_161	101_6993
64	64	30000_5010_164	101_7104
65	65	30000_5010_167	101_7215
66	66	30000_5010_170	101_7326
67	67	30000_5010_173	101_7437
68	68	30000_5010_176	101_7548
69	69	30000_5010_179	101_7659
70	70	30000_5010_182	101_7770
71	71	30000_5010_185	101_7881
72	72	30000_5010_188	101_7992
73	73	30000_5010_191	101_8103
74	74	30000_5010_194	101_8214
75	75	30000_5010_197	101_8325
76	76	30000_5010_200	101_8436
77	77	30000_5010_203	101_8547
78	78	30000_5010_206	101_8658
79	79	30000_5010_209	101_8769
80	80	30000_5010_212	101_8880
81	81	30000_5010_215	101_8991
82	82	30000_5010_218	101_9102
83	83	30000_5010_221	101_9213
84	84	30000_5010_224	101_9324
85	85	30000_5010_227	101_9435
86	86	30000_5010_230	101_9546
87	87	30000_5010_233	101_9657
88	88	30000_5010_236	101_9768
89	89	30000_5010_239	101_9879
90	90	30000_5010_242	101_9990
91	91	30000_5010_245	101_10101
92	92	30000_5010_248	101_10212
93	93	30000_5010_251	101_10323
94	94	30000_5010_254	101_10434
95	95	30000_5010_257	101_10545
96	96	30000_5010_260	101_10656
97	97	30000_5010_263	101_10767
98	98	30000_5010_266	101_10878
99	99	30000_5010_269	101_10989
100	100	30000_5010_272	101_11100
101	101	30000_5010_273	101_11211
102	102	30000_5010_274	101_11322
103	103	30000_5010_275	101_11433
104	104	30000_5010_276	101_11544
105	105	30000_5010_277	101_11655
106	106	30000_5010_278	101_11766
107	107	30000_5010_279	101_11877
108	108	30000_5010_280	101_11988
109	109	30000_5010_281	101_12099
110	110	30000_5010_282	101_12210
111	111	30000_5010_283	101_12321
112	112	30000_5010_284	101_12432
113	113	30000_5010_285	101_12543
114	114	30000_5010_286	101_12654
115	115	30000_5010_287	101_12765
116	116	30000_5010_288	101_12876
117	117	30000_5010_289	101_12987
118	118	30000_5010_290	101_13098
119	119	30000_5010_291	101_13209
120	120	30000_5010_292	101_13320
121	121	30000_5010_293	101_13431
122	122	30000_5010_294	101_13542
123	123	30000_5010_295	101_13653
124	124	30000_5010_296	101_13764
125	125	30000_5010_297	101_13875
126	126	30000_5010_298	101_13986
127	127	30000_5010_299	101_14097
128	128	30000_5010_300	101_14208
129	129	30000_5010_301	101_14319
130	130	30000_5010_302	101_14430
131	131	30000_5010_303	101_14541
132	132	30000_5010_304	101_14652
133	133	30000_5010_305	101_14763
134	134	30000_5010_306	101_14874
135	135	30000_5010_307	101_14985
136	136	30000_5010_308	101_15096
137	137	30000_5010_309	101_15207
138	138	30000_5010_310	101_15318
139	139	30000_5010_311	101_15429
140	140	30000_5010_312	101_15540
141	141	30000_5010_313	101_15651
142	142	30000_5010_314	101_15762
143	143	30000_5010_315	101_15873
144	144	30000_5010_316	101_15984
145	145	30000_5010_317	101_16095
146	146	30000_5010_318	101_16206
147	147	30000_5010_319	101_16317
148	148	30000_5010_320	101_16428
149	149	30000_5010_321	101_16539
150	150	30000_5010_322	101_16650
151	151	30000_5010_323	101_16761
152	152	30000_5010_324	101_16872
153	153	30000_5010_325	101_16983
154	154	30000_5010_326	101_17094
155	155	30000_5010_327	101_17205
156	156	30000_5010_328	101_17316
157	157	30000_5010_329	101_17427
158	158	30000_5010_330	101_17538
159	159	30000_5010_331	101_17649
160	160	30000_5010_332	101_17760
161	161	30000_5010_333	101_17871
162	162	30000_5010_334	101_17982
163	163	30000_5010_335	101_18093
164	164	30000_5010_336	101_18204
165	165	30000_5010_337	101_18315
166	166	30000_5010_338	101_18426
167	167	30000_5010_339	101_18537
168	168	30000_5010_340	101_18648
169	169	30000_5010_341	101_18759
170	170	30000_5010_342	101_18870
171	171	30000_5010_343	101_18981
172	172	30000_5010_344	101_19092
173	173	30000_5010_345	101_19203
174	174	30000_5010_346	101_19314
175	175	30000_5010_347	101_19425
176	176	30000_5010_348	101_19536
177	177	30000_5010_349	101_19647
178	178	30000_5010_350	101_19758
179	179	30000_5010_351	101_19869
180	180	30000_5010_352	101_19980
181	181	30000_5010_353	101_20091
182	182	30000_5010_354	101_20202
183	183	30000_5010_355	101_20313
184	184	30000_5010_356	101_20424
185	185	30000_5010_357	101_20535
186	186	30000_5010_358	101_20646
187	187	30000_5010_359	101_20757
188	188	30000_5010_360	101_20868
