id	month	days	awards
1	1	1	30000_5012_20
2	1	2	30000_3001_1
3	1	3	30000_3501_1
4	1	4	30000_3801_1
5	1	5	30000_7185_1
6	1	6	10000_1001_100
7	1	7	30000_3001_1
8	1	8	30000_3501_1
9	1	9	30000_3801_1
10	1	10	30000_7185_1
11	1	11	30000_6004_5
12	1	12	30000_5001_100
13	1	13	30000_5003_20
14	1	14	30000_5005_20
15	1	15	30000_5006_20
16	1	16	10000_1001_100
17	1	17	30000_5007_20
18	1	18	30000_5008_20
19	1	19	30000_5010_20
20	1	20	30000_5011_20
21	1	21	30000_6004_5
22	1	22	30000_5013_20
23	1	23	30000_5012_20
24	1	24	30000_3001_1
25	1	25	30000_3501_1
26	1	26	30000_3801_1
27	1	27	30000_7185_1
28	1	28	10000_1001_100
29	1	29	30000_3001_1
30	1	30	30000_3501_1
31	1	31	10000_1001_100
32	2	1	30000_5012_20
33	2	2	30000_3001_1
34	2	3	30000_3501_1
35	2	4	30000_3801_1
36	2	5	30000_7185_1
37	2	6	10000_1001_100
38	2	7	30000_3001_1
39	2	8	30000_3501_1
40	2	9	30000_3801_1
41	2	10	30000_7185_1
42	2	11	30000_6004_5
43	2	12	30000_5001_100
44	2	13	30000_5003_20
45	2	14	30000_5005_20
46	2	15	30000_5006_20
47	2	16	10000_1001_100
48	2	17	30000_5007_20
49	2	18	30000_5008_20
50	2	19	30000_5010_20
51	2	20	30000_5011_20
52	2	21	30000_6004_5
53	2	22	30000_5013_20
54	2	23	30000_5012_20
55	2	24	30000_3001_1
56	2	25	30000_3501_1
57	2	26	30000_3801_1
58	2	27	30000_7185_1
59	2	28	10000_1001_100
60	3	1	30000_5012_20
61	3	2	30000_3001_1
62	3	3	30000_3501_1
63	3	4	30000_3801_1
64	3	5	30000_7185_1
65	3	6	10000_1001_100
66	3	7	30000_3001_1
67	3	8	30000_3501_1
68	3	9	30000_3801_1
69	3	10	30000_7185_1
70	3	11	30000_6004_5
71	3	12	30000_5001_100
72	3	13	30000_5003_20
73	3	14	30000_5005_20
74	3	15	30000_5006_20
75	3	16	10000_1001_100
76	3	17	30000_5007_20
77	3	18	30000_5008_20
78	3	19	30000_5010_20
79	3	20	30000_5011_20
80	3	21	30000_6004_5
81	3	22	30000_5013_20
82	3	23	30000_5012_20
83	3	24	30000_3001_1
84	3	25	30000_3501_1
85	3	26	30000_3801_1
86	3	27	30000_7185_1
87	3	28	10000_1001_100
88	3	29	30000_3001_1
89	3	30	30000_3501_1
90	3	31	10000_1001_100
91	4	1	30000_5012_20
92	4	2	30000_3001_1
93	4	3	30000_3501_1
94	4	4	30000_3801_1
95	4	5	30000_7185_1
96	4	6	10000_1001_100
97	4	7	30000_3001_1
98	4	8	30000_3501_1
99	4	9	30000_3801_1
100	4	10	30000_7185_1
101	4	11	30000_6004_5
102	4	12	30000_5001_100
103	4	13	30000_5003_20
104	4	14	30000_5005_20
105	4	15	30000_5006_20
106	4	16	10000_1001_100
107	4	17	30000_5007_20
108	4	18	30000_5008_20
109	4	19	30000_5010_20
110	4	20	30000_5011_20
111	4	21	30000_6004_5
112	4	22	30000_5013_20
113	4	23	30000_5012_20
114	4	24	30000_3001_1
115	4	25	30000_3501_1
116	4	26	30000_3801_1
117	4	27	30000_7185_1
118	4	28	10000_1001_100
119	4	29	30000_3001_1
120	4	30	30000_3501_1
121	5	1	30000_5012_20
122	5	2	30000_3001_1
123	5	3	30000_3501_1
124	5	4	30000_3801_1
125	5	5	30000_7185_1
126	5	6	10000_1001_100
127	5	7	30000_3001_1
128	5	8	30000_3501_1
129	5	9	30000_3801_1
130	5	10	30000_7185_1
131	5	11	30000_6004_5
132	5	12	30000_5001_100
133	5	13	30000_5003_20
134	5	14	30000_5005_20
135	5	15	30000_5006_20
136	5	16	10000_1001_100
137	5	17	30000_5007_20
138	5	18	30000_5008_20
139	5	19	30000_5010_20
140	5	20	30000_5011_20
141	5	21	30000_6004_5
142	5	22	30000_5013_20
143	5	23	30000_5012_20
144	5	24	30000_3001_1
145	5	25	30000_3501_1
146	5	26	30000_3801_1
147	5	27	30000_7185_1
148	5	28	10000_1001_100
149	5	29	30000_3001_1
150	5	30	30000_3501_1
151	5	31	10000_1001_100
152	6	1	30000_5012_20
153	6	2	30000_3001_1
154	6	3	30000_3501_1
155	6	4	30000_3801_1
156	6	5	30000_7185_1
157	6	6	10000_1001_100
158	6	7	30000_3001_1
159	6	8	30000_3501_1
160	6	9	30000_3801_1
161	6	10	30000_7185_1
162	6	11	30000_6004_5
163	6	12	30000_5001_100
164	6	13	30000_5003_20
165	6	14	30000_5005_20
