id	奖励
1	10000_1001_100
2	30000_7181_100
3	10000_1026_60
4	30000_7119_1
5	30000_6004_1
6	10000_1001_100
7	30000_7181_100
8	10000_1026_60
9	30000_7119_1
10	30000_6004_1
11	10000_1001_150
12	30000_7181_150
13	10000_1026_90
14	30000_7120_1
15	30000_6004_2
16	10000_1001_150
17	30000_7181_150
18	10000_1026_90
19	30000_7120_1
20	30000_6004_2
21	10000_1001_200
22	30000_7181_200
23	10000_1026_120
24	30000_7121_1
25	30000_6003_1
26	10000_1001_200
27	30000_7181_200
28	10000_1026_120
101	10000_1002_30000,30000_104037_300
102	10000_1002_30000,30000_104038_300
103	10000_1002_30000,30000_110102_1
104	10000_1001_100,30000_110101_1
1001	1_3,2_7,3_14,4_28
2001	108|1.0|0,170
