id	等级	消耗	属性
0	0	0	0
1	1	30000_5005_1	113_8,114_8
2	2	30000_5005_2	113_16,114_16
3	3	30000_5005_4	113_24,114_24
4	4	30000_5005_6	113_32,114_32
5	5	30000_5005_8	113_40,114_40
6	6	30000_5005_10	113_48,114_48
7	7	30000_5005_12	113_56,114_56
8	8	30000_5005_14	113_64,114_64
9	9	30000_5005_16	113_72,114_72
10	10	30000_5005_18	113_80,114_80
11	11	30000_5005_20	113_88,114_88
12	12	30000_5005_22	113_96,114_96
13	13	30000_5005_24	113_104,114_104
14	14	30000_5005_26	113_112,114_112
15	15	30000_5005_28	113_120,114_120
16	16	30000_5005_30	113_128,114_128
17	17	30000_5005_32	113_136,114_136
18	18	30000_5005_34	113_144,114_144
19	19	30000_5005_36	113_152,114_152
20	20	30000_5005_38	113_160,114_160
21	21	30000_5005_40	113_168,114_168
22	22	30000_5005_42	113_176,114_176
23	23	30000_5005_44	113_184,114_184
24	24	30000_5005_46	113_192,114_192
25	25	30000_5005_48	113_200,114_200
26	26	30000_5005_50	113_208,114_208
27	27	30000_5005_52	113_216,114_216
28	28	30000_5005_55	113_224,114_224
29	29	30000_5005_59	113_232,114_232
30	30	30000_5005_62	113_240,114_240
31	31	30000_5005_65	113_248,114_248
32	32	30000_5005_68	113_256,114_256
33	33	30000_5005_71	113_264,114_264
34	34	30000_5005_74	113_272,114_272
35	35	30000_5005_77	113_280,114_280
36	36	30000_5005_80	113_288,114_288
37	37	30000_5005_83	113_296,114_296
38	38	30000_5005_86	113_304,114_304
39	39	30000_5005_89	113_312,114_312
40	40	30000_5005_92	113_320,114_320
41	41	30000_5005_95	113_328,114_328
42	42	30000_5005_98	113_336,114_336
43	43	30000_5005_101	113_344,114_344
44	44	30000_5005_104	113_352,114_352
45	45	30000_5005_107	113_360,114_360
46	46	30000_5005_110	113_368,114_368
47	47	30000_5005_113	113_376,114_376
48	48	30000_5005_116	113_384,114_384
49	49	30000_5005_119	113_392,114_392
50	50	30000_5005_122	113_400,114_400
51	51	30000_5005_125	113_408,114_408
52	52	30000_5005_128	113_416,114_416
53	53	30000_5005_131	113_424,114_424
54	54	30000_5005_134	113_432,114_432
55	55	30000_5005_137	113_440,114_440
56	56	30000_5005_140	113_448,114_448
57	57	30000_5005_143	113_456,114_456
58	58	30000_5005_146	113_464,114_464
59	59	30000_5005_149	113_472,114_472
60	60	30000_5005_152	113_480,114_480
61	61	30000_5005_155	113_488,114_488
62	62	30000_5005_158	113_496,114_496
63	63	30000_5005_161	113_504,114_504
64	64	30000_5005_164	113_512,114_512
65	65	30000_5005_167	113_520,114_520
66	66	30000_5005_170	113_528,114_528
67	67	30000_5005_173	113_536,114_536
68	68	30000_5005_176	113_544,114_544
69	69	30000_5005_179	113_552,114_552
70	70	30000_5005_182	113_560,114_560
71	71	30000_5005_185	113_568,114_568
72	72	30000_5005_188	113_576,114_576
73	73	30000_5005_191	113_584,114_584
74	74	30000_5005_194	113_592,114_592
75	75	30000_5005_197	113_600,114_600
76	76	30000_5005_200	113_608,114_608
77	77	30000_5005_203	113_616,114_616
78	78	30000_5005_206	113_624,114_624
79	79	30000_5005_209	113_632,114_632
80	80	30000_5005_212	113_640,114_640
81	81	30000_5005_215	113_648,114_648
82	82	30000_5005_218	113_656,114_656
83	83	30000_5005_221	113_664,114_664
84	84	30000_5005_224	113_672,114_672
85	85	30000_5005_227	113_680,114_680
86	86	30000_5005_230	113_688,114_688
87	87	30000_5005_233	113_696,114_696
88	88	30000_5005_236	113_704,114_704
89	89	30000_5005_239	113_712,114_712
90	90	30000_5005_242	113_720,114_720
91	91	30000_5005_245	113_728,114_728
92	92	30000_5005_248	113_736,114_736
93	93	30000_5005_251	113_744,114_744
94	94	30000_5005_254	113_752,114_752
95	95	30000_5005_257	113_760,114_760
96	96	30000_5005_260	113_768,114_768
97	97	30000_5005_263	113_776,114_776
98	98	30000_5005_266	113_784,114_784
99	99	30000_5005_269	113_792,114_792
100	100	30000_5005_272	113_800,114_800
101	101	30000_5005_273	113_808,114_808
102	102	30000_5005_274	113_816,114_816
103	103	30000_5005_275	113_824,114_824
104	104	30000_5005_276	113_832,114_832
105	105	30000_5005_277	113_840,114_840
106	106	30000_5005_278	113_848,114_848
107	107	30000_5005_279	113_856,114_856
108	108	30000_5005_280	113_864,114_864
109	109	30000_5005_281	113_872,114_872
110	110	30000_5005_282	113_880,114_880
111	111	30000_5005_283	113_888,114_888
112	112	30000_5005_284	113_896,114_896
113	113	30000_5005_285	113_904,114_904
114	114	30000_5005_286	113_912,114_912
115	115	30000_5005_287	113_920,114_920
116	116	30000_5005_288	113_928,114_928
117	117	30000_5005_289	113_936,114_936
118	118	30000_5005_290	113_944,114_944
119	119	30000_5005_291	113_952,114_952
120	120	30000_5005_292	113_960,114_960
121	121	30000_5005_293	113_968,114_968
122	122	30000_5005_294	113_976,114_976
123	123	30000_5005_295	113_984,114_984
124	124	30000_5005_296	113_992,114_992
125	125	30000_5005_297	113_1000,114_1000
126	126	30000_5005_298	113_1008,114_1008
127	127	30000_5005_299	113_1016,114_1016
128	128	30000_5005_300	113_1024,114_1024
129	129	30000_5005_301	113_1032,114_1032
130	130	30000_5005_302	113_1040,114_1040
131	131	30000_5005_303	113_1048,114_1048
132	132	30000_5005_304	113_1056,114_1056
133	133	30000_5005_305	113_1064,114_1064
134	134	30000_5005_306	113_1072,114_1072
135	135	30000_5005_307	113_1080,114_1080
136	136	30000_5005_308	113_1088,114_1088
137	137	30000_5005_309	113_1096,114_1096
138	138	30000_5005_310	113_1104,114_1104
139	139	30000_5005_311	113_1112,114_1112
140	140	30000_5005_312	113_1120,114_1120
141	141	30000_5005_313	113_1128,114_1128
142	142	30000_5005_314	113_1136,114_1136
143	143	30000_5005_315	113_1144,114_1144
144	144	30000_5005_316	113_1152,114_1152
145	145	30000_5005_317	113_1160,114_1160
146	146	30000_5005_318	113_1168,114_1168
147	147	30000_5005_319	113_1176,114_1176
148	148	30000_5005_320	113_1184,114_1184
149	149	30000_5005_321	113_1192,114_1192
150	150	30000_5005_322	113_1200,114_1200
151	151	30000_5005_323	113_1208,114_1208
152	152	30000_5005_324	113_1216,114_1216
153	153	30000_5005_325	113_1224,114_1224
154	154	30000_5005_326	113_1232,114_1232
155	155	30000_5005_327	113_1240,114_1240
156	156	30000_5005_328	113_1248,114_1248
157	157	30000_5005_329	113_1256,114_1256
158	158	30000_5005_330	113_1264,114_1264
159	159	30000_5005_331	113_1272,114_1272
160	160	30000_5005_332	113_1280,114_1280
