mapId	group	levelIndex	levelLimit	nextMapId	dependMap	rewardItem	monsterId(headPic)	name	monsterLevel	isBoss	quality	stageName	exp	coin	怪物1	怪物2	怪物3	怪物4	怪物5	首次掉落
103001	1	1	30	103002	0	30000_101002_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1030011	@Map_Activite_Jingying_103001	30	0	1	@Map_103001	3000	3000	1030011	1030012	0	0	0	0
103002	1	1	30	103003	103001	30000_101002_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1030021	@Map_Activite_Jingying_103002	30	0	1	@Map_103001	3300	3300	1030021	1030022	0	0	0	0
103003	1	1	30	103004	103002	30000_101002_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1030031	@Map_Activite_Jingying_103003	31	1	5	@Map_103001	3600	3600	1030031	1030032	1030033	0	0	0
103004	1	1	30	103005	103003	30000_101002_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1030041	@Map_Activite_Jingying_103004	31	0	1	@Map_103001	3900	3900	1030041	1030042	0	0	0	0
103005	1	1	30	103006	103004	30000_101002_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1030051	@Map_Activite_Jingying_103005	31	0	1	@Map_103001	4200	4200	1030051	1030052	0	0	0	0
103006	1	1	30	103007	103005	30000_101002_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1030061	@Map_Activite_Jingying_103006	32	1	5	@Map_103001	4500	4500	1030061	1030062	1030063	0	0	0
103007	1	1	30	103008	103006	30000_101002_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1030071	@Map_Activite_Jingying_103007	32	0	1	@Map_103001	4800	4800	1030071	1030072	0	0	0	0
103008	1	1	30	103009	103007	30000_101002_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1030081	@Map_Activite_Jingying_103008	33	0	1	@Map_103001	5100	5100	1030081	1030082	0	0	0	0
103009	1	1	30	103501	103008	30000_101002_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1030091	@Map_Activite_Jingying_103009	34	1	5	@Map_103001	5400	5400	1030091	1030092	1030093	0	0	0
103501	1	2	35	103502	103009	30000_101002_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1035011	@Map_Activite_Jingying_103501	35	0	1	@Map_103501	5700	5700	1035011	1035012	0	0	0	0
103502	1	2	35	103503	103501	30000_101002_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1035021	@Map_Activite_Jingying_103502	35	0	1	@Map_103501	6000	6000	1035021	1035022	0	0	0	0
103503	1	2	35	103504	103502	30000_101002_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1035031	@Map_Activite_Jingying_103503	36	1	5	@Map_103501	6300	6300	1035031	1035032	1035033	0	0	0
103504	1	2	35	103505	103503	30000_101002_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1035041	@Map_Activite_Jingying_103504	36	0	1	@Map_103501	6600	6600	1035041	1035042	0	0	0	0
103505	1	2	35	103506	103504	30000_101002_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1035051	@Map_Activite_Jingying_103505	36	0	1	@Map_103501	6900	6900	1035051	1035052	0	0	0	0
103506	1	2	35	103507	103505	30000_101002_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1035061	@Map_Activite_Jingying_103506	37	1	5	@Map_103501	7200	7200	1035061	1035062	1035063	0	0	0
103507	1	2	35	103508	103506	30000_101002_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1035071	@Map_Activite_Jingying_103507	37	0	1	@Map_103501	7500	7500	1035071	1035072	0	0	0	0
103508	1	2	35	103509	103507	30000_101002_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1035081	@Map_Activite_Jingying_103508	38	0	1	@Map_103501	7800	7800	1035081	1035082	0	0	0	0
