id	报错内容
1	@ERRORCODE_1
2	@ERRORCODE_2
3	@ERRORCODE_3
4	@ERRORCODE_4
5	@ERRORCODE_5
6	@ERRORCODE_6
7	@ERRORCODE_7
8	@ERRORCODE_8
9	@ERRORCODE_9
10	@ERRORCODE_10
11	@ERRORCODE_11
12	@ERRORCODE_12
13	@ERRORCODE_13
14	@ERRORCODE_14
15	@ERRORCODE_15
16	@ERRORCODE_16
17	@ERRORCODE_17
18	@ERRORCODE_18
19	@ERRORCODE_19
20	@ERRORCODE_20
21	@ERRORCODE_21
22	@ERRORCODE_22
23	@ERRORCODE_23
24	@ERRORCODE_24
25	@ERRORCODE_25
28	@ERRORCODE_28
29	@ERRORCODE_29
30	@ERRORCODE_30
31	@ERRORCODE_31
32	@ERRORCODE_32
34	@ERRORCODE_34
35	@ERRORCODE_35
36	@ERRORCODE_36
37	@ERRORCODE_37
530	@ERRORCODE_530
3001	@ERRORCODE_3001
3002	@ERRORCODE_3002
3003	@ERRORCODE_3003
3004	@ERRORCODE_3004
3005	@ERRORCODE_3005
5001	@ERRORCODE_5001
5002	@ERRORCODE_5002
5003	@ERRORCODE_5003
5004	@ERRORCODE_5004
5005	@ERRORCODE_5005
5006	@ERRORCODE_5006
5007	@ERRORCODE_5007
5008	@ERRORCODE_5008
5009	@ERRORCODE_5009
5010	@ERRORCODE_5010
5011	@ERRORCODE_5011
5012	@ERRORCODE_5012
5013	@ERRORCODE_5013
5014	@ERRORCODE_5014
5015	@ERRORCODE_5015
5016	@ERRORCODE_5016
5017	@ERRORCODE_5017
5018	@ERRORCODE_5018
5019	@ERRORCODE_5019
5020	@ERRORCODE_5020
5021	@ERRORCODE_5021
5022	@ERRORCODE_5022
5023	@ERRORCODE_5023
5024	@ERRORCODE_5024
5025	@ERRORCODE_5025
5026	@ERRORCODE_5026
5027	@ERRORCODE_5027
5028	@ERRORCODE_5028
5029	@ERRORCODE_5029
5031	@ERRORCODE_5031
5032	@ERRORCODE_5032
5033	@ERRORCODE_5033
5034	@ERRORCODE_5034
5035	@ERRORCODE_5035
5036	@ERRORCODE_5036
5041	@ERRORCODE_5041
5045	@ERRORCODE_5045
5046	@ERRORCODE_5046
5047	@ERRORCODE_5047
6001	@ERRORCODE_6001
6002	@ERRORCODE_6002
6003	@ERRORCODE_6003
6004	@ERRORCODE_6004
6005	@ERRORCODE_6005
6006	@ERRORCODE_6006
6007	@ERRORCODE_6007
6008	@ERRORCODE_6008
6009	@ERRORCODE_6009
6010	@ERRORCODE_6010
6011	@ERRORCODE_6011
6012	@ERRORCODE_6012
6013	@ERRORCODE_6013
6014	@ERRORCODE_6014
6015	@ERRORCODE_6015
6016	@ERRORCODE_6016
8001	@ERRORCODE_8001
8002	@ERRORCODE_8002
8003	@ERRORCODE_8003
8004	@ERRORCODE_8004
8005	@ERRORCODE_8005
8006	@ERRORCODE_8006
8007	@ERRORCODE_8007
9001	@ERRORCODE_9001
9002	@ERRORCODE_9002
9003	@ERRORCODE_9003
9004	@ERRORCODE_9004
9005	@ERRORCODE_9005
9006	@ERRORCODE_9006
9007	@ERRORCODE_9007
9008	@ERRORCODE_9008
9009	@ERRORCODE_9009
9011	@ERRORCODE_9011
9012	@ERRORCODE_9012
9013	@ERRORCODE_9013
9014	@ERRORCODE_9014
9015	@ERRORCODE_9015
9016	@ERRORCODE_9016
9017	@ERRORCODE_9017
9018	@ERRORCODE_9018
9019	@ERRORCODE_9019
9020	@ERRORCODE_9020
9021	@ERRORCODE_9021
9022	@ERRORCODE_9022
9101	@ERRORCODE_9101
9102	@ERRORCODE_9102
9103	@ERRORCODE_9103
9104	@ERRORCODE_9104
9105	@ERRORCODE_9105
9106	@ERRORCODE_9106
9107	@ERRORCODE_9107
9108	@ERRORCODE_9108
9109	@ERRORCODE_9109
9110	@ERRORCODE_9110
9111	@ERRORCODE_9111
9115	@ERRORCODE_9115
9116	@ERRORCODE_9116
9117	@ERRORCODE_9117
9118	@ERRORCODE_9118
9119	@ERRORCODE_9119
9120	@ERRORCODE_9120
9122	@ERRORCODE_9122
9123	@ERRORCODE_9123
10000	@ERRORCODE_10000
10001	@ERRORCODE_10001
10002	@ERRORCODE_10002
10003	@ERRORCODE_10003
10004	@ERRORCODE_10004
10010	@ERRORCODE_10010
10011	@ERRORCODE_10011
10012	@ERRORCODE_10012
11001	@ERRORCODE_11001
11002	@ERRORCODE_11002
11003	@ERRORCODE_11003
11004	@ERRORCODE_11004
11005	@ERRORCODE_11005
11006	@ERRORCODE_11006
11007	@ERRORCODE_11007
11008	@ERRORCODE_11008
11009	@ERRORCODE_11009
11010	@ERRORCODE_11010
11011	@ERRORCODE_11011
11012	@ERRORCODE_11012
11013	@ERRORCODE_11013
12001	@ERRORCODE_12001
12002	@ERRORCODE_12002
12003	@ERRORCODE_12003
13001	@ERRORCODE_13001
13002	@ERRORCODE_13002
13003	@ERRORCODE_13003
13004	@ERRORCODE_13004
14001	@ERRORCODE_14001
14002	@ERRORCODE_14002
14003	@ERRORCODE_14003
14004	@ERRORCODE_14004
14005	@ERRORCODE_14005
14006	@ERRORCODE_14006
14007	@ERRORCODE_14007
15001	@ERRORCODE_15001
15002	@ERRORCODE_15002
15003	@ERRORCODE_15003
15004	@ERRORCODE_15004
16001	@ERRORCODE_16001
17001	@ERRORCODE_17001
17002	@ERRORCODE_17002
17003	@ERRORCODE_17003
17004	@ERRORCODE_17004
17006	@ERRORCODE_17006
17007	@ERRORCODE_17007
17008	@ERRORCODE_17008
18001	@ERRORCODE_18001
21001	@ERRORCODE_21001
21002	@ERRORCODE_21002
21003	@ERRORCODE_21003
21004	@ERRORCODE_21004
21005	@ERRORCODE_21005
21006	@ERRORCODE_21006
23001	@ERRORCODE_23001
23002	@ERRORCODE_23002
23003	@ERRORCODE_23003
23004	@ERRORCODE_23004
23005	@ERRORCODE_23005
25001	@ERRORCODE_25001
25002	@ERRORCODE_25002
25003	@ERRORCODE_25003
25004	@ERRORCODE_25004
25005	@ERRORCODE_25005
25006	@ERRORCODE_25006
25007	@ERRORCODE_25007
25008	@ERRORCODE_25008
25009	@ERRORCODE_25009
25010	@ERRORCODE_25010
25011	@ERRORCODE_25011
25012	@ERRORCODE_25012
25013	@ERRORCODE_25013
25014	@ERRORCODE_25014
25015	@ERRORCODE_25015
25016	@ERRORCODE_25016
25017	@ERRORCODE_25017
25018	@ERRORCODE_25018
25019	@ERRORCODE_25019
25020	@ERRORCODE_25020
25021	@ERRORCODE_25021
25022	@ERRORCODE_25022
25023	@ERRORCODE_25023
25024	@ERRORCODE_25024
25025	@ERRORCODE_25025
25026	@ERRORCODE_25026
26001	@ERRORCODE_26001
26002	@ERRORCODE_26002
26003	@ERRORCODE_26003
26004	@ERRORCODE_26004
26005	@ERRORCODE_26005
26006	@ERRORCODE_26006
27001	@ERRORCODE_27001
27002	@ERRORCODE_27002
27003	@ERRORCODE_27003
27004	@ERRORCODE_27004
28001	@ERRORCODE_28001
28002	@ERRORCODE_28002
28003	@ERRORCODE_28003
28004	@ERRORCODE_28004
28005	@ERRORCODE_28005
30001	@ERRORCODE_30001
30002	@ERRORCODE_30002
31001	@ERRORCODE_31001
31002	@ERRORCODE_31002
31003	@ERRORCODE_31003
31201	@ERRORCODE_31201
33001	@ERRORCODE_33001
33002	@ERRORCODE_33002
33003	@ERRORCODE_33003
33004	@ERRORCODE_33004
33005	@ERRORCODE_33005
33006	@ERRORCODE_33006
33007	@ERRORCODE_33007
33008	@ERRORCODE_33008
33009	@ERRORCODE_33009
33010	@ERRORCODE_33010
33011	@ERRORCODE_33011
33012	@ERRORCODE_33012
33013	@ERRORCODE_33013
33014	@ERRORCODE_33014
33015	@ERRORCODE_33015
33016	@ERRORCODE_33016
33017	@ERRORCODE_33017
33018	@ERRORCODE_33018
33019	@ERRORCODE_33019
33020	@ERRORCODE_33020
33021	@ERRORCODE_33021
33022	@ERRORCODE_33022
33023	@ERRORCODE_33023
33024	@ERRORCODE_33024
33025	@ERRORCODE_33025
33026	@ERRORCODE_33026
33027	@ERRORCODE_33027
33028	@ERRORCODE_33028
33031	@ERRORCODE_33031
33032	@ERRORCODE_33032
35001	@ERRORCODE_35001
35002	@ERRORCODE_35002
80101	@ERRORCODE_80101
80102	@ERRORCODE_80102
80103	@ERRORCODE_80103
80104	@ERRORCODE_80104
80105	@ERRORCODE_80105
80106	@ERRORCODE_80106
80107	@ERRORCODE_80107
80108	@ERRORCODE_80108
80109	@ERRORCODE_80109
80110	@ERRORCODE_80110
80111	@ERRORCODE_80111
80401	@ERRORCODE_80401
81301	@ERRORCODE_81301
81302	@ERRORCODE_81302
81303	@ERRORCODE_81303
81304	@ERRORCODE_81304
81501	@ERRORCODE_81501
81502	@ERRORCODE_81502
81503	@ERRORCODE_81503
81504	@ERRORCODE_81504
81601	@ERRORCODE_81601
81701	@ERRORCODE_81701
81702	@ERRORCODE_81702
81703	@ERRORCODE_81703
81801	@ERRORCODE_81801
81802	@ERRORCODE_81802
81901	@ERRORCODE_81901
81902	@ERRORCODE_81902
