id	兑换物品	兑换奖励	兑换最大次数	佣兵ID	排序ID
1	30000_299993_2	30000_391561_5	999	106	
2	30000_299993_2	30000_391501_5	999	107	
3	30000_299993_2	30000_391851_5	999	109	
4	30000_299993_2	30000_391291_5	999	116	
5	30000_299993_2	30000_391781_5	999	123	
6	30000_299993_2	30000_391431_5	999	125	
7	30000_299993_2	30000_391281_5	999	128	
8	30000_299993_2	30000_391251_5	999	129	
9	30000_299993_2	30000_391301_5	999	130	
10	30000_299993_2	30000_391321_5	999	133	
11	30000_299993_2	30000_391391_5	999	135	
12	30000_299993_2	30000_391361_5	999	138	
13	30000_299993_2	30000_391551_5	999	139	
14	30000_299993_2	30000_391111_5	999	140	
15	30000_299993_2	30000_391131_5	999	143	
16	30000_299993_2	30000_391151_5	999	145	
17	30000_299993_2	30000_391381_5	999	147	
18	30000_299993_2	30000_391761_5	999	148	
19	30000_299993_2	30000_391051_5	999	149	
20	30000_299993_2	30000_391511_5	999	151	
21	30000_299993_2	30000_391801_5	999	152	
22	30000_299993_2	30000_391711_5	999	156	
23	30000_299993_2	30000_391421_5	999	157	
24	30000_299993_2	30000_391191_5	999	159	
25	30000_299993_2	30000_391601_5	999	160	
26	30000_299993_2	30000_391071_5	999	161	
27	30000_299993_2	30000_391681_5	999	165	
28	30000_299993_2	30000_391201_5	999	166	
29	30000_299993_2	30000_391811_5	999	167	
30	30000_299993_2	30000_391331_5	999	168	
31	30000_299993_2	30000_391441_5	999	169	
32	30000_299993_2	30000_391061_5	999	171	
33	30000_299993_2	30000_391091_5	999	172	
34	30000_299993_2	30000_391581_5	999	173	
35	30000_299993_2	30000_391861_5	999	175	
36	30000_299993_2	30000_391121_5	999	176	
37	30000_299993_2	30000_391081_5	999	177	
38	30000_299993_2	30000_391181_5	999	178	
39	30000_299993_2	30000_391231_5	999	179	
40	30000_299993_2	30000_391401_5	999	180	
41	30000_299993_2	30000_391241_5	999	181	
42	30000_299993_2	30000_391451_5	999	182	
43	30000_299993_2	30000_391211_5	999	183	
44	30000_299993_2	30000_391631_5	999	184	
45	30000_299993_2	30000_391271_5	999	185	
46	30000_299993_2	30000_391351_5	999	186	
47	30000_299993_2	30000_391411_5	999	188	
48	30000_299993_2	30000_391461_5	999	189	
49	30000_299993_2	30000_391701_5	999	190	
50	30000_299993_2	30000_391471_5	999	191	
51	30000_299993_2	30000_391481_5	999	192	
52	30000_299993_2	30000_391491_5	999	193	
53	30000_299993_2	30000_391591_5	999	194	
54	30000_299993_2	30000_391621_5	999	195	
55	30000_299993_2	30000_391531_5	999	196	
56	30000_299993_2	30000_391651_5	999	197	
57	30000_299993_2	30000_391771_5	999	198	
58	30000_299993_2	30000_391831_5	999	199	
59	30000_299993_2	30000_391791_5	999	200	
60	30000_299993_2	30000_391841_5	999	201	
61	30000_299993_2	30000_391821_5	999	202	
62	30000_299997_1	70000_138_5	999	0	
63	30000_299997_1	70000_108_5	999	0	
64	30000_299997_1	70000_163_5	999	0	
65	30000_299997_1	70000_136_5	999	0	
66	30000_299997_1	70000_113_5	999	0	
67	30000_299997_1	70000_132_5	999	0	
68	30000_299999_2	70000_117_5	999	0	
69	30000_299999_2	70000_104_5	999	0	
70	30000_299999_8	30000_103103_1	999	0	
71	30000_299999_50	30000_104203_10	999	0	
72	30000_299999_5	30000_104202_3	999	0	
73	30000_299999_1	30000_104201_1	999	0	
74	30000_299999_50	30000_104004_10	999	0	
75	30000_299999_5	30000_104003_2	999	0	
76	30000_299999_1	30000_104002_1	999	0	
77	30000_299999_50	30000_104212_150	999	0	
78	30000_299999_5	30000_104212_15	999	0	
79	30000_299999_1	30000_104212_3	999	0	
80	30000_299998_1	70000_112_8	999	0	
81	30000_299998_1	70000_107_8	999	0	
82	30000_299998_1	10000_1020_80	999	0	
83	30000_299997_1	70000_170_5	999	0	
84	30000_299993_2	30000_391871_5	999	204	
85	30000_299993_2	30000_391881_5	999	207	
86	30000_299993_2	30000_391891_5	999	205	
87	30000_299993_2	30000_391901_5	999	206	
88	30000_299993_2	30000_391911_5	999	208	
89	30000_299993_2	30000_391891_5	999	137	
90	30000_299993_2	30000_391901_5	999	124	
91	30000_299993_2	30000_391881_5	999	155	
92	30000_299993_2	30000_391911_5	999	120	
93	30000_299993_2	30000_391491_5	999	209	
94	30000_299993_2	30000_391651_5	999	210	
95	30000_299993_2	30000_391451_5	999	211	
96	30000_299993_2	30000_391811_5	999	212	
97	30000_299993_2	30000_391961_5	999	213	
98	30000_299993_2	30000_391971_5	999	214	
99	30000_299993_2	30000_391981_5	999	215	
100	30000_299993_2	30000_391991_5	999	216	
