id	兑换物品	兑换奖励	兑换最大次数	是否为专武(填佣兵ID)	排序ID
	30000_299989_3	30000_111205_1	0	0	0
	30000_299989_3	30000_111206_1	0	0	0
	30000_299989_1	30000_312010_10	0	0	0
	30000_299989_1	30000_312020_10	0	0	0
	30000_299989_1	30000_312030_10	0	0	0
	30000_299989_1	30000_312040_10	0	0	0
	30000_299989_1	30000_312070_10	0	0	0
	30000_299989_1	30000_312090_10	0	0	0
	30000_299989_5	30000_111306_1	0	0	0
	30000_299989_1	30000_103002_1	0	0	0
	30000_299989_3	30000_501010_1	0	0	0
	30000_299989_3	30000_502010_1	0	0	0
	30000_299989_3	30000_503010_1	0	0	0
	30000_299989_3	30000_504010_1	0	0	0
	30000_299989_1	30000_299993_1	0	0	0
	30000_299988_10	30000_104203_1	0	0	0
	30000_299988_20	30000_110905_1	0	0	0
	30000_299988_15	30000_110906_1	0	0	0
	30000_299988_10	30000_309010_10	0	0	0
	30000_299988_10	30000_309020_10	0	0	0
	30000_299988_5	30000_309030_10	0	0	0
	30000_299988_5	30000_309040_10	0	0	0
	30000_299988_5	30000_309070_10	0	0	0
	30000_299988_5	30000_309090_10	0	0	0
	30000_299988_15	90000_101050_1	0	0	0
	30000_299988_15	90000_102050_1	0	0	0
	30000_299988_15	90000_103050_1	0	0	0
	30000_299988_15	90000_104050_1	0	0	0
	30000_299988_15	90000_105050_1	0	0	0
	30000_299988_15	90000_106050_1	0	0	0
	30000_299987_250	30000_110605_1	0	0	0
	30000_299987_200	30000_110606_1	0	0	0
	30000_299987_150	30000_306010_10	0	0	0
	30000_299987_150	30000_306020_10	0	0	0
	30000_299987_100	30000_306030_10	0	0	0
	30000_299987_100	30000_306040_10	0	0	0
	30000_299987_100	30000_306070_10	0	0	0
	30000_299987_100	30000_306090_10	0	0	0
	30000_299987_50	30000_102101_1	0	0	0
	30000_299987_100	30000_102102_1	0	0	0
	30000_299987_50	30000_299988_1	0	0	0
	30000_299987_200	30000_299989_1	0	0	0
43	30000_7009_20	30000_395011_10	6	0	101
44	30000_7009_10	30000_7008_1	40	0	102
45	30000_7009_20	30000_7007_1	5	0	103
46	30000_7009_20	30000_7002_1	5	0	104
47	30000_7009_3	30000_104101_1	10	0	105
48	30000_7010_30	30000_395011_10	12	0	201
49	30000_7010_20	30000_7008_1	30	0	202
50	30000_7010_5	90000_107030_1	100	0	203
51	30000_7010_3	90000_107020_1	250	0	204
52	30000_7010_5	30000_103003_1	30	0	205
53	30000_7010_1	30000_101002_1	30	0	206
54	30000_7011_40	30000_395011_10	23	0	301
55	30000_7011_30	30000_7008_1	30	0	302
56	30000_7011_3	30000_101001_1	50	0	303
57	30000_7011_3	30000_7010_1	300	0	304
58	30000_7011_5	30000_7009_1	150	0	305
59	30000_7011_3	30000_5003_10	10	0	306
60	30000_7011_3	30000_5004_10	10	0	307
61	30000_7011_3	30000_5005_10	10	0	308
62	30000_7011_3	30000_5006_10	10	0	309
63	30000_7011_3	30000_5007_10	10	0	310
64	30000_7011_3	30000_5008_10	10	0	311
	30000_299991_5	30000_299990_1	0	0	0
	30000_299991_400	30000_111205_5	0	0	0
	30000_299991_200	30000_111206_5	0	0	0
	30000_299991_150	30000_312010_50	0	0	0
	30000_299991_150	30000_312020_50	0	0	0
	30000_299991_150	30000_312030_50	0	0	0
	30000_299991_150	30000_312040_50	0	0	0
	30000_299991_150	30000_312070_50	0	0	0
	30000_299991_150	30000_312090_50	0	0	0
	30000_299991_100	30000_103104_1	0	0	0
	30000_299991_50	30000_103103_1	0	0	0
	30000_299991_10	30000_104101_2	0	0	0
	30000_299991_10	30000_104101_1	0	0	0
	10000_1001_50	30000_299990_1	0	0	0
	30000_7014_20	30000_395021_10	0	0	0
	30000_7014_20	30000_395031_10	0	0	0
	30000_7014_10	30000_7008_1	0	0	0
	30000_7014_20	30000_7017_1	0	0	0
	30000_7014_10	30000_313010_10	0	0	0
	30000_7014_10	30000_313040_10	0	0	0
	30000_7014_10	30000_313070_10	0	0	0
	30000_7014_10	30000_313020_10	0	0	0
	30000_7014_5	30000_104004_1	0	0	0
	30000_7014_3	30000_104101_1	0	0	0
	30000_7015_30	30000_395021_10	0	0	0
	30000_7015_30	30000_395031_10	0	0	0
	30000_7015_20	30000_7008_1	0	0	0
	30000_7015_5	90000_108030_1	0	0	0
	30000_7015_3	90000_108020_1	0	0	0
	30000_7015_5	30000_103003_1	0	0	0
	30000_7015_5	30000_104003_1	0	0	0
	30000_7016_40	30000_395021_10	0	0	0
	30000_7016_40	30000_395031_10	0	0	0
	30000_7016_30	30000_7008_1	0	0	0
	30000_7016_10	30000_104202_1	0	0	0
	30000_7016_3	30000_7015_1	0	0	0
	30000_7016_5	30000_7014_1	0	0	0
	30000_7016_3	30000_5003_10	0	0	0
	30000_7016_3	30000_5004_10	0	0	0
	30000_7016_3	30000_5005_10	0	0	0
	30000_7016_3	30000_5006_10	0	0	0
	30000_7016_3	30000_5007_10	0	0	0
	30000_7016_3	30000_5008_10	0	0	0
	30000_111309_2	70000_213_1	0	0	0
	30000_111309_2	70000_229_1	0	0	0
	30000_111309_1	30000_104101_1	0	0	0
	30000_111309_1	30000_104213_1	0	0	0
	30000_7020_20	30000_395041_10	0	0	0
	30000_7020_10	30000_7008_1	0	0	0
	30000_7020_20	30000_7023_1	0	0	0
	30000_7020_15	30000_103105_1	0	0	0
	30000_7020_5	30000_104004_1	0	0	0
	30000_7020_3	30000_104101_1	0	0	0
	30000_7021_30	30000_395041_10	0	0	0
