id	内容
AttactSkill	<p style="margin:2px" ><font color="#6f2f00" face = "HelveticaBD18" >[#v1#]</font><font color="#0036ff" face = "HelveticaBD18" >#v2#</font><font color="#6f2f00" face = "HelveticaBD18" >使用</font><font color="#00a51f" face = "HelveticaBD18" >#v3#</font><font color="#6f2f00" face = "HelveticaBD18" >對</font><font color="#ff0000" face = "HelveticaBD18" >#v4#</font><font color="#6f2f00" face = "HelveticaBD18" >造成</font><font color="#ff0000" face = "HelveticaBD18" >#v5#</font><font color="#6f2f00" face = "HelveticaBD18" >的傷害</font>#v6#<font color="#6f2f00" face = "HelveticaBD18" >！</font></p>
AttactSkillEnemy	<p style="margin:2px" ><font color="#6f2f00" face = "HelveticaBD18" >[#v1#]</font><font color="#ff0000" face = "HelveticaBD18" >#v2#</font><font color="#6f2f00" face = "HelveticaBD18" >使用</font><font color="#00a51f" face = "HelveticaBD18" >#v3#</font><font color="#6f2f00" face = "HelveticaBD18" >,</font><font color="#0036ff" face = "HelveticaBD18" >#v4#</font><font color="#6f2f00" face = "HelveticaBD18" >受到</font><font color="#ff0000" face = "HelveticaBD18" >#v5#</font><font color="#6f2f00" face = "HelveticaBD18" >的傷害</font>#v6#<font color="#6f2f00" face = "HelveticaBD18" >！</font></p>
HealSkill	<p style="margin:2px" ><font color="#6f2f00" face = "HelveticaBD18" >[#v1#]</font><font color="#0036ff" face = "HelveticaBD18" >#v2#</font><font color="#6f2f00" face = "HelveticaBD18" >使用</font><font color="#00a51f" face = "HelveticaBD18" >#v3#</font><font color="#6f2f00" face = "HelveticaBD18" >使</font><font color="#0036ff" face = "HelveticaBD18" >#v4#</font><font color="#6f2f00" face = "HelveticaBD18" >的HP恢復</font><font color="#00a51f" face = "HelveticaBD18" >#v5#</font><font color="#6f2f00" face = "HelveticaBD18" >！</font></p>
HealSkillEnemy	<p style="margin:2px" ><font color="#6f2f00" face = "HelveticaBD18" >[#v1#]</font><font color="#ff0000" face = "HelveticaBD18" >#v2#</font><font color="#6f2f00" face = "HelveticaBD18" >使用</font><font color="#00a51f" face = "HelveticaBD18" >#v3#</font><font color="#6f2f00" face = "HelveticaBD18" >使</font><font color="#ff0000" face = "HelveticaBD18" >#v4#</font><font color="#6f2f00" face = "HelveticaBD18" >的HP恢復</font><font color="#00a51f" face = "HelveticaBD18" >#v5#</font><font color="#6f2f00" face = "HelveticaBD18" >！</font></p>
AttactNormal	<p style="margin:2px" ><font color="#6f2f00" face = "HelveticaBD18" >[#v1#]</font><font color="#0036ff" face = "HelveticaBD18" >#v2#</font><font color="#6f2f00" face = "HelveticaBD18" >對</font><font color="#ff0000" face = "HelveticaBD18" >#v3#</font><font color="#6f2f00" face = "HelveticaBD18" >發起進攻,造成</font><font color="#ff0000" face = "HelveticaBD18" >#v4#</font><font color="#6f2f00" face = "HelveticaBD18" >的傷害</font>#v5#<font color="#6f2f00" face = "HelveticaBD18" >！</font></p>
AttactNormalEnemy	<p style="margin:2px" ><font color="#6f2f00" face = "HelveticaBD18" >[#v1#]</font><font color="#ff0000" face = "HelveticaBD18" >#v2#</font><font color="#6f2f00" face = "HelveticaBD18" >進攻</font><font color="#0036ff" face = "HelveticaBD18" >#v3#</font><font color="#6f2f00" face = "HelveticaBD18" >造成</font><font color="#ff0000" face = "HelveticaBD18" >#v4#</font><font color="#6f2f00" face = "HelveticaBD18" >的傷害</font>#v5#<font color="#6f2f00" face = "HelveticaBD18" >！</font></p>
AddBuff	<p style="margin:2px" ><font color="#00c200" face = "HelveticaBD22" >[#v1#]</font></p>
DeBuff	<p style="margin:2px" ><font color="#ff0000" face = "HelveticaBD22" >[#v1#]</font></p>
Victory	<p style="margin:2px" ><font color="#00a51f" face = "HelveticaBD18" >戰勝敵人！</font></p>
Lose	<p style="margin:2px" ><font color="#ff0000" face = "HelveticaBD18" >失敗了！</font></p>
