id	type(奖池)	万家灯火奖励	消耗金币或钻石
1	1	30000_111006_1	10000
2	1	30000_310010_10	10000
3	1	30000_104201_1	10000
4	1	30000_203001_1	10000
5	1	30000_103001_1	10000
6	1	30000_106001_2	10000
7	1	30000_101001_10	10000
8	1	10000_1011_30	10000
9	2	30000_311080_10	150
10	2	30000_311070_10	150
11	2	30000_104202_1	150
12	2	30000_203002_1	150
13	2	30000_103001_1	150
14	2	30000_201002_1	150
15	2	30000_101001_20	150
16	2	10000_1011_100	150
17	3	30000_312030_10	800
18	3	30000_312090_10	800
19	3	30000_104203_1	800
20	3	30000_203003_1	800
21	3	30000_103001_3	800
22	3	30000_201004_1	800
23	3	30000_101001_100	800
24	3	10000_1011_500	800
