id	awards
1	30000_5008_10
2	30000_5008_10
3	30000_5008_10
4	30000_5008_10
5	30000_5008_10
6	30000_5008_10
7	30000_5008_10
8	30000_5008_10
9	30000_5008_10
10	30000_5008_10
11	30000_5008_10
12	30000_5008_10
13	30000_5008_10
14	30000_5008_10
15	30000_5008_10
16	30000_5008_10
17	30000_5008_10
18	30000_5008_10
19	30000_5008_10
20	30000_5008_10
21	30000_5008_10
22	30000_5008_10
23	30000_5008_10
24	30000_5008_10
25	30000_5008_10
26	30000_5008_10
27	30000_5008_10
28	30000_5008_10
29	30000_5008_10
30	30000_5008_10
31	30000_5008_10
32	30000_5008_10
33	30000_5008_10
34	30000_5008_10
35	30000_5008_10
36	30000_5008_10
37	30000_5008_10
38	30000_5008_10
39	30000_5008_10
40	30000_5008_10
41	30000_5008_10
42	30000_5008_10
43	30000_5008_10
44	30000_5008_10
45	30000_5008_10
46	30000_5008_10
47	30000_5008_10
48	30000_5008_10
49	30000_5008_10
50	30000_5008_10
51	30000_5008_10
52	30000_5008_10
53	30000_5008_10
54	30000_5008_10
55	30000_5008_10
56	30000_5008_10
57	30000_5008_10
58	30000_5008_10
59	30000_5008_10
60	30000_5008_10
61	30000_5008_10
62	30000_5008_10
63	30000_5008_10
64	30000_5008_10
65	30000_5008_10
66	30000_5008_10
67	30000_5008_10
68	30000_5008_10
69	30000_5008_10
70	30000_5008_10
71	30000_5008_10
72	30000_5008_10
73	30000_5008_10
74	30000_5008_10
75	30000_5008_10
76	30000_5008_10
77	30000_5008_10
78	30000_5008_10
79	30000_5008_10
80	30000_5008_10
81	30000_5008_10
82	30000_5008_10
83	30000_5008_10
84	30000_5008_10
85	30000_5008_10
86	30000_5008_10
87	30000_5008_10
88	30000_5008_10
89	30000_5008_10
90	30000_5008_10
