id	awards
1	30000_6004_30
2	30000_6004_30
3	30000_6004_30
4	30000_6004_30
5	30000_6004_30
6	30000_6004_30
7	30000_6004_30
8	30000_6004_30
9	30000_6004_30
10	30000_6004_30
11	30000_6004_30
12	30000_6004_30
13	30000_6004_30
14	30000_6004_30
15	30000_6004_30
16	30000_6004_30
17	30000_6004_30
18	30000_6004_30
19	30000_6004_30
20	30000_6004_30
21	30000_6004_30
22	30000_6004_30
23	30000_6004_30
24	30000_6004_30
25	30000_6004_30
26	30000_6004_30
27	30000_6004_30
28	30000_6004_30
29	30000_6004_30
30	30000_6004_30
