id	繁中
3	<font color="#000000" face = "Barlow-SemiBold" size ="100">[System]:</font><font color="#f63345" face = "Barlow-SemiBold" size ="100">#v1#< /font>
4	<p style="margin:10"><font color="#2951EF" face = "Barlow-SemiBold" size ="100">#v1#<img src="#v3#"/>#v4#:</font ><font color="#000000" face = "Barlow-SemiBold" size ="100">#v2#</font></p>
5	<br/><font color="#351100" face = "Barlow-SemiBold" size ="100">Searching...(#v1#)</font>
6	<font color="#351100" face = "Barlow-SemiBold" >Searching for opponents...(#v1#)</font>
7	battle victory
8	<br/><font color="#351100" face = "Barlow-SemiBold" >Searching...(#v1#)</font>
9	<p style="margin:10"><font color="#D62CF7" face = "Barlow-SemiBold" size ="100">#v1#<img src="#v3#"/>#v4#:</font ><font color="#351100" face = "Barlow-SemiBold" size ="100">#v2#</font></p>
10	<font color="#dc1f1f" size ="100">#v1#</font>:<font face="font3" color="#00ff00" size ="100">[#v2#]</font> :<font face="font3" color="#00ff00" size ="100">#v3#</font>
11	warrior
12	shooter
13	mage
14	fight
15	Standby
16	<font face = "Barlow-SemiBold26" color="#6f2f00" >#v1#</font><font face = "Barlow-SemiBold24" color="#02fd20" >[#v2#]</font><font face = "Barlow-SemiBold24 " color="#6f2f00">#v3#</font>
17	strength
18	agile
19	intelligence
20	<br/><font color="#351100" face = "Barlow-SemiBold" >Searching...(#v1#)</font>
21	<font color="#351100" size ="100" face = "Barlow-SemiBold" >Find the enemy!</font><font color="#dc1f1f" size ="100" face = "Barlow-SemiBold" > #v1#</font> font><font color="#dc1f1f" size ="100" face = "Barlow-SemiBold" >#v2#</font><font color="#dc1f1f" size ="100" face = "Barlow-SemiBold" > HP:# v3#</font>
22	<br/>
23	<font color="#f9b522" face = "Barlow-SemiBold" size ="100">Power: #v1#</font><br/><font color="#9f67bf" face = "Barlow-SemiBold" size ="100 ">Total status: Lv<font color="#faf84a" face = "Barlow-SemiBold" size ="100"> #v2#</font>(same) as the enemy</font>
24	<font color="#6f2f00" face = "Barlow-SemiBold" size ="100">Basic state:</font><br/>
25	<font color="#6f2f00" face = "Barlow-SemiBold" size ="100">Combat Status:</font><br/>
26	<font color="#6f2f00" face = "Barlow-SemiBold" size ="100">Special Status:</font><br/>
27	<font color="#fed449" face = "Barlow-SemiBold" size ="100">HP:</font><font color="#02fd20" face = "Barlow-SemiBold" size ="100"> #v1#</font ><br/>
