id	时间	排名	数量	奖励
1	2021-01-14_21:46:00,2021-01-29_21:46:00	1	10	30000_106011_1
2	2021-01-14_21:46:00,2021-01-29_21:46:00	2	10	30000_299992_2
3	2021-01-14_21:46:00,2021-01-29_21:46:00	3	10	30000_299992_1
4	2021-01-29_21:46:00,2021-02-14_21:46:00	1	10	30000_106011_1
5	2021-01-29_21:46:00,2021-02-14_21:46:00	2	10	30000_299992_2
6	2021-01-29_21:46:00,2021-02-14_21:46:00	3	10	30000_299992_1
7	2021-02-14_21:46:00,2021-02-29_21:46:00	1	10	30000_106011_1
8	2021-02-14_21:46:00,2021-02-29_21:46:00	2	10	30000_299992_2
9	2021-02-14_21:46:00,2021-02-29_21:46:00	3	10	30000_299992_1
10	2021-02-28_21:46:00,2021-03-14_21:46:00	1	10	30000_106011_1
11	2021-02-28_21:46:00,2021-03-14_21:46:00	2	10	30000_299992_2
12	2021-02-28_21:46:00,2021-03-14_21:46:00	3	10	30000_299992_1
13	2021-03-14_21:46:00,2021-03-29_21:46:00	1	10	30000_106011_1
14	2021-03-14_21:46:00,2021-03-29_21:46:00	2	10	30000_299992_2
15	2021-03-14_21:46:00,2021-03-29_21:46:00	3	10	30000_299992_1
16	2021-03-29_21:46:00,2021-04-14_21:46:00	1	10	30000_106011_1
17	2021-03-29_21:46:00,2021-04-14_21:46:00	2	10	30000_299992_2
18	2021-03-29_21:46:00,2021-04-14_21:46:00	3	10	30000_299992_1
19	2021-04-14_21:46:00,2021-04-29_21:46:00	1	10	30000_106011_1
20	2021-04-14_21:46:00,2021-04-29_21:46:00	2	10	30000_299992_2
21	2021-04-14_21:46:00,2021-04-29_21:46:00	3	10	30000_299992_1
22	2021-04-29_21:46:00,2021-05-14_21:46:00	1	10	30000_106011_1
23	2021-04-29_21:46:00,2021-05-14_21:46:00	2	10	30000_299992_2
24	2021-04-29_21:46:00,2021-05-14_21:46:00	3	10	30000_299992_1
25	2021-05-14_21:46:00,2021-05-29_21:46:00	1	10	30000_106011_1
26	2021-05-14_21:46:00,2021-05-29_21:46:00	2	10	30000_299992_2
27	2021-05-14_21:46:00,2021-05-29_21:46:00	3	10	30000_299992_1
28	2021-05-29_21:46:00,2021-06-14_21:46:00	1	10	30000_106011_1
29	2021-05-29_21:46:00,2021-06-14_21:46:00	2	10	30000_299992_2
30	2021-05-29_21:46:00,2021-06-14_21:46:00	3	10	30000_299992_1
31	2021-06-14_21:46:00,2021-06-29_21:46:00	1	10	30000_106011_1
32	2021-06-14_21:46:00,2021-06-29_21:46:00	2	10	30000_299992_2
33	2021-06-14_21:46:00,2021-06-29_21:46:00	3	10	30000_299992_1
34	2021-06-29_21:46:00,2021-07-14_21:46:00	1	10	30000_106011_1
35	2021-06-29_21:46:00,2021-07-14_21:46:00	2	10	30000_299992_2
36	2021-06-29_21:46:00,2021-07-14_21:46:00	3	10	30000_299992_1
37	2021-07-14_21:46:00,2021-07-29_21:46:00	1	10	30000_106011_1
38	2021-07-14_21:46:00,2021-07-29_21:46:00	2	10	30000_299992_2
39	2021-07-14_21:46:00,2021-07-29_21:46:00	3	10	30000_299992_1
40	2021-07-29_21:46:00,2021-08-14_21:46:00	1	10	30000_106011_1
41	2021-07-29_21:46:00,2021-08-14_21:46:00	2	10	30000_299992_2
42	2021-07-29_21:46:00,2021-08-14_21:46:00	3	10	30000_299992_1
43	2021-08-14_21:46:00,2021-08-29_21:46:00	1	10	30000_106011_1
44	2021-08-14_21:46:00,2021-08-29_21:46:00	2	10	30000_299992_2
45	2021-08-14_21:46:00,2021-08-29_21:46:00	3	10	30000_299992_1
46	2021-08-29_21:46:00,2021-09-14_21:46:00	1	10	30000_106011_1
47	2021-08-29_21:46:00,2021-09-14_21:46:00	2	10	30000_299992_2
48	2021-08-29_21:46:00,2021-09-14_21:46:00	3	10	30000_299992_1
49	2021-09-14_21:46:00,2021-09-29_21:46:00	1	10	30000_106011_1
50	2021-09-14_21:46:00,2021-09-29_21:46:00	2	10	30000_299992_2
51	2021-09-14_21:46:00,2021-09-29_21:46:00	3	10	30000_299992_1
52	2021-09-29_21:46:00,2021-10-14_21:46:00	1	10	30000_106011_1
53	2021-09-29_21:46:00,2021-10-14_21:46:00	2	10	30000_299992_2
54	2021-09-29_21:46:00,2021-10-14_21:46:00	3	10	30000_299992_1
55	2021-10-14_21:46:00,2021-10-29_21:46:00	1	10	30000_106011_1
56	2021-10-14_21:46:00,2021-10-29_21:46:00	2	10	30000_299992_2
57	2021-10-14_21:46:00,2021-10-29_21:46:00	3	10	30000_299992_1
58	2021-10-29_21:46:00,2021-11-14_21:46:00	1	10	30000_106011_1
59	2021-10-29_21:46:00,2021-11-14_21:46:00	2	10	30000_299992_2
60	2021-10-29_21:46:00,2021-11-14_21:46:00	3	10	30000_299992_1
61	2021-11-14_21:46:00,2021-11-29_21:46:00	1	10	30000_106011_1
62	2021-11-14_21:46:00,2021-11-29_21:46:00	2	10	30000_299992_2
63	2021-11-14_21:46:00,2021-11-29_21:46:00	3	10	30000_299992_1
64	2021-11-29_21:46:00,2021-12-14_21:46:00	1	10	30000_106011_1
65	2021-11-29_21:46:00,2021-12-14_21:46:00	2	10	30000_299992_2
66	2021-11-29_21:46:00,2021-12-14_21:46:00	3	10	30000_299992_1
67	2021-12-14_21:46:00,2021-12-29_21:46:00	1	10	30000_106011_1
68	2021-12-14_21:46:00,2021-12-29_21:46:00	2	10	30000_299992_2
69	2021-12-14_21:46:00,2021-12-29_21:46:00	3	10	30000_299992_1
70	2020-12-29_21:46:00,2021-01-14_21:46:00	1	10	30000_106011_1
71	2020-12-29_21:46:00,2021-01-14_21:46:00	2	10	30000_299992_2
72	2020-12-29_21:46:00,2021-01-14_21:46:00	3	10	30000_299992_1
