id	时间	排名	数量	奖励
1	2018-08-29_21:46:00,2018-09-14_21:46:00	1	10	30000_104101_300
2	2018-08-29_21:46:00,2018-09-14_21:46:00	2	10	30000_104101_100
3	2018-08-29_21:46:00,2018-09-14_21:46:00	3	10	30000_104101_50
4	2018-08-29_21:46:00,2018-09-14_21:46:00	4	10	30000_104101_20
5	2018-08-29_21:46:00,2018-09-14_21:46:00	5	10	30000_104101_10
6	2018-09-14_21:46:00,2018-09-29_21:46:00	1	10	30000_104101_50
7	2018-09-14_21:46:00,2018-09-29_21:46:00	2	10	30000_104101_30
8	2018-09-14_21:46:00,2018-09-29_21:46:00	3	10	30000_104101_15
9	2018-09-14_21:46:00,2018-09-29_21:46:00	4	10	30000_104101_10
10	2018-09-14_21:46:00,2018-09-29_21:46:00	5	10	30000_104101_5
11	2018-09-29_21:46:00,2018-10-14_21:46:00	1	10	30000_104101_50
12	2018-09-29_21:46:00,2018-10-14_21:46:00	2	10	30000_104101_30
13	2018-09-29_21:46:00,2018-10-14_21:46:00	3	10	30000_104101_15
14	2018-09-29_21:46:00,2018-10-14_21:46:00	4	10	30000_104101_10
15	2018-09-29_21:46:00,2018-10-14_21:46:00	5	10	30000_104101_5
16	2018-10-14_21:46:00,2018-10-29_21:46:00	1	10	30000_104101_50
17	2018-10-14_21:46:00,2018-10-29_21:46:00	2	10	30000_104101_30
18	2018-10-14_21:46:00,2018-10-29_21:46:00	3	10	30000_104101_15
19	2018-10-14_21:46:00,2018-10-29_21:46:00	4	10	30000_104101_10
20	2018-10-14_21:46:00,2018-10-29_21:46:00	5	10	30000_104101_5
21	2018-10-29_21:46:00,2018-11-14_21:46:00	1	10	30000_104101_50
22	2018-10-29_21:46:00,2018-11-14_21:46:00	2	10	30000_104101_30
23	2018-10-29_21:46:00,2018-11-14_21:46:00	3	10	30000_104101_15
24	2018-10-29_21:46:00,2018-11-14_21:46:00	4	10	30000_104101_10
25	2018-10-29_21:46:00,2018-11-14_21:46:00	5	10	30000_104101_5
26	2018-11-14_21:46:00,2018-11-29_21:46:00	1	10	30000_104101_50
27	2018-11-14_21:46:00,2018-11-29_21:46:00	2	10	30000_104101_30
28	2018-11-14_21:46:00,2018-11-29_21:46:00	3	10	30000_104101_15
29	2018-11-14_21:46:00,2018-11-29_21:46:00	4	10	30000_104101_10
30	2018-11-14_21:46:00,2018-11-29_21:46:00	5	10	30000_104101_5
31	2018-11-29_21:46:00,2018-12-14_21:46:00	1	10	30000_104101_50
32	2018-11-29_21:46:00,2018-12-14_21:46:00	2	10	30000_104101_30
33	2018-11-29_21:46:00,2018-12-14_21:46:00	3	10	30000_104101_15
34	2018-11-29_21:46:00,2018-12-14_21:46:00	4	10	30000_104101_10
35	2018-11-29_21:46:00,2018-12-14_21:46:00	5	10	30000_104101_5
36	2018-12-14_21:46:00,2018-12-29_21:46:00	1	10	30000_104101_50
37	2018-12-14_21:46:00,2018-12-29_21:46:00	2	10	30000_104101_30
38	2018-12-14_21:46:00,2018-12-29_21:46:00	3	10	30000_104101_15
39	2018-12-14_21:46:00,2018-12-29_21:46:00	4	10	30000_104101_10
40	2018-12-14_21:46:00,2018-12-29_21:46:00	5	10	30000_104101_5
41	2018-12-29_21:46:00,2018-01-14_21:46:00	1	10	30000_104101_50
42	2018-12-29_21:46:00,2018-01-14_21:46:00	2	10	30000_104101_30
43	2018-12-29_21:46:00,2018-01-14_21:46:00	3	10	30000_104101_15
44	2018-12-29_21:46:00,2018-01-14_21:46:00	4	10	30000_104101_10
45	2018-12-29_21:46:00,2018-01-14_21:46:00	5	10	30000_104101_5
46	2018-01-14_21:46:00,2019-01-29_21:46:00	1	10	30000_104101_50
47	2018-01-14_21:46:00,2019-01-29_21:46:00	2	10	30000_104101_30
48	2018-01-14_21:46:00,2019-01-29_21:46:00	3	10	30000_104101_15
49	2018-01-14_21:46:00,2019-01-29_21:46:00	4	10	30000_104101_10
50	2018-01-14_21:46:00,2019-01-29_21:46:00	5	10	30000_104101_5
51	2019-01-29_21:46:00,2019-02-14_21:46:00	1	10	30000_104101_50
52	2019-01-29_21:46:00,2019-02-14_21:46:00	2	10	30000_104101_30
53	2019-01-29_21:46:00,2019-02-14_21:46:00	3	10	30000_104101_15
54	2019-01-29_21:46:00,2019-02-14_21:46:00	4	10	30000_104101_10
55	2019-01-29_21:46:00,2019-02-14_21:46:00	5	10	30000_104101_5
56	2019-02-14_21:46:00,2019-02-27_21:46:00	1	10	30000_104101_50
57	2019-02-14_21:46:00,2019-02-27_21:46:00	2	10	30000_104101_30
58	2019-02-14_21:46:00,2019-02-27_21:46:00	3	10	30000_104101_15
59	2019-02-14_21:46:00,2019-02-27_21:46:00	4	10	30000_104101_10
60	2019-02-14_21:46:00,2019-02-27_21:46:00	5	10	30000_104101_5
61	2019-02-27_21:46:00,2019-03-14_21:46:00	1	10	30000_104101_50
62	2019-02-27_21:46:00,2019-03-14_21:46:00	2	10	30000_104101_30
63	2019-02-27_21:46:00,2019-03-14_21:46:00	3	10	30000_104101_15
64	2019-02-27_21:46:00,2019-03-14_21:46:00	4	10	30000_104101_10
65	2019-02-27_21:46:00,2019-03-14_21:46:00	5	10	30000_104101_5
66	2019-03-14_21:46:00,2019-03-29_21:46:00	1	10	30000_104101_50
67	2019-03-14_21:46:00,2019-03-29_21:46:00	2	10	30000_104101_30
68	2019-03-14_21:46:00,2019-03-29_21:46:00	3	10	30000_104101_15
69	2019-03-14_21:46:00,2019-03-29_21:46:00	4	10	30000_104101_10
70	2019-03-14_21:46:00,2019-03-29_21:46:00	5	10	30000_104101_5
