id	原宝石	消耗红宝石	消耗绿宝石	消耗蓝宝石	消耗黄宝石	生成目标宝石	是否是本页最高阶宝石
1	20104	10_20104_1	50_20204_1	50_20304_1	50_20404_1	20105	0
2	20105	15_20105_1	90_20205_1	90_20305_1	90_20405_1	20106	0
3	20106	20_20106_1	170_20206_1	170_20306_1	170_20406_1	20107	0
4	20107	25_20107_1	320_20207_1	320_20307_1	320_20407_1	20108	1
5	20204	50_20104_1	10_20204_1	50_20304_1	50_20404_1	20205	0
6	20205	90_20105_1	15_20205_1	90_20305_1	90_20405_1	20206	0
7	20206	170_20106_1	20_20206_1	170_20306_1	170_20406_1	20207	0
8	20207	320_20107_1	25_20207_1	320_20307_1	320_20407_1	20208	1
9	20304	50_20104_1	50_20204_1	10_20304_1	50_20404_1	20305	0
10	20305	90_20105_1	90_20205_1	15_20305_1	90_20405_1	20306	0
11	20306	170_20106_1	170_20206_1	20_20306_1	170_20406_1	20307	0
12	20307	320_20107_1	320_20207_1	25_20307_1	320_20407_1	20308	1
13	20404	50_20104_1	50_20204_1	50_20304_1	10_20404_1	20405	0
14	20405	90_20105_1	90_20205_1	90_20305_1	15_20405_1	20406	0
15	20406	170_20106_1	170_20206_1	170_20306_1	20_20406_1	20407	0
16	20407	320_20107_1	320_20207_1	320_20307_1	25_20407_1	20408	1
