id	LvNeed	FreeReward	CostReward
1	1	10000_1001_200	10000_1001_500
2	10	10000_1001_200	10000_1001_500
3	20	10000_1001_200	10000_1001_500
4	30	10000_1001_200	10000_1001_1000
5	40	10000_1001_200	10000_1001_1000
6	50	10000_1001_200	10000_1001_1000
7	60	10000_1001_200	10000_1001_1500
8	65	10000_1001_200	10000_1001_1500
9	70	10000_1001_200	10000_1001_1500
10	75	10000_1001_200	10000_1001_2000
11	80	10000_1001_200	10000_1001_2000
12	85	10000_1001_200	10000_1001_2000
13	90	10000_1001_200	10000_1001_2000
14	95	10000_1001_200	10000_1001_2000
15	100	10000_1001_200	10000_1001_2000
