id	poolId	reward	是否10次必中
1	1	30000_106011_1	0
2	1	30000_202002_3	0
3	1	30000_103001_1	0
4	1	30000_103002_1	0
5	1	30000_299992_1	0
6	1	30000_201002_1	0
7	1	30000_104001_2	0
8	1	30000_101001_20	0
9	2	30000_106011_1	0
10	2	30000_202002_3	0
11	2	30000_103001_1	0
12	2	30000_103002_1	0
13	2	30000_299992_1	0
14	2	30000_201002_1	0
15	2	30000_104001_2	0
16	2	30000_101001_20	0
17	2	30000_106011_1	1
18	3	30000_106011_3	0
19	3	30000_104101_1	0
20	3	30000_202003_5	0
21	3	30000_103001_2	0
22	3	30000_103002_2	0
23	3	30000_299992_4	0
24	3	30000_106001_20	0
25	3	30000_101001_100	0
26	3	30000_106011_5	1
27	3	30000_104101_1	1
28	4	70000_121_10	0
29	4	70000_121_3	0
30	4	30000_106102_1	0
31	4	30000_103001_2	0
32	4	30000_103002_2	0
33	4	30000_104101_5	0
34	4	30000_104212_20	0
35	4	30000_106001_20	0
36	4	30000_104003_3	0
37	4	30000_101001_100	0
38	5	70000_108_12	0
39	5	70000_108_3	0
40	5	30000_106102_1	0
41	5	30000_103001_2	0
42	5	30000_103002_2	0
43	5	30000_104101_5	0
44	5	30000_104212_20	0
45	5	30000_106001_20	0
46	5	70000_108_12	1
