ID	Star	LV	BP	Strenght	Intellect	Agility	HP	minBP	minStrenght	minIntellect	minAgility	minHP
1	13	350	290988	29736	4956	9204	169920	2056	210	35	65	1200
2	13	350	273005	13452	28320	3540	155760	1929	95	200	25	1100
3	13	350	261892	14160	24072	4248	184080	2409	130	221	39	1690
4	13	350	280649	25488	7788	6372	212400	1983	180	55	45	1500
5	13	350	269535	21240	11328	2832	254880	2479	195	104	26	2340
6	13	350	255728	16284	25488	4956	141600	2352	150	234	46	1300
7	13	350	263730	14160	9912	2124	346920	2427	130	91	20	3190
8	13	350	276971	12036	29736	4956	141600	2547	111	273	46	1300
9	13	350	257496	14868	21948	3540	205320	2372	137	202	33	1890
10	13	350	273711	26904	10620	6372	169920	1934	190	75	45	1200
11	13	350	239091	16992	19824	7080	169920	1691	120	140	50	1200
12	13	350	262243	14160	23364	3540	198240	1853	100	165	25	1400
13	13	350	271374	12744	26904	4248	169920	1919	90	190	30	1200
14	13	350	266702	26904	14160	4248	155760	2454	247	130	39	1430
15	13	350	254880	14868	24072	6372	155760	2346	137	221	59	1430
16	13	350	247660	19824	12036	10620	184080	1753	140	85	75	1300
17	13	350	250772	14868	19824	4956	212400	1775	105	140	35	1500
18	13	350	256865	16992	13452	2124	283200	2360	156	124	20	2600
19	13	350	255236	15576	7080	11328	269040	2341	143	65	104	2470
20	13	350	287591	31860	9912	4956	141600	2647	293	91	46	1300
21	13	350	245814	18408	21948	3540	169920	2262	169	202	33	1560
22	13	350	282494	31152	12036	3540	141600	2594	286	111	33	1300
23	13	350	294243	32568	7788	5664	148680	2702	299	72	52	1370
24	13	350	278949	11328	30444	5664	134520	2566	104	280	52	1240
501	5	1	0	23611	23524	23139	24836					
502	5	1	0	23524	23611	23139	24836					
503	5	1	0	23611	23524	23139	24836					
504	5	1	0	23524	23611	23139	24836					
505	5	1	0	23524	23436	23112	24399					
506	5	1	0	23524	23436	23112	24399					
507	5	1	0	23436	23524	23112	24399					
508	5	1	0	23436	23524	23112	24399					
509	5	1	0	23436	23349	23095	23961					
510	5	1	0	23349	23436	23095	23961					
511	5	1	0	23436	23349	23095	23961					
512	5	1	0	23349	23436	23095	23961					
