ID	FX	AttackEFF	BulletName
01000	NG_01000	hit0201	NG_01000
02000	NG_02000	hit0501	NG_02000
03000	NG_03000	hit0301	NG_03000
04000	NG_04000	hit0201	NG_04000
05000	NG_05000	hit0101	NG_05000
06000	NG_06000	hit0301	NG_03000
07000	NG_07000	hit0102	NG_07000
08000	NG_08000	hit0302	NG_09000
09000	NG_09000	hit0302	NG_09000
10000	NG_10000	hit0202	NG_10000
11000	NG_11000	hit0402	NG_11000
12000	NG_12000	hit0502	NG_12000
13000	NG_13000	hit0203	NG_13000
14000	NG_14000	hit0403	NG_14000
15000	NG_15000	hit0303	NG_15000
16000	NG_16000	hit0103	NG_16000
17000	NG_17000	hit0303	NG_18000
18000	NG_18000	hit0303	NG_18000
19000	NG_19000	hit0204	NG_19000
20000	NG_20000	hit0204	NG_20000
21000	NG_21000	hit0504	NG_21000
22000	NG_22000	hit0205	NG_22000
23000	NG_23000	hit0405	NG_23000
24000	NG_24000	hit0305	NG_24000
01001	NG_01000	hit0201	NG_01000
02002	NG_02000	hit0501	NG_02000
03003	NG_03000	hit0301	NG_03000
04004	NG_04000	hit0201	NG_04000
05005	NG_05000	hit0101	NG_05000
06006	NG_06000	hit0301	NG_06000
07007	NG_07000	hit0102	NG_07000
08008	NG_08000	hit0302	NG_08000
09009	NG_09000	hit0302	NG_09000
10010	NG_10000	hit0202	NG_10000
11011	NG_11000	hit0402	NG_11000
12012	NG_12000	hit0502	NG_12000
13013	NG_13000	hit0203	NG_13000
14014	NG_14000	hit0403	NG_14000
15015	NG_15000	hit0303	NG_15000
16016	NG_16000	hit0103	NG_16000
17017	NG_17000	hit0303	NG_17000
18018	NG_18000	hit0303	NG_18000
19019	NG_19000	hit0204	NG_19000
20020	NG_20000	hit0204	NG_20000
21021	NG_21000	hit0504	NG_21000
22022	NG_22000	hit0205	NG_22000
23023	NG_23000	hit0405	NG_23000
24024	NG_24000	hit0305	NG_24000
501000	NG_501	hit0103	NG_501
502000	NG_502	hit0102	NG_502
503000	NG_503	hit0301	NG_503
504000	NG_504	hit0305	NG_504
505000	Boss_505	hit0403	Boss_505
506000	Boss_506	hit0101	Boss_506
507000	Boss_507	hit0304	Boss_507
508000	Boss_508	hit0301	Boss_508
509000	Boss_509	hit0305	Boss_509
510000	Boss_510	hit0505	Boss_510
511000	Boss_511	hit0101	Boss_511
512000	Boss_512	hit0305	Boss_512
96000	NG_21000	hit0504	NG_21000
97000	NG_13000	hit0203	NG_13000
98000	NG_02000	hit0501	NG_02000
99000	NG_01000	hit0201	NG_01000
