Level	needItem
1	10000_1002_20,30000_7001_36
2	10000_1002_80,30000_7001_73
3	10000_1002_104,30000_7001_86
4	10000_1002_128,30000_7001_98
5	10000_1002_152,30000_7001_110
6	10000_1002_176,30000_7001_123
7	10000_1002_200,30000_7001_135
8	10000_1002_224,30000_7001_148
9	10000_1002_248,30000_7001_160
10	10000_1002_272,30000_7001_172,30000_7181_20
11	10000_1002_296,30000_7001_185
12	10000_1002_320,30000_7001_197
13	10000_1002_344,30000_7001_210
14	10000_1002_368,30000_7001_222
15	10000_1002_392,30000_7001_234
16	10000_1002_416,30000_7001_247
17	10000_1002_440,30000_7001_259
18	10000_1002_464,30000_7001_272
19	10000_1002_488,30000_7001_284
20	10000_1002_512,30000_7001_296,30000_7181_60
21	10000_1002_536,30000_7001_309
22	10000_1002_560,30000_7001_321
23	10000_1002_584,30000_7001_334
24	10000_1002_608,30000_7001_346
25	10000_1002_632,30000_7001_358
26	10000_1002_656,30000_7001_371
27	10000_1002_680,30000_7001_383
28	10000_1002_704,30000_7001_396
29	10000_1002_728,30000_7001_408
30	10000_1002_752,30000_7001_420
31	10000_1002_776,30000_7001_433
32	10000_1002_800,30000_7001_445
33	10000_1002_824,30000_7001_458
34	10000_1002_848,30000_7001_470
35	10000_1002_872,30000_7001_482
36	10000_1002_896,30000_7001_495
37	10000_1002_920,30000_7001_507
38	10000_1002_944,30000_7001_520
39	10000_1002_968,30000_7001_532
40	10000_1002_4928,30000_7001_3316,30000_7181_130
41	10000_1002_5048,30000_7001_3396
42	10000_1002_5168,30000_7001_3476
43	10000_1002_5288,30000_7001_3556
44	10000_1002_5408,30000_7001_3636
45	10000_1002_5528,30000_7001_3716
46	10000_1002_5648,30000_7001_3796
47	10000_1002_5768,30000_7001_3876
48	10000_1002_5888,30000_7001_3956
49	10000_1002_6008,30000_7001_4036
50	10000_1002_6128,30000_7001_4116
51	10000_1002_6248,30000_7001_4196
52	10000_1002_6368,30000_7001_4276
53	10000_1002_6488,30000_7001_4356
54	10000_1002_6608,30000_7001_4436
55	10000_1002_6728,30000_7001_4516,30000_7181_270
56	10000_1002_6848,30000_7001_4596
57	10000_1002_6968,30000_7001_4676
58	10000_1002_7088,30000_7001_4756
59	10000_1002_7208,30000_7001_4836
60	10000_1002_9768,30000_7001_7356
61	10000_1002_9928,30000_7001_7476
62	10000_1002_10088,30000_7001_7596
63	10000_1002_10248,30000_7001_7716
64	10000_1002_10408,30000_7001_7836
65	10000_1002_10568,30000_7001_7956,30000_7181_600
66	10000_1002_10728,30000_7001_8076
67	10000_1002_10888,30000_7001_8196
68	10000_1002_11048,30000_7001_8316
69	10000_1002_11208,30000_7001_8436
70	10000_1002_11368,30000_7001_8556
71	10000_1002_11528,30000_7001_8676
72	10000_1002_11688,30000_7001_8796
73	10000_1002_11848,30000_7001_8916
74	10000_1002_12008,30000_7001_9036
75	10000_1002_24328,30000_7001_12196,30000_7181_750
76	10000_1002_24648,30000_7001_12356
77	10000_1002_24968,30000_7001_12516
78	10000_1002_25288,30000_7001_12676
79	10000_1002_25608,30000_7001_12836
80	10000_1002_29168,30000_7001_12996
81	10000_1002_29528,30000_7001_13156
82	10000_1002_29888,30000_7001_13316
83	10000_1002_30248,30000_7001_13476
84	10000_1002_30608,30000_7001_13636
85	10000_1002_30968,30000_7001_15516,30000_7181_1000
86	10000_1002_31328,30000_7001_15696
87	10000_1002_31688,30000_7001_15876
88	10000_1002_32048,30000_7001_16056
89	10000_1002_32408,30000_7001_16236
90	10000_1002_32513,30000_7001_16416
91	10000_1002_32686,30000_7001_16596
92	10000_1002_32744,30000_7001_16776
93	10000_1002_32795,30000_7001_16956
94	10000_1002_32840,30000_7001_17136
95	10000_1002_32878,30000_7001_17316
96	10000_1002_32910,30000_7001_17496
97	10000_1002_32936,30000_7001_17676
98	10000_1002_32955,30000_7001_17856
99	10000_1002_32968,30000_7001_18036
100	10000_1002_40408,30000_7001_60636,30000_7181_1200
101	10000_1002_40808,30000_7001_61236
102	10000_1002_41208,30000_7001_61836
103	10000_1002_41608,30000_7001_62436
104	10000_1002_42008,30000_7001_63036
105	10000_1002_76328,30000_7001_63212
106	10000_1002_77048,30000_7001_63808
107	10000_1002_77768,30000_7001_64404
108	10000_1002_78488,30000_7001_65000
109	10000_1002_79208,30000_7001_65596
110	10000_1002_79928,30000_7001_66192
111	10000_1002_80648,30000_7001_66788
112	10000_1002_81368,30000_7001_67384
113	10000_1002_82088,30000_7001_67980
114	10000_1002_82808,30000_7001_68576
115	10000_1002_83528,30000_7001_69172,30000_7181_1250
116	10000_1002_84248,30000_7001_69768
117	10000_1002_84968,30000_7001_70364
118	10000_1002_85688,30000_7001_70960
119	10000_1002_86408,30000_7001_71556
120	10000_1002_87134,30000_7001_72157,30000_7181_1500
121	10000_1002_87866,30000_7001_72763
122	10000_1002_88604,30000_7001_73374
123	10000_1002_89348,30000_7001_73991
124	10000_1002_90099,30000_7001_74612
125	10000_1002_90855,30000_7001_75239,30000_7181_1600
126	10000_1002_91619,30000_7001_75871
127	10000_1002_92388,30000_7001_76508
128	10000_1002_93164,30000_7001_77151
129	10000_1002_93947,30000_7001_77799
