ID	Hero	Star	Cost	Skills	Level	Awards
1	1	1	30000_1_60	10101,10111,10121	100	
2	1	2	30000_1_90	10101,10111,10121	100	
3	1	3	30000_1_120	10101,10111,10121	100	
4	1	4	30000_1_150	10101,10111,10121	100	
5	1	5	30000_1_180	10101,10111,10121	100	
6	1	6	30000_1_300	10102,10111,10121	100	
7	1	7	30000_1_450	10102,10112,10121	120	
8	1	8	30000_1_600	10102,10112,10122	160	
9	1	9	30000_1_750	10102,10112,10122	200	
10	1	10	30000_1_900	10103,10112,10122	240	
11	1	11	30000_1_1500	10103,10113,10122	280	
12	1	12	30000_1_1800	10103,10113,10123	320	
13	1	13		10103,10113,10123	350	
14	2	1	30000_2_60	10201,10211,10221	100	
15	2	2	30000_2_90	10201,10211,10221	100	
16	2	3	30000_2_120	10201,10211,10221	100	
17	2	4	30000_2_150	10201,10211,10221	100	
18	2	5	30000_2_180	10201,10211,10221	100	
19	2	6	30000_2_300	10202,10211,10221	100	
20	2	7	30000_2_450	10202,10212,10221	120	
21	2	8	30000_2_600	10202,10212,10222	160	
22	2	9	30000_2_750	10202,10212,10222	200	
23	2	10	30000_2_900	10203,10212,10222	240	
24	2	11	30000_2_1500	10203,10213,10222	280	
25	2	12	30000_2_1800	10203,10213,10223	320	
26	2	13		10203,10213,10223	350	
27	3	1	30000_3_60	10301,10311,10321	100	
28	3	2	30000_3_90	10301,10311,10321	100	
29	3	3	30000_3_120	10301,10311,10321	100	
30	3	4	30000_3_150	10301,10311,10321	100	
31	3	5	30000_3_180	10301,10311,10321	100	
32	3	6	30000_3_120	10302,10311,10321	100	
33	3	7	30000_3_240	10302,10312,10321	120	
34	3	8	30000_3_360	10302,10312,10322	160	
35	3	9	30000_3_600	10302,10312,10322	200	
36	3	10	30000_3_720	10303,10312,10322	240	
37	3	11	30000_3_900	10303,10313,10322	280	
38	3	12	30000_3_1200	10303,10313,10323	320	
39	3	13		10303,10313,10323	350	
40	4	1	30000_4_60	10401,10411,10421	100	
41	4	2	30000_4_90	10401,10411,10421	100	
42	4	3	30000_4_120	10401,10411,10421	100	
43	4	4	30000_4_150	10401,10411,10421	100	
44	4	5	30000_4_180	10401,10411,10421	100	
45	4	6	30000_4_120	10402,10411,10421	100	
46	4	7	30000_4_240	10402,10412,10421	120	
47	4	8	30000_4_360	10402,10412,10422	160	
48	4	9	30000_4_600	10402,10412,10422	200	
49	4	10	30000_4_720	10403,10412,10422	240	
50	4	11	30000_4_900	10403,10413,10422	280	
51	4	12	30000_4_1200	10403,10413,10423	320	
52	4	13		10403,10413,10423	350	
53	5	1	30000_5_60	10501,10511,10521	100	
54	5	2	30000_5_90	10501,10511,10521	100	
