id	星脉	等级	消耗	属性
1	1	1	30000_101101_10	101_150,113_1,106_1
2	1	2	30000_101101_22	101_150,113_1,106_1
3	1	3	30000_101101_28	101_150,113_1,106_1
4	1	4	30000_101101_34	101_150,113_1,106_1
5	1	5	30000_101101_38	101_150,113_1,106_1
6	1	6	30000_101101_42	101_150,113_1,106_1
7	1	7	30000_101101_46	101_150,113_1,106_1
8	1	8	30000_101101_49	101_150,113_1,106_1
9	1	9	30000_101101_52	101_150,113_1,106_1
10	1	10	30000_101101_55	101_150,113_1,106_1
11	1	11	30000_101101_58	101_150,113_1,106_1
12	1	12	30000_101101_61	101_150,113_1,106_1
13	1	13	30000_101101_64	101_150,113_1,106_1
14	1	14	30000_101101_66	101_150,113_1,106_1
15	1	15	30000_101101_68	101_150,113_1,106_1
16	1	16	30000_101101_71	101_150,113_1,106_1
17	1	17	30000_101101_73	101_150,113_1,106_1
18	1	18	30000_101101_75	101_150,113_1,106_1
19	1	19	30000_101101_77	101_150,113_1,106_1
20	1	20	30000_101101_79	101_150,113_1,106_1
21	1	21	30000_101101_81	101_150,113_1,106_1
22	1	22	30000_101101_83	101_150,113_1,106_1
23	1	23	30000_101101_85	101_150,113_1,106_1
24	1	24	30000_101101_87	101_150,113_1,106_1
25	1	25	30000_101101_89	101_150,113_1,106_1,2103_50,1008_50
26	1	26	30000_101101_91	101_150,113_1,106_1
27	1	27	30000_101101_93	101_150,113_1,106_1
28	1	28	30000_101101_95	101_150,113_1,106_1
29	1	29	30000_101101_97	101_150,113_1,106_1
30	1	30	30000_101101_99	101_150,113_1,106_1
31	1	31	30000_101101_101	101_150,113_1,106_1
32	1	32	30000_101101_103	101_150,113_1,106_1
33	1	33	30000_101101_105	101_150,113_1,106_1
34	1	34	30000_101101_107	101_150,113_1,106_1
35	1	35	30000_101101_109	101_150,113_1,106_1
36	1	36	30000_101101_111	101_150,113_1,106_1
37	1	37	30000_101101_113	101_150,113_1,106_1
38	1	38	30000_101101_115	101_150,113_1,106_1
39	1	39	30000_101101_117	101_150,113_1,106_1
40	1	40	30000_101101_119	101_150,113_1,106_1
41	1	41	30000_101101_121	101_150,113_1,106_1
42	1	42	30000_101101_123	101_150,113_1,106_1
43	1	43	30000_101101_125	101_150,113_1,106_1
44	1	44	30000_101101_127	101_150,113_1,106_1
45	1	45	30000_101101_129	101_150,113_1,106_1
46	1	46	30000_101101_131	101_150,113_1,106_1
47	1	47	30000_101101_133	101_150,113_1,106_1
48	1	48	30000_101101_135	101_150,113_1,106_1
49	1	49	30000_101101_137	101_150,113_1,106_1
50	1	50	30000_101101_139	101_150,113_1,106_1,2103_50,1010_100
51	2	51	30000_101101_141	101_150,113_1,106_1
52	2	52	30000_101101_143	101_150,113_1,106_1
53	2	53	30000_101101_145	101_150,113_1,106_1
54	2	54	30000_101101_147	101_150,113_1,106_1
55	2	55	30000_101101_149	101_150,113_1,106_1
56	2	56	30000_101101_151	101_150,113_1,106_1
57	2	57	30000_101101_153	101_150,113_1,106_1
58	2	58	30000_101101_155	101_150,113_1,106_1
59	2	59	30000_101101_157	101_150,113_1,106_1
60	2	60	30000_101101_159	101_150,113_1,106_1
61	2	61	30000_101101_161	101_150,113_1,106_1
62	2	62	30000_101101_163	101_150,113_1,106_1
63	2	63	30000_101101_165	101_150,113_1,106_1
64	2	64	30000_101101_167	101_150,113_1,106_1
65	2	65	30000_101101_169	101_150,113_1,106_1
66	2	66	30000_101101_171	101_150,113_1,106_1
67	2	67	30000_101101_173	101_150,113_1,106_1
68	2	68	30000_101101_175	101_150,113_1,106_1
69	2	69	30000_101101_177	101_150,113_1,106_1
70	2	70	30000_101101_179	101_150,113_1,106_1
71	2	71	30000_101101_181	101_150,113_1,106_1
72	2	72	30000_101101_1,10000_1001_10	101_150,113_1,106_1
73	2	73	30000_101101_1,10000_1001_10	101_150,113_1,106_1
74	2	74	30000_101101_1,10000_1001_10	101_150,113_1,106_1
75	2	75	30000_101101_1,10000_1001_10	101_150,113_1,106_1,2103_50,1008_50
76	2	76	30000_101101_1,10000_1001_10	101_150,113_1,106_1
77	2	77	30000_101101_1,10000_1001_10	101_150,113_1,106_1
