Role	HP	ATK	Speed	Type	SkillID	SkillIcon	BuffIcon	Spine
101	1000	500	5	1	1	skill/S_1.png	skill/B_0.png	
102	1000	500	5	3	2	skill/S_1.png	skill/B_0.png	
103	1000	500	5	2	3	skill/S_1.png	skill/B_0.png	
104	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
105	1000	500	5	1	4	skill/S_1.png	skill/B_0.png	
106	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
107	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
108	1000	500	5	1	5	skill/S_1.png	skill/B_0.png	
109	1000	500	5	3	6	skill/S_1.png	skill/B_0.png	
111	1000	500	5	1	7	skill/S_1.png	skill/B_0.png	
112	1000	500	5	1	8	skill/S_1.png	skill/B_0.png	
113	1000	500	5	3	9	skill/S_1.png	skill/B_0.png	
114	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
115	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
116	1000	500	5	2	10	skill/S_1.png	skill/B_0.png	
117	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
118	1000	500	5	1	11	skill/S_1.png	skill/B_0.png	
119	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
120	1000	500	5	1	12	skill/S_1.png	skill/B_0.png	
121	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
122	1000	500	5	1	4	skill/S_1.png	skill/B_0.png	
123	1000	500	5	2	13	skill/S_1.png	skill/B_0.png	
124	1000	500	5	1	14	skill/S_1.png	skill/B_0.png	
125	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
126	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
127	1000	500	5	3	15	skill/S_1.png	skill/B_0.png	
128	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
129	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
130	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
131	1000	500	5	2	16	skill/S_1.png	skill/B_0.png	
132	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
133	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
134	1000	500	5	1	17	skill/S_1.png	skill/B_0.png	
135	1000	500	5	3	18	skill/S_1.png	skill/B_0.png	
136	1000	500	5	2	19	skill/S_1.png	skill/B_0.png	
137	1000	500	5	2	20	skill/S_1.png	skill/B_0.png	
138	1000	500	5	1	21	skill/S_1.png	skill/B_0.png	
139	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
140	1000	500	5	3	22	skill/S_1.png	skill/B_0.png	
141	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
142	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
143	1000	500	5	3	23	skill/S_1.png	skill/B_0.png	
144	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
145	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
146	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
147	1000	500	5	2	24	skill/S_1.png	skill/B_0.png	
148	1000	500	5	1	25	skill/S_1.png	skill/B_0.png	
