ID	SF	BUFFID	Times	Arg1	Arg2	Arg3
1	1	2	2	15	1	0
2	0	0	1	15	1	0
3	0	3	1	20	1	0
4	1	2	1	30	1	0
5	1	2	1	50	1	0
6	0	0,2	1,2	30,30	1,1	0
7	0	2	1	10	1	0
8	1	2	2	25	1	0
9	1	4	2	10	1	0
10	0	4,101	1,1	20,50	1,2	0
11	1	2	1	15	1	0
12	0	2,102	1,1	100,100	1,1	0
13	0	2,3	1,1	150,30	1,1	0
14	1	2	1	70	1	0
15	1	102	2	30	2	0
16	0	3	1	30	1	0
17	1	2	1	20	1	0
18	0	1,103	2,2	25,25	1,2	0
19	0	3	1	30	1	0
20	0	3	2	15	1	0
21	0	2,104	1,1	100,75	1,2	0
22	1	2,101	2,2	50,50	1,2	0
23	0	3,4	1,2	50,15	1,1	0
24	0	3,5	1,1	20,50	1,1	0
25	1	2,102	1,1	100,25	1,2	0
26	1	2,4	2,1	75,30	1,1	0
27	0	2,103	1,1	500,30	3,3	0
28	0	3,102	1,1	50,50	1,1	0
29	1	2,104	1,1	250,100	1,1	0
30	0	1	1	50	1	0
31	0	3	1	25	1	0
32	0	1,5	1,1	30,100	1,1	0
33	0	2,101	1,1	10000,100	1,2	0
34	1	2,101	1,2	100,20	1,2	0
35	0	2,5	1,1	150,75	1,1	0
36	0	1,3	1,1	30,25	1,1	0
37	1	2,4	1,1	50,10	1,1	0
38	1	2,4	1,1	500,5	1,2	0
39	0	3,101	1,1	30,30	1,2	0
40	0	2,102	1,1	150,300	2,2	0
41	1	2,4	1,1	125,30	1,1	0
42	0	5,501	1,1	10000,1	1,1	0
