id	等级	消耗	属性
0	0	0	0
1	1	30000_5003_1	105_138,111_180
2	2	30000_5003_2	105_280,111_368
3	3	30000_5003_4	105_429,111_564
4	4	30000_5003_6	105_585,111_768
5	5	30000_5003_8	105_748,111_980
6	6	30000_5003_10	105_918,111_1200
7	7	30000_5003_12	105_1095,111_1428
8	8	30000_5003_14	105_1279,111_1664
9	9	30000_5003_16	105_1470,111_1908
10	10	30000_5003_18	105_1668,111_2160
11	11	30000_5003_20	105_1873,111_2420
12	12	30000_5003_22	105_2085,111_2688
13	13	30000_5003_24	105_2304,111_2964
14	14	30000_5003_26	105_2530,111_3248
15	15	30000_5003_28	105_2763,111_3540
16	16	30000_5003_30	105_3003,111_3840
17	17	30000_5003_32	105_3250,111_4148
18	18	30000_5003_34	105_3504,111_4464
19	19	30000_5003_36	105_3765,111_4788
20	20	30000_5003_38	105_4033,111_5120
21	21	30000_5003_40	105_4308,111_5460
22	22	30000_5003_42	105_4590,111_5808
23	23	30000_5003_44	105_4879,111_6164
24	24	30000_5003_46	105_5175,111_6528
25	25	30000_5003_48	105_5478,111_6900
26	26	30000_5003_50	105_5788,111_7280
27	27	30000_5003_52	105_6105,111_7668
28	28	30000_5003_55	105_6429,111_8064
29	29	30000_5003_59	105_6760,111_8468
30	30	30000_5003_62	105_7098,111_8880
31	31	30000_5003_65	105_7443,111_9300
32	32	30000_5003_68	105_7795,111_9728
33	33	30000_5003_71	105_8154,111_10164
34	34	30000_5003_74	105_8520,111_10608
35	35	30000_5003_77	105_8893,111_11060
36	36	30000_5003_80	105_9273,111_11520
37	37	30000_5003_83	105_9660,111_11988
38	38	30000_5003_86	105_10054,111_12464
39	39	30000_5003_89	105_10455,111_12948
40	40	30000_5003_92	105_10863,111_13440
41	41	30000_5003_95	105_11278,111_13940
42	42	30000_5003_98	105_11700,111_14448
43	43	30000_5003_101	105_12129,111_14964
44	44	30000_5003_104	105_12565,111_15488
45	45	30000_5003_107	105_13008,111_16020
46	46	30000_5003_110	105_13458,111_16560
47	47	30000_5003_113	105_13915,111_17108
48	48	30000_5003_116	105_14379,111_17664
49	49	30000_5003_119	105_14850,111_18228
50	50	30000_5003_122	105_15328,111_18800
51	51	30000_5003_125	105_15813,111_19380
52	52	30000_5003_128	105_16305,111_19968
53	53	30000_5003_131	105_16804,111_20564
54	54	30000_5003_134	105_17310,111_21168
55	55	30000_5003_137	105_17823,111_21780
56	56	30000_5003_140	105_18343,111_22400
57	57	30000_5003_143	105_18870,111_23028
58	58	30000_5003_146	105_19404,111_23664
59	59	30000_5003_149	105_19945,111_24308
60	60	30000_5003_152	105_20493,111_24960
61	61	30000_5003_155	105_21048,111_25620
62	62	30000_5003_158	105_21610,111_26288
63	63	30000_5003_161	105_22179,111_26964
64	64	30000_5003_164	105_22755,111_27648
65	65	30000_5003_167	105_23338,111_28340
66	66	30000_5003_170	105_23928,111_29040
67	67	30000_5003_173	105_24525,111_29748
68	68	30000_5003_176	105_25129,111_30464
69	69	30000_5003_179	105_25740,111_31188
70	70	30000_5003_182	105_26358,111_31920
71	71	30000_5003_185	105_26983,111_32660
72	72	30000_5003_188	105_27615,111_33408
73	73	30000_5003_191	105_28254,111_34164
74	74	30000_5003_194	105_28900,111_34928
75	75	30000_5003_197	105_29553,111_35700
76	76	30000_5003_200	105_30213,111_36480
77	77	30000_5003_203	105_30880,111_37268
78	78	30000_5003_206	105_31554,111_38064
79	79	30000_5003_209	105_32235,111_38868
80	80	30000_5003_212	105_32923,111_39680
81	81	30000_5003_215	105_33618,111_40500
82	82	30000_5003_218	105_34320,111_41328
83	83	30000_5003_221	105_35029,111_42164
84	84	30000_5003_224	105_35745,111_43008
85	85	30000_5003_227	105_36468,111_43860
86	86	30000_5003_230	105_37198,111_44720
87	87	30000_5003_233	105_37935,111_45588
88	88	30000_5003_236	105_38679,111_46464
89	89	30000_5003_239	105_39430,111_47348
90	90	30000_5003_242	105_40188,111_48240
91	91	30000_5003_245	105_40953,111_49140
92	92	30000_5003_248	105_41725,111_50048
93	93	30000_5003_251	105_42504,111_50964
94	94	30000_5003_254	105_43290,111_51888
95	95	30000_5003_257	105_44083,111_52820
96	96	30000_5003_260	105_44883,111_53760
97	97	30000_5003_263	105_45690,111_54708
98	98	30000_5003_266	105_46504,111_55664
99	99	30000_5003_269	105_47325,111_56628
100	100	30000_5003_272	105_48153,111_57600
101	101	30000_5003_273	105_48982,111_58573
102	102	30000_5003_274	105_49812,111_59547
103	103	30000_5003_275	105_50643,111_60522
104	104	30000_5003_276	105_51475,111_61498
105	105	30000_5003_277	105_52308,111_62475
106	106	30000_5003_278	105_53142,111_63453
107	107	30000_5003_279	105_53977,111_64432
108	108	30000_5003_280	105_54813,111_65412
109	109	30000_5003_281	105_55650,111_66393
110	110	30000_5003_282	105_56488,111_67375
111	111	30000_5003_283	105_57327,111_68358
112	112	30000_5003_284	105_58167,111_69342
113	113	30000_5003_285	105_59008,111_70327
114	114	30000_5003_286	105_59850,111_71313
115	115	30000_5003_287	105_60693,111_72300
116	116	30000_5003_288	105_61537,111_73288
117	117	30000_5003_289	105_62382,111_74277
118	118	30000_5003_290	105_63228,111_75267
119	119	30000_5003_291	105_64075,111_76258
120	120	30000_5003_292	105_64923,111_77250
121	121	30000_5003_293	105_65772,111_78243
122	122	30000_5003_294	105_66622,111_79237
123	123	30000_5003_295	105_67473,111_80232
124	124	30000_5003_296	105_68325,111_81228
125	125	30000_5003_297	105_69178,111_82225
126	126	30000_5003_298	105_70032,111_83223
127	127	30000_5003_299	105_70887,111_84222
128	128	30000_5003_300	105_71743,111_85222
129	129	30000_5003_301	105_72600,111_86223
130	130	30000_5003_302	105_73458,111_87225
131	131	30000_5003_303	105_74317,111_88228
132	132	30000_5003_304	105_75177,111_89232
133	133	30000_5003_305	105_76038,111_90237
134	134	30000_5003_306	105_76900,111_91243
135	135	30000_5003_307	105_77763,111_92250
136	136	30000_5003_308	105_78627,111_93258
137	137	30000_5003_309	105_79492,111_94267
138	138	30000_5003_310	105_80358,111_95277
139	139	30000_5003_311	105_81225,111_96288
140	140	30000_5003_312	105_82093,111_97300
141	141	30000_5003_313	105_82962,111_98313
142	142	30000_5003_314	105_83832,111_99327
143	143	30000_5003_315	105_84703,111_100342
144	144	30000_5003_316	105_85575,111_101358
145	145	30000_5003_317	105_86448,111_102375
146	146	30000_5003_318	105_87322,111_103393
147	147	30000_5003_319	105_88197,111_104412
148	148	30000_5003_320	105_89073,111_105432
149	149	30000_5003_321	105_89950,111_106453
150	150	30000_5003_322	105_90828,111_107475
151	151	30000_5003_323	105_91707,111_108498
152	152	30000_5003_324	105_92587,111_109522
153	153	30000_5003_325	105_93468,111_110547
154	154	30000_5003_326	105_94350,111_111573
155	155	30000_5003_327	105_95233,111_112600
156	156	30000_5003_328	105_96117,111_113628
157	157	30000_5003_329	105_97002,111_114657
158	158	30000_5003_330	105_97888,111_115687
159	159	30000_5003_331	105_98775,111_116718
160	160	30000_5003_332	105_99663,111_117750
161	161	30000_5003_333	105_100552,111_118783
162	162	30000_5003_334	105_101442,111_119817
163	163	30000_5003_335	105_102333,111_120852
164	164	30000_5003_336	105_103225,111_121888
165	165	30000_5003_337	105_104118,111_122925
166	166	30000_5003_338	105_105012,111_123963
167	167	30000_5003_339	105_105907,111_125002
168	168	30000_5003_340	105_106803,111_126042
169	169	30000_5003_341	105_107700,111_127083
170	170	30000_5003_342	105_108598,111_128125
171	171	30000_5003_343	105_109497,111_129168
172	172	30000_5003_344	105_110397,111_130212
173	173	30000_5003_345	105_111298,111_131257
174	174	30000_5003_346	105_112200,111_132303
175	175	30000_5003_347	105_113103,111_133350
176	176	30000_5003_348	105_114007,111_134398
177	177	30000_5003_349	105_114912,111_135447
178	178	30000_5003_350	105_115818,111_136497
179	179	30000_5003_351	105_116725,111_137548
180	180	30000_5003_352	105_117633,111_138600
181	181	30000_5003_353	105_118542,111_139653
182	182	30000_5003_354	105_119452,111_140707
183	183	30000_5003_355	105_120363,111_141762
184	184	30000_5003_356	105_121275,111_142818
185	185	30000_5003_357	105_122188,111_143875
186	186	30000_5003_358	105_123102,111_144933
187	187	30000_5003_359	105_124017,111_145992
188	188	30000_5003_360	105_124933,111_147052
189	189	30000_5003_361	105_125850,111_148113
190	190	30000_5003_362	105_126768,111_149175
191	191	30000_5003_363	105_127687,111_150238
192	192	30000_5003_364	105_128607,111_151302
193	193	30000_5003_365	105_129528,111_152367
194	194	30000_5003_366	105_130450,111_153433
195	195	30000_5003_367	105_131373,111_154500
196	196	30000_5003_368	105_132297,111_155568
197	197	30000_5003_369	105_133222,111_156637
198	198	30000_5003_370	105_134148,111_157707
199	199	30000_5003_371	105_135075,111_158778
200	200	30000_5003_372	105_136003,111_159850
201	0	0	0
202	1	30000_5004_1	106_220,107_220
203	2	30000_5004_2	106_452,107_452
204	3	30000_5004_4	106_692,107_692
205	4	30000_5004_6	106_940,107_940
206	5	30000_5004_8	106_1196,107_1196
207	6	30000_5004_10	106_1460,107_1460
208	7	30000_5004_12	106_1732,107_1732
209	8	30000_5004_14	106_2012,107_2012
210	9	30000_5004_16	106_2300,107_2300
211	10	30000_5004_18	106_2596,107_2596
212	11	30000_5004_20	106_2900,107_2900
213	12	30000_5004_22	106_3212,107_3212
214	13	30000_5004_24	106_3532,107_3532
215	14	30000_5004_26	106_3860,107_3860
216	15	30000_5004_28	106_4196,107_4196
217	16	30000_5004_30	106_4540,107_4540
218	17	30000_5004_32	106_4892,107_4892
219	18	30000_5004_34	106_5252,107_5252
220	19	30000_5004_36	106_5620,107_5620
221	20	30000_5004_38	106_5996,107_5996
222	21	30000_5004_40	106_6380,107_6380
223	22	30000_5004_42	106_6772,107_6772
224	23	30000_5004_44	106_7172,107_7172
225	24	30000_5004_46	106_7580,107_7580
226	25	30000_5004_48	106_7996,107_7996
227	26	30000_5004_50	106_8420,107_8420
228	27	30000_5004_52	106_8852,107_8852
229	28	30000_5004_55	106_9292,107_9292
230	29	30000_5004_59	106_9740,107_9740
231	30	30000_5004_62	106_10196,107_10196
232	31	30000_5004_65	106_10660,107_10660
233	32	30000_5004_68	106_11132,107_11132
234	33	30000_5004_71	106_11612,107_11612
235	34	30000_5004_74	106_12100,107_12100
236	35	30000_5004_77	106_12596,107_12596
237	36	30000_5004_80	106_13100,107_13100
238	37	30000_5004_83	106_13612,107_13612
239	38	30000_5004_86	106_14132,107_14132
240	39	30000_5004_89	106_14660,107_14660
241	40	30000_5004_92	106_15196,107_15196
242	41	30000_5004_95	106_15740,107_15740
243	42	30000_5004_98	106_16292,107_16292
244	43	30000_5004_101	106_16852,107_16852
245	44	30000_5004_104	106_17420,107_17420
246	45	30000_5004_107	106_17996,107_17996
247	46	30000_5004_110	106_18580,107_18580
248	47	30000_5004_113	106_19172,107_19172
249	48	30000_5004_116	106_19772,107_19772
250	49	30000_5004_119	106_20380,107_20380
251	50	30000_5004_122	106_20996,107_20996
252	51	30000_5004_125	106_21620,107_21620
253	52	30000_5004_128	106_22252,107_22252
254	53	30000_5004_131	106_22892,107_22892
255	54	30000_5004_134	106_23540,107_23540
256	55	30000_5004_137	106_24196,107_24196
257	56	30000_5004_140	106_24860,107_24860
258	57	30000_5004_143	106_25532,107_25532
259	58	30000_5004_146	106_26212,107_26212
