远征任务ID	星级	美术资源ID	任务名字	英雄星數	英雄職業	英雄屬性	獎勵	aliveTime
1	1	map/bounty_001.png	@yongbingyuanzheng_1	1	1	1	30000_7183_2	60
2	1	map/bounty_002.png	@yongbingyuanzheng_1	3	2	2	30000_7183_4	60
3	2	map/bounty_003.png	@yongbingyuanzheng_1	4	3	3	30000_7184_2	60
4	2	map/bounty_004.png	@yongbingyuanzheng_1	5	4	1	30000_7185_2	60
5	3	map/bounty_005.png	@yongbingyuanzheng_1	6	1	2	30000_7186_2	60
6	5	map/bounty_001.png	@yongbingyuanzheng_2	2	2	3	10000_1001_50	60
7	1	map/bounty_002.png	@yongbingyuanzheng_2	1	3	1	30000_3502_2	60
8	1	map/bounty_003.png	@yongbingyuanzheng_2	3	4	2	30000_3503_4	60
9	2	map/bounty_004.png	@yongbingyuanzheng_2	4	1	3	30000_3802_2	60
10	2	map/bounty_005.png	@yongbingyuanzheng_2	5	2	1	30000_3803_4	60
11	4	map/bounty_006.png	@yongbingyuanzheng_2	3	3	1	70000_1_5	60
12	4	map/bounty_001.png	@yongbingyuanzheng_3	3	4	1	70000_2_5	60
13	4	map/bounty_002.png	@yongbingyuanzheng_3	3	1	1	70000_3_5	60
14	4	map/bounty_003.png	@yongbingyuanzheng_3	3	2	1	70000_4_5	60
15	4	map/bounty_004.png	@yongbingyuanzheng_4	3	3	1	70000_5_5	60
16	4	map/bounty_005.png	@yongbingyuanzheng_5	3	4	1	70000_6_5	60
17	4	map/bounty_006.png	@yongbingyuanzheng_6	3	1	2	70000_7_5	60
18	4	map/bounty_001.png	@yongbingyuanzheng_7	3	2	2	70000_8_5	60
19	4	map/bounty_002.png	@yongbingyuanzheng_8	3	3	2	70000_9_5	60
20	4	map/bounty_003.png	@yongbingyuanzheng_9	3	4	2	70000_10_5	60
21	4	map/bounty_004.png	@yongbingyuanzheng_10	3	1	2	70000_11_5	60
22	4	map/bounty_005.png	@yongbingyuanzheng_11	3	2	2	70000_12_5	60
23	4	map/bounty_006.png	@yongbingyuanzheng_12	3	3	3	70000_13_5	60
24	4	map/bounty_001.png	@yongbingyuanzheng_13	3	4	3	70000_14_5	60
25	4	map/bounty_002.png	@yongbingyuanzheng_14	3	1	3	70000_15_5	60
26	4	map/bounty_003.png	@yongbingyuanzheng_15	3	2	3	70000_16_5	60
27	4	map/bounty_004.png	@yongbingyuanzheng_16	3	3	3	70000_17_5	60
28	4	map/bounty_005.png	@yongbingyuanzheng_17	3	4	3	70000_18_5	60
29	5	map/bounty_006.png	@yongbingyuanzheng_18	4	1	4	70000_19_5	60
30	5	map/bounty_001.png	@yongbingyuanzheng_19	4	2	4	70000_20_5	60
31	5	map/bounty_002.png	@yongbingyuanzheng_20	4	3	4	70000_21_5	60
32	5	map/bounty_003.png	@yongbingyuanzheng_21	4	4	5	70000_22_5	60
33	5	map/bounty_004.png	@yongbingyuanzheng_22	4	1	5	70000_23_5	60
34	5	map/bounty_005.png	@yongbingyuanzheng_23	4	2	5	70000_24_5	60
35	4	map/bounty_001.png	@yongbingyuanzheng_10	3	3	1	30000_30101_5	60
36	4	map/bounty_002.png	@yongbingyuanzheng_11	3	4	1	30000_30201_5	60
37	4	map/bounty_003.png	@yongbingyuanzheng_12	3	1	1	30000_31301_5	60
38	4	map/bounty_004.png	@yongbingyuanzheng_13	3	2	1	30000_30401_5	60
39	4	map/bounty_005.png	@yongbingyuanzheng_14	3	3	1	30000_30501_5	60
40	4	map/bounty_006.png	@yongbingyuanzheng_15	3	4	1	30000_30601_5	60
41	4	map/bounty_001.png	@yongbingyuanzheng_16	3	1	2	30000_31001_5	60
42	4	map/bounty_002.png	@yongbingyuanzheng_17	3	2	2	30000_31101_5	60
43	4	map/bounty_003.png	@yongbingyuanzheng_18	3	3	2	30000_31201_5	60
44	4	map/bounty_004.png	@yongbingyuanzheng_19	3	4	2	30000_31601_5	60
45	4	map/bounty_005.png	@yongbingyuanzheng_20	3	1	2	30000_31701_5	60
46	4	map/bounty_006.png	@yongbingyuanzheng_21	3	2	2	30000_31801_5	60
47	4	map/bounty_001.png	@yongbingyuanzheng_22	3	3	3	30000_30301_5	60
48	4	map/bounty_002.png	@yongbingyuanzheng_23	3	4	3	30000_30701_5	60
49	4	map/bounty_003.png	@yongbingyuanzheng_10	3	1	3	30000_30801_5	60
50	4	map/bounty_004.png	@yongbingyuanzheng_11	3	2	3	30000_30901_5	60
51	4	map/bounty_005.png	@yongbingyuanzheng_12	3	3	3	30000_31401_5	60
52	4	map/bounty_006.png	@yongbingyuanzheng_13	3	4	3	30000_31501_5	60
53	4	map/bounty_001.png	@yongbingyuanzheng_14	3	1	4	30000_31901_5	60
54	4	map/bounty_002.png	@yongbingyuanzheng_15	3	2	4	30000_32001_5	60
55	4	map/bounty_003.png	@yongbingyuanzheng_16	3	3	4	30000_32101_5	60
56	4	map/bounty_004.png	@yongbingyuanzheng_13	3	4	5	30000_32201_5	60
57	4	map/bounty_005.png	@yongbingyuanzheng_14	3	1	5	30000_32301_5	60
58	4	map/bounty_006.png	@yongbingyuanzheng_15	3	2	5	30000_32401_5	60
