id	名字(name)	地图图片路径（icon)	需要等级（level）	monsterId	奖励物品（reward）	品质（quality）
1	@MultiWarMap1	map/map_033.png	40	10001	30000_11002_1,10000_1002_38000,10000_1004_1,10000_1013_1	5
2	@MultiWarMap2	map/map_017.png	45	10002	30000_11002_1,10000_1002_46000,10000_1004_1,10000_1013_1	5
3	@MultiWarMap3	map/map_038.png	50	10003	30000_11002_1,10000_1002_54000,10000_1004_1,10000_1013_1	5
4	@MultiWarMap4	map/map_039.png	55	10004,10005	30000_11002_1,10000_1002_62000,10000_1004_1,10000_1013_1	5,5
5	@MultiWarMap5	map/map_002.png	60	10006	30000_11002_1,10000_1002_70000,10000_1004_1,10000_1013_1	5
6	@MultiWarMap6	map/map_031.png	65	10007	30000_11002_1,10000_1002_80000,10000_1004_1,10000_1013_1	5
7	@MultiWarMap7	map/map_037.png	70	10008	30000_11002_1,10000_1002_90000,10000_1004_1,10000_1013_1	5
8	@MultiWarMap8	map/map_042.png	75	10009,10010	30000_11002_1,10000_1002_102000,10000_1004_1,10000_1013_1	5,5
9	@MultiWarMap9	map/map_030.png	80	10011	30000_11002_1,10000_1002_120000,10000_1004_1,10000_1013_1	5
10	@MultiWarMap10	map/map_040.png	85	10012	30000_11002_1,10000_1002_160000,10000_1004_1,10000_1013_1	5
11	@MultiWarMap11	map/map_044.png	90	10013,10014,10015	30000_11002_1,30000_11003_1,30000_11004_1,10000_1004_1,10000_1013_1	5,5,5
12	@MultiWarMap12	map/map_045.png	95	10016	30000_11002_1,30000_11003_1,30000_11004_1,30000_11006_1,10000_1004_1,10000_1013_1	5
13	@MultiWarMap13	map/map_043.png	100	10017	30000_11002_1,30000_11003_1,30000_11004_1,30000_11005_1,30000_11006_1,10000_1004_1,10000_1013_1	5
14	@MultiWarMap14	map/map_010.png	100	10018,10019	30000_11002_1,30000_11003_1,30000_11004_1,30000_11005_1,30000_11006_1,30000_11007_1,10000_1004_1,10000_1013_1	5,5
15	@MultiWarMap15	map/map_060.png	100	10020	30000_11002_1,30000_11003_1,30000_11004_1,30000_11005_1,30000_11006_1,30000_11007_1,10000_1004_1,10000_1013_1	5
