id	类型	奖励
1	1	70000_166_10
2	1	70000_109_10
3	1	70000_152_10
4	1	70000_135_10
5	1	70000_194_10
6	1	70000_116_10
7	1	70000_138_10
8	1	70000_161_10
9	1	70000_180_10
10	1	70000_148_10
11	1	70000_169_10
12	1	70000_162_120
13	1	70000_124_120
14	1	70000_108_120
15	1	70000_122_120
16	1	70000_105_120
17	1	70000_137_120
18	1	70000_113_120
19	1	70000_120_120
20	1	70000_162_10
21	1	70000_124_10
22	1	70000_108_10
23	1	70000_122_10
24	1	70000_105_10
25	1	70000_137_10
26	1	70000_113_10
27	1	70000_120_10
28	2	70000_166_10
29	2	70000_109_10
30	2	70000_152_10
31	2	70000_135_10
32	2	70000_194_10
33	2	70000_116_10
34	2	70000_138_10
35	2	70000_161_10
36	2	70000_180_10
37	2	70000_148_10
38	2	70000_169_10
39	2	70000_162_120
40	2	70000_124_120
41	2	70000_108_120
42	2	70000_122_120
43	2	70000_105_120
44	2	70000_137_120
45	2	70000_113_120
46	2	70000_120_120
47	2	70000_203_50
48	2	70000_162_10
49	2	70000_124_10
50	2	70000_108_10
51	2	70000_122_10
52	2	70000_105_10
53	2	70000_137_10
54	2	70000_113_10
55	2	70000_120_10
56	2	70000_203_10
57	2	70000_166_2
58	2	70000_109_2
59	2	70000_152_2
60	2	70000_135_2
61	2	70000_194_2
62	2	70000_116_2
63	2	70000_138_2
64	2	70000_161_2
65	2	70000_180_2
66	2	70000_148_2
67	2	70000_169_2
68	2	70000_162_2
69	2	70000_124_2
70	2	70000_108_2
71	2	70000_122_2
72	2	70000_105_2
73	2	70000_137_2
74	2	70000_113_2
75	2	70000_120_2
76	2	70000_203_2
77	2	30000_104101_5
78	2	30000_104004_3
79	2	30000_299992_3
80	2	30000_101001_100
81	2	30000_106001_20
82	2	30000_106011_1
