引导step	nextStep	guideType	interruptStep	showType	str	func	pagename	ownerVar	showname	funcParam	selectEffect	leftNpc	autoNext	stopBattle	openMask	touchCheck	waitOpcode	Voice
10001	10101	1	10001	3						1								
10101	10102	1	10101	7		onGuideFight	NgBattlePage								1			
10102	10103	1	10101	14														
10103	10104	1	10101	1	@NewbieGuideStr1				@HeroName_1			HalfBody/role/teach_01000.png						NewbieGuide_Vo_1
10104	10105	1	10101	2			NgBattlePage	mRoleCard4			guideBtnItem.ccbi|A_Shou3.ccbi					BattleTeamCardContent.ccbi_onHead		
10105	10106	1	10101	24						4								
10106	10107	1	10101	1	@NewbieGuideStr2				@HeroName_1			HalfBody/role/teach_01000.png						NewbieGuide_Vo_2
10107	10108	1	10101	2			NgBattlePage	mRoleCard3			guideBtnItem.ccbi|A_Shou3.ccbi					BattleTeamCardContent.ccbi_onHead		
10108	10109	1	10101	24						3								
10109	10110	1	10101	2			NgBattlePage	mRoleCard2			guideBtnItem.ccbi|A_Shou3.ccbi					BattleTeamCardContent.ccbi_onHead		
10110	10112	1	10101	24						2								
	10112	0	10101	1	@NewbieGuideStr3				@HeroName_1			HalfBody/role/teach_01000.png						
10112	10113	1	10101	2			NgBattlePage	mRoleCard1			guideBtnItem.ccbi|A_Shou3.ccbi					BattleTeamCardContent.ccbi_onHead		
10113	10114	1	10101	24						1								
10114	10115	1	10101	7		onGuideBossSkill	NgBattlePage											
10115	10201	1	10101	24						14								
10201	10301	1	10201	3						2								
10301	10401	1	10301	0											1			
10401	10402	1	10401	3						3					1			
10402	10403	1	10401	5						3								
10403	10501	1	10401	4											1			
10501	10514	1	10501	1	@NewbieGuideStr4				@HeroName_1			HalfBody/role/teach_01000.png						NewbieGuide_Vo_4
10502	10503	1	10501	2			MainFrame	mBattlePageBtn			guideBtnItem.ccbi|A_Shou3.ccbi					MainFrame.ccbi_onBattlePageBtn		
10503	10516	1	10501	2			NgBattlePage	mChallangeNode			guideBtnItem.ccbi|A_Shou3.ccbi		1			BattlePage.ccbi_onDekaronBoss		
10504	10505	1	10501	5														
10505	10506	1	10501	1	@NewbieGuideStr5				@HeroName_1			HalfBody/role/teach_01000.png						NewbieGuide_Vo_5
10506	10507	1	10501	2			NgBattleEditTeamFire1_cell	mHeadNode			guideBtnItem.ccbi|A_Shou3.ccbi		1			RoleHeadIcon.ccbi_onHead		
10507	10508	1	10501	2			NgBattleEditTeamPage	mConfirmNode			guideBtnItem.ccbi|A_Shou3.ccbi					BattlePageEditTeam.ccbi_onConfirm		
10508	10509	1	10551	14														
10509	10510	1	10551	1	@NewbieGuideStr6				@HeroName_1			HalfBody/role/teach_01000.png		1				NewbieGuide_Vo_6
10510	10511	1	10551	2			NgBattlePage	mSpeedBtn			guideBtnItem.ccbi|A_Shou4.ccbi		1	1		BattlePage.ccbi_onSpeed2		
10511	10512	1	10551	4													11023	
10512	10513	1	10651	2			NgBattleResultPage	mWinBtn			guideBtnItem.ccbi|A_Shou3.ccbi					BattleWinOrLosePopUp_1.ccbi_onWinBtn		
10513	10610	1	10651	5														
10514	10502	1	10501	1	@NewbieGuideStr4_2				@HeroName_1			HalfBody/role/teach_01000.png						NewbieGuide_Vo_4_2
	10502	0	10501	1	@NewbieGuideStr4_3				@HeroName_1			HalfBody/role/teach_01000.png						
10516	10504	1	10501	4													11021	
10551	10552	1	10551	1	@NewbieGuideStr4				@HeroName_1			HalfBody/role/teach_01000.png						NewbieGuide_Vo_4
10552	10553	1	10551	2			MainFrame	mBattlePageBtn			guideBtnItem.ccbi|A_Shou3.ccbi					MainFrame.ccbi_onBattlePageBtn		
10553	10555	1	10551	2			NgBattlePage	mChallangeNode			guideBtnItem.ccbi|A_Shou3.ccbi		1			BattlePage.ccbi_onDekaronBoss		
10554	10507	1	10551	5														
10555	10554	1	10551	4													11021	
10601	10611	1	10651	2			NgBattlePage	mChallangeNode			guideBtnItem.ccbi|A_Shou3.ccbi		1			BattlePage.ccbi_onDekaronBoss		
10602	10603	1	10651	5														
10603	10604	1	10651	1	@NewbieGuideStr7				@HeroName_1			HalfBody/role/teach_01000.png						NewbieGuide_Vo_7
10604	10605	1	10651	2			NgBattleEditTeamPage	mSelectNode4			guideBtnItem.ccbi|A_Shou3.ccbi		1			BattlePageEditTeam.ccbi_onHero4		
10605	10606	1	10651	2			NgBattleEditTeamFire2_cell	mHeadNode			guideBtnItem.ccbi|A_Shou3.ccbi		1			RoleHeadIcon.ccbi_onHead		
