id	父節點	子節點	上鎖條件	群組數
10101	0	10201, 10202, 10203, 10204, 10205, 10206, 10207, 10208, 10209		1
10201	10101	10301, 10302		1
10202	10101	10303, 10304		1
10203	10101	10305		1
10204	10101	10306		1
10205	10101	10307, 10308, 10309		1
10206	10101	10310		1
10207	10101		8	1
10208	10101	10311, 10408, 10409		1
10209	10101	10312		1
10301	10201			1
10302	10201			1
10303	10202	10401, 10402		1
10304	10202	10403		1
10305	10203	10404, 10413, 10414		1
10306	10204	10405, 10406		1
10307	10205			1
10308	10205			1
10309	10205			1
10310	10206	10407, 10410, 10411, 10412		1
10311	10208			3
10312	10209	10415		1
10401	10303	10501		7
10402	10303		203	4
10403	10304		203	1
10404	10305	10510		1
10405	10306		403	1
10406	10306		403	1
10407	10310	10502, 10503		4
10408	10208		3	4
10409	10208		3	20
10410	10310	10504, 10505		4
10411	10310	10506, 10507		4
10412	10310	10508, 10509		4
10413	10305	10511	207	1
10414	10305	10512	207	1
10415	10312		801	1
10501	10401		203	20
10502	10407		4	1
10503	10407		4	20
10504	10410		4	1
10505	10410		4	20
10506	10411		4	1
10507	10411		4	20
10508	10412		4	1
10509	10412		4	20
10510	10404		207	1
10511	10413		207	1
10512	10414		207	1
20101	0	20201, 20202, 20203		1
20201	20101	20301, 20302, 20303, 20304, 20305, 20306, 20307, 20308		1
20202	20101	20309, 20310		1
20203	20101	20311, 20312, 20313		1
20301	20201	20401		1
20309	20202		103	10
20310	20202		103	10
20302	20201	20402		1
20303	20201	20403		1
20304	20201	20404		1
20305	20201	20405		1
20306	20201	20406		1
20307	20201	20407		1
20308	20201	20408		1
20311	20203	20409		1
20312	20203	20410		1
20313	20203	20411		1
20401	20301	20501		1
20402	20302	20502		1
20403	20303	20503		1
20404	20304	20504		1
20405	20305	20505		1
20406	20306	20506		1
20407	20307	20507		1
20408	20308	20508		1
20409	20311		101	1
20410	20312		101	5
20411	20313		101	4
20501	20401		108	1
20502	20402		108	1
20503	20403		108	1
20504	20404		108	1
20505	20405		108	1
20506	20406		108	1
20507	20407		108	1
20508	20408		108	1
30101	0	30201, 30202, 30203		1
30201	30101			1
30202	30101	30301		1
30203	30101		3	1
30301	30202		901	1
40101	0	40201, 40202, 40203		1
40201	40101	40301		1
40202	40101	40302		1
40203	40101	40303		1
40301	40201	40401, 40402, 40403		24
40302	40202	40511		24
40303	40203			6
40401	40301	40501		24
40402	40301	40502, 40504, 40505, 40506, 40507, 40508		24
40403	40301	40509		24
40510				24
40511	40302	40602		24
40501	40401			24
40502	40402	40603, 40604, 40605, 40606		24
40504	40402		802	24
40505	40402		803	24
40506	40402		804	24
40507	40402		805	24
40508	40402		801	24
40509	40403			24
40601				24
40602	40511			24
40603	40502			24
40604	40502			24
40605	40502			24
40606	40502			24
50101	0	50201		1
50201	50101	50301		1
50301	50201		601	1
