id	类型	奖励
1	0	70000_147_10
2	0	70000_147_5
3	0	30000_202013_2
4	0	30000_103001_2
5	0	30000_103002_2
6	0	30000_106011_1
7	0	30000_299992_3
8	0	30000_101001_100
9	1	70000_147_2
10	1	70000_147_5
11	1	70000_147_10
12	1	70000_147_120
13	2	70000_147_120
14	2	70000_152_120
15	2	70000_120_120
16	2	70000_162_120
17	2	70000_136_120
18	2	70000_113_120
19	2	70000_122_120
20	2	70000_147_10
21	2	70000_152_10
22	2	70000_120_10
23	2	70000_162_10
24	2	70000_136_10
25	2	70000_113_10
26	2	70000_122_10
27	2	70000_147_5
28	2	70000_152_5
29	2	70000_120_5
30	2	70000_162_5
31	2	70000_136_5
32	2	70000_113_5
33	2	70000_122_5
34	2	70000_147_2
35	2	70000_152_2
36	2	70000_120_2
37	2	70000_162_2
38	2	70000_136_2
39	2	70000_113_2
40	2	70000_122_2
