id	类型	奖励
1	1	70000_1_1
2	1	70000_2_1
3	1	70000_3_1
4	1	70000_4_1
5	1	70000_5_1
6	1	70000_6_1
7	1	70000_7_1
8	1	70000_8_1
9	1	70000_9_1
10	1	70000_10_1
11	1	70000_11_1
12	1	70000_12_1
13	1	70000_13_1
14	1	70000_14_1
15	1	70000_11_1
16	1	70000_16_1
17	1	70000_17_1
18	1	70000_18_1
19	1	70000_19_1
20	1	70000_21_1
21	1	70000_22_1
22	1	70000_24_1
23	1	70000_1_5
24	1	70000_2_5
25	1	70000_3_5
26	1	70000_4_5
27	1	70000_5_5
28	1	70000_6_5
29	1	70000_7_5
30	1	70000_8_5
31	1	70000_9_5
32	1	70000_10_5
33	1	70000_11_5
34	1	70000_12_5
35	1	70000_13_5
36	1	70000_14_5
37	1	70000_15_5
38	1	70000_16_5
39	1	70000_17_5
40	1	70000_18_5
41	1	70000_19_5
42	1	70000_21_5
43	1	70000_22_5
44	1	70000_24_5
45	1	70000_1_10
46	1	70000_2_10
47	1	70000_3_10
48	1	70000_4_10
49	1	70000_5_10
50	1	70000_6_10
51	1	70000_7_10
52	1	70000_8_10
53	1	70000_9_10
54	1	70000_10_10
55	1	70000_11_10
56	1	70000_12_10
57	1	70000_13_10
58	1	70000_14_10
59	1	70000_15_10
60	1	70000_16_10
61	1	70000_17_10
62	1	70000_18_10
63	1	70000_19_10
64	1	70000_21_10
65	1	70000_22_10
66	1	70000_24_10
67	1	70000_1_15
68	1	70000_2_15
69	1	70000_3_15
70	1	70000_4_15
71	1	70000_5_15
72	1	70000_6_15
73	1	70000_7_15
74	1	70000_8_15
75	1	70000_9_15
76	1	70000_10_15
77	1	70000_11_15
78	1	70000_12_15
79	1	70000_13_15
80	1	70000_14_15
81	1	70000_15_15
82	1	70000_16_15
83	1	70000_17_15
84	1	70000_18_15
85	1	70000_19_15
86	1	70000_21_15
87	1	70000_22_15
88	1	70000_24_15
89	1	70000_1_30
90	1	70000_2_30
91	1	70000_3_30
92	1	70000_4_30
93	1	70000_5_30
94	1	70000_6_30
95	1	70000_7_30
96	1	70000_8_30
97	1	70000_9_30
98	1	70000_10_30
99	1	70000_11_30
100	1	70000_12_30
101	1	70000_13_30
102	1	70000_14_30
103	1	70000_15_30
104	1	70000_16_30
105	1	70000_17_30
106	1	70000_18_30
107	1	70000_19_30
108	1	70000_21_30
109	1	70000_22_30
110	1	70000_24_30
111	1	70000_1_45
112	1	70000_2_45
113	1	70000_3_45
114	1	70000_4_45
115	1	70000_5_45
116	1	70000_6_45
117	1	70000_7_45
118	1	70000_8_45
119	1	70000_9_45
120	1	70000_10_45
121	1	70000_11_45
122	1	70000_12_45
123	1	70000_13_45
124	1	70000_14_45
125	1	70000_15_45
126	1	70000_16_45
127	1	70000_17_45
128	1	70000_18_45
129	1	70000_19_45
130	1	70000_21_45
131	1	70000_22_45
132	1	70000_24_45
133	1	70000_1_60
134	1	70000_2_60
135	1	70000_3_60
136	1	70000_4_60
137	1	70000_5_60
138	1	70000_6_60
139	1	70000_7_60
140	1	70000_8_60
141	1	70000_9_60
142	1	70000_10_60
143	1	70000_11_60
144	1	70000_12_60
145	1	70000_13_60
146	1	70000_14_60
147	1	70000_15_60
148	1	70000_16_60
149	1	70000_17_60
150	1	70000_18_60
151	1	70000_19_60
152	1	70000_21_60
153	1	70000_22_60
154	1	70000_24_60
155	2	70000_1_60
156	2	70000_2_60
157	2	70000_3_60
158	2	70000_7_60
159	2	70000_8_60
160	2	70000_9_60
161	2	70000_13_60
162	2	70000_14_60
163	2	70000_15_60
