id	itemId	score	強化照片檔名	avg	reward	cost_reward
1	1	25	intimacy_01_01	00101	70000_1_40	70000_1_60
2	1	75	intimacy_01_02	00102	70000_1_40	70000_1_60
3	1	100	intimacy_01_03	00103	70000_1_40	70000_1_60
4	1	150	intimacy_01_04	00104	70000_1_40	70000_1_60
5	1	250	intimacy_01_05	00105	70000_1_40	70000_1_60
6	1	375	intimacy_01_06	00106	70000_1_40	70000_1_60
7	1	500	intimacy_01_07	00107	70000_1_40	70000_1_60
8	2	50	intimacy_02_01	00201	70000_2_40	70000_2_60
9	2	75	intimacy_02_02	00202	70000_2_40	70000_2_60
10	2	100	intimacy_02_03	00203	70000_2_40	70000_2_60
11	2	150	intimacy_02_04	00204	70000_2_40	70000_2_60
12	2	250	intimacy_02_05	00205	70000_2_40	70000_2_60
13	2	375	intimacy_02_06	00206	70000_2_40	70000_2_60
14	2	500	intimacy_02_07	00207	70000_2_40	70000_2_60
15	3	50	intimacy_03_01	00301	70000_3_40	70000_3_60
16	3	75	intimacy_03_02	00302	70000_3_40	70000_3_60
17	3	100	intimacy_03_03	00303	70000_3_40	70000_3_60
18	3	150	intimacy_03_04	00304	70000_3_40	70000_3_60
19	3	250	intimacy_03_05	00305	70000_3_40	70000_3_60
20	3	375	intimacy_03_06	00306	70000_3_40	70000_3_60
21	3	500	intimacy_03_07	00307	70000_3_40	70000_3_60
22	4	50	intimacy_04_01	00401	70000_4_40	70000_4_60
23	4	75	intimacy_04_02	00402	70000_4_40	70000_4_60
24	4	100	intimacy_04_03	00403	70000_4_40	70000_4_60
25	4	150	intimacy_04_04	00404	70000_4_40	70000_4_60
26	4	250	intimacy_04_05	00405	70000_4_40	70000_4_60
27	4	375	intimacy_04_06	00406	70000_4_40	70000_4_60
28	4	500	intimacy_04_07	00407	70000_4_40	70000_4_60
29	5	50	intimacy_05_01	00501	70000_5_40	70000_5_60
30	5	75	intimacy_05_02	00502	70000_5_40	70000_5_60
31	5	100	intimacy_05_03	00503	70000_5_40	70000_5_60
32	5	150	intimacy_05_04	00504	70000_5_40	70000_5_60
33	5	250	intimacy_05_05	00505	70000_5_40	70000_5_60
34	5	375	intimacy_05_06	00506	70000_5_40	70000_5_60
35	5	500	intimacy_05_07	00507	70000_5_40	70000_5_60
36	6	50	intimacy_06_01	00601	70000_6_40	70000_6_60
37	6	75	intimacy_06_02	00602	70000_6_40	70000_6_60
38	6	100	intimacy_06_03	00603	70000_6_40	70000_6_60
39	6	150	intimacy_06_04	00604	70000_6_40	70000_6_60
40	6	250	intimacy_06_05	00605	70000_6_40	70000_6_60
41	6	375	intimacy_06_06	00606	70000_6_40	70000_6_60
42	6	500	intimacy_06_07	00607	70000_6_40	70000_6_60
43	7	50	intimacy_07_01	00701	70000_7_40	70000_7_60
44	7	75	intimacy_07_02	00702	70000_7_40	70000_7_60
