ID	Hero	QuestionStr	Answer1	Answer2	End1	End2
1001	1	@QuestionStr_1001	@Answer1_1001	@Answer2_1001	@End1_1001	@End2_1001
1002	1	@QuestionStr_1002	@Answer1_1002	@Answer2_1002	@End1_1002	@End2_1002
1003	1	@QuestionStr_1003	@Answer1_1003	@Answer2_1003	@End1_1003	@End2_1003
1004	1	@QuestionStr_1004	@Answer1_1004	@Answer2_1004	@End1_1004	@End2_1004
1005	1	@QuestionStr_1005	@Answer1_1005	@Answer2_1005	@End1_1005	@End2_1005
1006	1	@QuestionStr_1006	@Answer1_1006	@Answer2_1006	@End1_1006	@End2_1006
1007	1	@QuestionStr_1007	@Answer1_1007	@Answer2_1007	@End1_1007	@End2_1007
1008	1	@QuestionStr_1008	@Answer1_1008	@Answer2_1008	@End1_1008	@End2_1008
1009	1	@QuestionStr_1009	@Answer1_1009	@Answer2_1009	@End1_1009	@End2_1009
1010	1	@QuestionStr_1010	@Answer1_1010	@Answer2_1010	@End1_1010	@End2_1010
1011	1	@QuestionStr_1001	@Answer1_1001	@Answer2_1001	@End1_1001	@End2_1001
1012	1	@QuestionStr_1002	@Answer1_1002	@Answer2_1002	@End1_1002	@End2_1002
1013	1	@QuestionStr_1003	@Answer1_1003	@Answer2_1003	@End1_1003	@End2_1003
1014	1	@QuestionStr_1004	@Answer1_1004	@Answer2_1004	@End1_1004	@End2_1004
1015	1	@QuestionStr_1005	@Answer1_1005	@Answer2_1005	@End1_1005	@End2_1005
1016	1	@QuestionStr_1006	@Answer1_1006	@Answer2_1006	@End1_1006	@End2_1006
1017	1	@QuestionStr_1007	@Answer1_1007	@Answer2_1007	@End1_1007	@End2_1007
1018	1	@QuestionStr_1008	@Answer1_1008	@Answer2_1008	@End1_1008	@End2_1008
1019	1	@QuestionStr_1009	@Answer1_1009	@Answer2_1009	@End1_1009	@End2_1009
1020	1	@QuestionStr_1010	@Answer1_1010	@Answer2_1010	@End1_1010	@End2_1010
1021	1	@QuestionStr_1001	@Answer1_1001	@Answer2_1001	@End1_1001	@End2_1001
1022	1	@QuestionStr_1002	@Answer1_1002	@Answer2_1002	@End1_1002	@End2_1002
1023	1	@QuestionStr_1003	@Answer1_1003	@Answer2_1003	@End1_1003	@End2_1003
1024	1	@QuestionStr_1004	@Answer1_1004	@Answer2_1004	@End1_1004	@End2_1004
1025	1	@QuestionStr_1005	@Answer1_1005	@Answer2_1005	@End1_1005	@End2_1005
1026	1	@QuestionStr_1006	@Answer1_1006	@Answer2_1006	@End1_1006	@End2_1006
1027	1	@QuestionStr_1007	@Answer1_1007	@Answer2_1007	@End1_1007	@End2_1007
1028	1	@QuestionStr_1008	@Answer1_1008	@Answer2_1008	@End1_1008	@End2_1008
1029	1	@QuestionStr_1009	@Answer1_1009	@Answer2_1009	@End1_1009	@End2_1009
1030	1	@QuestionStr_1010	@Answer1_1010	@Answer2_1010	@End1_1010	@End2_1010
1031	1	@QuestionStr_1001	@Answer1_1001	@Answer2_1001	@End1_1001	@End2_1001
1032	1	@QuestionStr_1002	@Answer1_1002	@Answer2_1002	@End1_1002	@End2_1002
1033	1	@QuestionStr_1003	@Answer1_1003	@Answer2_1003	@End1_1003	@End2_1003
1034	1	@QuestionStr_1004	@Answer1_1004	@Answer2_1004	@End1_1004	@End2_1004
1035	1	@QuestionStr_1005	@Answer1_1005	@Answer2_1005	@End1_1005	@End2_1005
1036	1	@QuestionStr_1006	@Answer1_1006	@Answer2_1006	@End1_1006	@End2_1006
1037	1	@QuestionStr_1007	@Answer1_1007	@Answer2_1007	@End1_1007	@End2_1007
1038	1	@QuestionStr_1008	@Answer1_1008	@Answer2_1008	@End1_1008	@End2_1008
1039	1	@QuestionStr_1009	@Answer1_1009	@Answer2_1009	@End1_1009	@End2_1009
1040	1	@QuestionStr_1010	@Answer1_1010	@Answer2_1010	@End1_1010	@End2_1010
1041	1	@QuestionStr_1001	@Answer1_1001	@Answer2_1001	@End1_1001	@End2_1001
1042	1	@QuestionStr_1002	@Answer1_1002	@Answer2_1002	@End1_1002	@End2_1002
1043	1	@QuestionStr_1003	@Answer1_1003	@Answer2_1003	@End1_1003	@End2_1003
1044	1	@QuestionStr_1004	@Answer1_1004	@Answer2_1004	@End1_1004	@End2_1004
1045	1	@QuestionStr_1005	@Answer1_1005	@Answer2_1005	@End1_1005	@End2_1005
1046	1	@QuestionStr_1006	@Answer1_1006	@Answer2_1006	@End1_1006	@End2_1006
1047	1	@QuestionStr_1007	@Answer1_1007	@Answer2_1007	@End1_1007	@End2_1007
1048	1	@QuestionStr_1008	@Answer1_1008	@Answer2_1008	@End1_1008	@End2_1008
1049	1	@QuestionStr_1009	@Answer1_1009	@Answer2_1009	@End1_1009	@End2_1009
1050	1	@QuestionStr_1010	@Answer1_1010	@Answer2_1010	@End1_1010	@End2_1010
1051	1	@QuestionStr_1001	@Answer1_1001	@Answer2_1001	@End1_1001	@End2_1001
1052	1	@QuestionStr_1002	@Answer1_1002	@Answer2_1002	@End1_1002	@End2_1002
1053	1	@QuestionStr_1003	@Answer1_1003	@Answer2_1003	@End1_1003	@End2_1003
