id	type	needcount	awards
10001	1	1	30000_6004_10
10002	1	1	30000_6004_10
10003	1	1	30000_6004_10
10004	1	1	30000_6004_10
10005	1	1	30000_6004_10
10006	1	1	30000_6004_10
10007	1	1	30000_6004_10
10008	1	1	30000_6004_10
10009	1	1	30000_6004_10
10010	1	1	30000_6004_10
10011	1	1	30000_6004_10
10012	1	1	30000_6004_10
10013	1	1	30000_6004_10
10014	1	1	30000_6004_10
10015	1	1	30000_6004_10
10016	1	1	30000_6004_10
10017	1	1	30000_6004_10
10018	1	1	30000_6004_10
10019	1	1	30000_6004_10
10020	1	1	30000_6004_10
10021	1	1	30000_6004_10
10022	1	1	30000_6004_10
10023	1	1	30000_6004_10
10024	1	1	30000_6004_10
10025	1	1	30000_6004_10
10026	1	1	30000_6004_10
10027	1	1	30000_6004_10
10028	1	1	30000_6004_10
10029	1	1	30000_6004_10
10030	1	1	30000_6004_10
20001	2	4	30000_6004_11
20002	2	4	30000_6004_11
20003	2	4	30000_6004_11
20004	2	4	30000_6004_11
20005	2	4	30000_6004_11
20006	2	4	30000_6004_11
20007	2	4	30000_6004_11
20008	2	4	30000_6004_11
20009	2	4	30000_6004_11
20010	2	4	30000_6004_11
20011	2	4	30000_6004_11
20012	2	4	30000_6004_11
20013	2	4	30000_6004_11
20014	2	4	30000_6004_11
20015	2	4	30000_6004_11
20016	2	4	30000_6004_11
20017	2	4	30000_6004_11
20018	2	4	30000_6004_11
20019	2	4	30000_6004_11
20020	2	4	30000_6004_11
20021	2	4	30000_6004_11
20022	2	4	30000_6004_11
20023	2	4	30000_6004_11
20024	2	4	30000_6004_11
20025	2	4	30000_6004_11
20026	2	4	30000_6004_11
20027	2	4	30000_6004_11
20028	2	4	30000_6004_11
20029	2	4	30000_6004_11
20030	2	4	30000_6004_11
30001	3	7	30000_6004_12
30002	3	7	30000_6004_12
30003	3	7	30000_6004_12
30004	3	7	30000_6004_12
30005	3	7	30000_6004_12
30006	3	7	30000_6004_12
30007	3	7	30000_6004_12
30008	3	7	30000_6004_12
30009	3	7	30000_6004_12
30010	3	7	30000_6004_12
30011	3	7	30000_6004_12
30012	3	7	30000_6004_12
30013	3	7	30000_6004_12
30014	3	7	30000_6004_12
30015	3	7	30000_6004_12
30016	3	7	30000_6004_12
30017	3	7	30000_6004_12
30018	3	7	30000_6004_12
30019	3	7	30000_6004_12
30020	3	7	30000_6004_12
30021	3	7	30000_6004_12
30022	3	7	30000_6004_12
30023	3	7	30000_6004_12
30024	3	7	30000_6004_12
30025	3	7	30000_6004_12
30026	3	7	30000_6004_12
30027	3	7	30000_6004_12
30028	3	7	30000_6004_12
30029	3	7	30000_6004_12
30030	3	7	30000_6004_12
