属性id（id）	属性类型（type）	加成id（upId）	属性加成（bonuses）	属性描述（describe）
1	1	1	0	@SuitAttr_Desc_1
2	1	1	0	@SuitAttr_Desc_2
3	1	1	0	@SuitAttr_Desc_3
4	1	1	0	@SuitAttr_Desc_4
5	1	1	0	@SuitAttr_Desc_5
6	1	1	0	@SuitAttr_Desc_6
7	1	1	0	@SuitAttr_Desc_7
8	1	1	0	@SuitAttr_Desc_8
9	1	1	0	@SuitAttr_Desc_9
10	1	1	0	@SuitAttr_Desc_10
11	1	1	0	@SuitAttr_Desc_11
12	1	1	0	@SuitAttr_Desc_12
13	1	1	0	@SuitAttr_Desc_13
14	1	1	0	@SuitAttr_Desc_14
15	1	1	0	@SuitAttr_Desc_15
16	1	1	0	@SuitAttr_Desc_16
17	1	1	0	@SuitAttr_Desc_17
18	1	1	0	@SuitAttr_Desc_18
19	1	1	0	@SuitAttr_Desc_19
20	1	1	0	@SuitAttr_Desc_20
21	1	1	0	@SuitAttr_Desc_21
22	1	1	0	@SuitAttr_Desc_22
23	1	1	0	@SuitAttr_Desc_23
24	1	1	0	@SuitAttr_Desc_24
