id	类型	职业	装备id	等级	专属
1	1	1	60111001	55	0
2	1	1	60111002	55	0
3	1	1	60111004	55	0
4	1	1	60111106	55	0
5	1	2	60111001	55	0
6	1	2	60111002	55	0
7	1	2	60111004	55	0
8	1	2	60111206	55	0
9	1	3	60111001	55	0
10	1	3	60111002	55	0
11	1	3	60111004	55	0
12	1	3	60111306	55	0
13	2	1	60211003	55	0
14	2	1	60211105	55	0
15	2	1	60211007	55	0
16	2	1	60211008	55	0
17	2	1	60211009	55	0
18	2	1	60211010	55	0
19	2	2	60211003	55	0
20	2	2	60211205	55	0
21	2	2	60211007	55	0
22	2	2	60211008	55	0
23	2	2	60211009	55	0
24	2	2	60211010	55	0
25	2	3	60211003	55	0
26	2	3	60211305	55	0
27	2	3	60211007	55	0
28	2	3	60211008	55	0
29	2	3	60211009	55	0
30	2	3	60211010	55	0
31	3	1	60311001	55	0
32	3	1	60311002	55	0
33	3	1	60311003	55	0
34	3	1	60311004	55	0
35	3	1	60311105	55	0
36	3	1	60311106	55	0
37	3	1	60311007	55	0
38	3	1	60311009	55	0
39	3	2	60311001	55	0
40	3	2	60311002	55	0
41	3	2	60311003	55	0
42	3	2	60311004	55	0
43	3	2	60311205	55	0
44	3	2	60311206	55	0
45	3	2	60311007	55	0
46	3	2	60311009	55	0
47	3	3	60311001	55	0
48	3	3	60311002	55	0
49	3	3	60311003	55	0
50	3	3	60311004	55	0
51	3	3	60311305	55	0
52	3	3	60311306	55	0
53	3	3	60311007	55	0
54	3	3	60311009	55	0
57	3	1	91680551	55	1
58	3	1	91780551	55	1
59	3	1	91420551	55	1
63	3	3	91360551	55	1
69	3	1	91710551	55	1
76	3	1	91380551	55	1
77	3	1	91760551	55	1
79	3	1	91590551	55	1
83	3	2	91820551	55	1
87	3	2	91070551	55	1
88	3	2	91700551	55	1
90	3	2	91200551	55	1
91	3	2	91400551	55	1
93	3	2	91800551	55	1
97	3	3	91110551	55	1
101	3	3	91390551	55	1
102	3	3	91290551	55	1
104	3	3	91130551	55	1
105	3	3	91840551	55	1
112	3	3	91850551	55	1
114	3	3	91440551	55	1
517	3	3	91960551	55	1
521	3	1	92400551	55	1
553	3	3	92050551	55	1
541	3	3	92020551	55	1
557	3	3	92060551	55	1
561	3	1	92070551	55	1
585	3	1	92390551	55	1
116	1	1	60414001	70	0
117	1	1	60414002	70	0
118	1	1	60414004	70	0
119	1	1	60414106	70	0
120	1	2	60414001	70	0
121	1	2	60414002	70	0
122	1	2	60414004	70	0
123	1	2	60414206	70	0
124	1	3	60414001	70	0
125	1	3	60414002	70	0
126	1	3	60414004	70	0
127	1	3	60414306	70	0
128	2	1	60514003	70	0
129	2	1	60514105	70	0
130	2	1	60514007	70	0
131	2	1	60514008	70	0
132	2	1	60514009	70	0
133	2	1	60514010	70	0
134	2	2	60514003	70	0
135	2	2	60514205	70	0
136	2	2	60514007	70	0
137	2	2	60514008	70	0
138	2	2	60514009	70	0
139	2	2	60514010	70	0
140	2	3	60514003	70	0
141	2	3	60514305	70	0
142	2	3	60514007	70	0
143	2	3	60514008	70	0
144	2	3	60514009	70	0
145	2	3	60514010	70	0
146	3	1	60614001	70	0
147	3	1	60614002	70	0
148	3	1	60614003	70	0
149	3	1	60614004	70	0
150	3	1	60614105	70	0
151	3	1	60614106	70	0
152	3	1	60614007	70	0
153	3	1	60614009	70	0
154	3	2	60614001	70	0
155	3	2	60614002	70	0
156	3	2	60614003	70	0
157	3	2	60614004	70	0
158	3	2	60614205	70	0
159	3	2	60614206	70	0
160	3	2	60614007	70	0
161	3	2	60614009	70	0
162	3	3	60614001	70	0
163	3	3	60614002	70	0
164	3	3	60614003	70	0
165	3	3	60614004	70	0
166	3	3	60614305	70	0
167	3	3	60614306	70	0
168	3	3	60614007	70	0
169	3	3	60614009	70	0
172	3	1	91680701	70	1
173	3	1	91780701	70	1
174	3	1	91420701	70	1
178	3	3	91360701	70	1
184	3	1	91710701	70	1
191	3	1	91380701	70	1
192	3	1	91760701	70	1
194	3	1	91590701	70	1
198	3	2	91820701	70	1
202	3	2	91070701	70	1
203	3	2	91700701	70	1
205	3	2	91200701	70	1
206	3	2	91400701	70	1
208	3	2	91800701	70	1
212	3	3	91110701	70	1
216	3	3	91390701	70	1
217	3	3	91290701	70	1
219	3	3	91130701	70	1
220	3	3	91840701	70	1
522	3	1	92400701	70	1
227	3	3	91850701	70	1
229	3	3	91440701	70	1
518	3	3	91960701	70	1
542	3	3	92020701	70	1
554	3	3	92050701	70	1
558	3	3	92060701	70	1
562	3	1	92070701	70	1
586	3	1	92390701	70	1
231	1	1	60717001	85	0
232	1	1	60717002	85	0
233	1	1	60717004	85	0
234	1	1	60717106	85	0
235	1	2	60717001	85	0
236	1	2	60717002	85	0
237	1	2	60717004	85	0
238	1	2	60717206	85	0
239	1	3	60717001	85	0
240	1	3	60717002	85	0
241	1	3	60717004	85	0
242	1	3	60717306	85	0
243	2	1	60817003	85	0
244	2	1	60817105	85	0
245	2	1	60817007	85	0
246	2	1	60817008	85	0
247	2	1	60817009	85	0
248	2	1	60817010	85	0
249	2	2	60817003	85	0
250	2	2	60817205	85	0
251	2	2	60817007	85	0
252	2	2	60817008	85	0
253	2	2	60817009	85	0
254	2	2	60817010	85	0
255	2	3	60817003	85	0
256	2	3	60817305	85	0
257	2	3	60817007	85	0
258	2	3	60817008	85	0
259	2	3	60817009	85	0
260	2	3	60817010	85	0
261	3	1	60917001	85	0
262	3	1	60917002	85	0
263	3	1	60917003	85	0
264	3	1	60917004	85	0
265	3	1	60917105	85	0
266	3	1	60917106	85	0
267	3	1	60917007	85	0
268	3	1	60917009	85	0
269	3	2	60917001	85	0
270	3	2	60917002	85	0
271	3	2	60917003	85	0
272	3	2	60917004	85	0
273	3	2	60917205	85	0
274	3	2	60917206	85	0
275	3	2	60917007	85	0
276	3	2	60917009	85	0
277	3	3	60917001	85	0
278	3	3	60917002	85	0
279	3	3	60917003	85	0
280	3	3	60917004	85	0
281	3	3	60917305	85	0
282	3	3	60917306	85	0
283	3	3	60917007	85	0
284	3	3	60917009	85	0
287	3	1	91680851	85	1
288	3	1	91780851	85	1
289	3	1	91420851	85	1
293	3	3	91360851	85	1
299	3	1	91710851	85	1
306	3	1	91380851	85	1
307	3	1	91760851	85	1
309	3	1	91590851	85	1
313	3	2	91820851	85	1
317	3	2	91070851	85	1
318	3	2	91700851	85	1
320	3	2	91200851	85	1
321	3	2	91400851	85	1
323	3	2	91800851	85	1
327	3	3	91110851	85	1
331	3	3	91390851	85	1
332	3	3	91290851	85	1
334	3	3	91130851	85	1
335	3	3	91840851	85	1
342	3	3	91850851	85	1
344	3	3	91440851	85	1
519	3	3	91960851	85	1
523	3	1	92400851	85	1
543	3	3	92020851	85	1
555	3	3	92050851	85	1
559	3	3	92060851	85	1
563	3	1	92070851	85	1
587	3	1	92390851	85	1
346	1	1	61020001	100	0
347	1	1	61020002	100	0
348	1	1	61020004	100	0
349	1	1	61020106	100	0
350	1	2	61020001	100	0
351	1	2	61020002	100	0
352	1	2	61020004	100	0
353	1	2	61020206	100	0
354	1	3	61020001	100	0
355	1	3	61020002	100	0
356	1	3	61020004	100	0
357	1	3	61020306	100	0
358	2	1	61120003	100	0
359	2	1	61120105	100	0
360	2	1	61120007	100	0
361	2	1	61120008	100	0
362	2	1	61120009	100	0
363	2	1	61120010	100	0
364	2	2	61120003	100	0
365	2	2	61120205	100	0
366	2	2	61120007	100	0
367	2	2	61120008	100	0
368	2	2	61120009	100	0
369	2	2	61120010	100	0
370	2	3	61120003	100	0
371	2	3	61120305	100	0
372	2	3	61120007	100	0
373	2	3	61120008	100	0
374	2	3	61120009	100	0
375	2	3	61120010	100	0
376	3	1	61220001	100	0
377	3	1	61220002	100	0
378	3	1	61220003	100	0
379	3	1	61220004	100	0
380	3	1	61220105	100	0
