id	type	month	days	awards
1	1	1	1	30000_7001_25000
2	1	1	2	10000_1001_500
3	1	1	3	30000_7001_25000
4	1	1	4	10000_1001_500
5	1	1	5	30000_7157_1
6	1	1	6	10000_1001_500
7	1	1	7	30000_7009_1
8	1	1	8	10000_1001_500
9	1	1	9	10000_1026_840
10	1	1	10	30000_7009_1
11	1	1	11	10000_1001_500
12	1	1	12	10000_1001_500
13	1	1	13	30000_7001_25000
14	1	1	14	10000_1001_500
15	1	1	15	30000_7126_1
16	1	1	16	30000_7157_1
17	1	1	17	10000_1001_500
18	1	1	18	30000_7009_1
19	1	1	19	10000_1001_500
20	1	1	20	10000_1001_500
21	1	1	21	10000_1001_500
22	1	1	22	30000_7001_25000
23	1	1	23	10000_1001_500
24	1	1	24	30000_7009_1
25	1	1	25	10000_1001_500
26	1	1	26	10000_1001_500
27	1	1	27	30000_7001_25000
28	1	1	28	10000_1001_500
29	1	1	29	10000_1026_840
30	1	1	30	10000_1001_500
31	1	1	31	10000_1001_500
32	1	2	1	30000_7001_25000
33	1	2	2	10000_1001_500
34	1	2	3	30000_7001_25000
35	1	2	4	10000_1001_500
36	1	2	5	30000_7157_1
37	1	2	6	10000_1001_500
38	1	2	7	30000_7009_1
39	1	2	8	10000_1001_500
40	1	2	9	10000_1026_840
41	1	2	10	30000_7009_1
42	1	2	11	10000_1001_500
43	1	2	12	10000_1001_500
44	1	2	13	30000_7001_25000
45	1	2	14	10000_1001_500
46	1	2	15	30000_7126_1
47	1	2	16	30000_7157_1
48	1	2	17	10000_1001_500
49	1	2	18	30000_7009_1
50	1	2	19	10000_1001_500
51	1	2	20	10000_1001_500
52	1	2	21	10000_1001_500
53	1	2	22	30000_7001_25000
54	1	2	23	10000_1001_500
55	1	2	24	30000_7009_1
56	1	2	25	10000_1001_500
57	1	2	26	10000_1001_500
58	1	2	27	30000_7001_25000
59	1	2	28	10000_1026_840
60	1	3	1	30000_7001_25000
61	1	3	2	10000_1001_500
62	1	3	3	30000_7001_25000
63	1	3	4	10000_1001_500
64	1	3	5	30000_7157_1
65	1	3	6	10000_1001_500
66	1	3	7	30000_7009_1
67	1	3	8	10000_1001_500
68	1	3	9	10000_1026_840
69	1	3	10	30000_7009_1
70	1	3	11	10000_1001_500
71	1	3	12	10000_1001_500
72	1	3	13	30000_7001_25000
73	1	3	14	10000_1001_500
74	1	3	15	30000_7126_1
75	1	3	16	30000_7157_1
76	1	3	17	10000_1001_500
77	1	3	18	30000_7009_1
78	1	3	19	10000_1001_500
79	1	3	20	10000_1001_500
80	1	3	21	10000_1001_500
81	1	3	22	30000_7001_25000
82	1	3	23	10000_1001_500
83	1	3	24	30000_7009_1
84	1	3	25	10000_1001_500
85	1	3	26	10000_1001_500
86	1	3	27	30000_7001_25000
87	1	3	28	10000_1001_500
88	1	3	29	10000_1026_840
89	1	3	30	10000_1001_500
90	1	3	31	10000_1001_500
91	1	4	1	30000_7001_25000
92	1	4	2	10000_1001_500
93	1	4	3	30000_7001_25000
94	1	4	4	10000_1001_500
95	1	4	5	30000_7157_1
96	1	4	6	10000_1001_500
97	1	4	7	30000_7009_1
98	1	4	8	10000_1001_500
99	1	4	9	10000_1026_840
100	1	4	10	30000_7009_1
101	1	4	11	10000_1001_500
102	1	4	12	10000_1001_500
103	1	4	13	30000_7001_25000
104	1	4	14	10000_1001_500
105	1	4	15	30000_7126_1
106	1	4	16	30000_7157_1
107	1	4	17	10000_1001_500
108	1	4	18	30000_7009_1
109	1	4	19	10000_1001_500
110	1	4	20	10000_1001_500
111	1	4	21	10000_1001_500
112	1	4	22	30000_7001_25000
113	1	4	23	10000_1001_500
114	1	4	24	30000_7009_1
115	1	4	25	10000_1001_500
116	1	4	26	10000_1001_500
117	1	4	27	30000_7001_25000
118	1	4	28	10000_1001_500
119	1	4	29	10000_1026_840
120	1	4	30	10000_1001_500
121	1	5	1	30000_7001_25000
122	1	5	2	10000_1001_500
123	1	5	3	30000_7001_25000
124	1	5	4	10000_1001_500
125	1	5	5	30000_7157_1
126	1	5	6	10000_1001_500
127	1	5	7	30000_7009_1
128	1	5	8	10000_1001_500
129	1	5	9	10000_1026_840
130	1	5	10	30000_7009_1
131	1	5	11	10000_1001_500
132	1	5	12	10000_1001_500
133	1	5	13	30000_7001_25000
134	1	5	14	10000_1001_500
135	1	5	15	30000_7126_1
136	1	5	16	30000_7157_1
137	1	5	17	10000_1001_500
138	1	5	18	30000_7009_1
139	1	5	19	10000_1001_500
140	1	5	20	10000_1001_500
141	1	5	21	10000_1001_500
142	1	5	22	30000_7001_25000
143	1	5	23	10000_1001_500
144	1	5	24	30000_7009_1
145	1	5	25	10000_1001_500
146	1	5	26	10000_1001_500
147	1	5	27	30000_7001_25000
148	1	5	28	10000_1001_500
149	1	5	29	10000_1026_840
150	1	5	30	10000_1001_500
151	1	5	31	10000_1001_500
152	1	6	1	30000_7001_25000
153	1	6	2	10000_1001_500
154	1	6	3	30000_7001_25000
155	1	6	4	10000_1001_500
156	1	6	5	30000_7157_1
157	1	6	6	10000_1001_500
158	1	6	7	30000_7009_1
159	1	6	8	10000_1001_500
160	1	6	9	10000_1026_840
161	1	6	10	30000_7009_1
162	1	6	11	10000_1001_500
163	1	6	12	10000_1001_500
164	1	6	13	30000_7001_25000
165	1	6	14	10000_1001_500
166	1	6	15	30000_7126_1
167	1	6	16	30000_7157_1
168	1	6	17	10000_1001_500
169	1	6	18	30000_7009_1
170	1	6	19	10000_1001_500
171	1	6	20	10000_1001_500
172	1	6	21	10000_1001_500
173	1	6	22	30000_7001_25000
174	1	6	23	10000_1001_500
175	1	6	24	30000_7009_1
176	1	6	25	10000_1001_500
177	1	6	26	10000_1001_500
178	1	6	27	30000_7001_25000
179	1	6	28	10000_1001_500
180	1	6	29	10000_1026_840
181	1	6	30	10000_1001_500
182	1	7	1	30000_7001_25000
183	1	7	2	10000_1001_500
184	1	7	3	30000_7001_25000
185	1	7	4	10000_1001_500
186	1	7	5	30000_7157_1
187	1	7	6	10000_1001_500
188	1	7	7	30000_7009_1
189	1	7	8	10000_1001_500
190	1	7	9	10000_1026_840
191	1	7	10	30000_7009_1
192	1	7	11	10000_1001_500
193	1	7	12	10000_1001_500
194	1	7	13	30000_7001_25000
195	1	7	14	10000_1001_500
196	1	7	15	30000_7126_1
197	1	7	16	30000_7157_1
198	1	7	17	10000_1001_500
199	1	7	18	30000_7009_1
200	1	7	19	10000_1001_500
201	1	7	20	10000_1001_500
202	1	7	21	10000_1001_500
203	1	7	22	30000_7001_25000
204	1	7	23	10000_1001_500
205	1	7	24	30000_7009_1
206	1	7	25	10000_1001_500
207	1	7	26	10000_1001_500
208	1	7	27	30000_7001_25000
209	1	7	28	10000_1001_500
210	1	7	29	10000_1026_840
211	1	7	30	10000_1001_500
212	1	7	31	10000_1001_500
213	1	8	1	30000_7001_25000
214	1	8	2	10000_1001_500
215	1	8	3	30000_7001_25000
216	1	8	4	10000_1001_500
217	1	8	5	30000_7157_1
218	1	8	6	10000_1001_500
219	1	8	7	30000_7009_1
220	1	8	8	10000_1001_500
221	1	8	9	10000_1026_840
222	1	8	10	30000_7009_1
223	1	8	11	10000_1001_500
224	1	8	12	10000_1001_500
225	1	8	13	30000_7001_25000
226	1	8	14	10000_1001_500
227	1	8	15	30000_7126_1
228	1	8	16	30000_7157_1
229	1	8	17	10000_1001_500
230	1	8	18	30000_7009_1
231	1	8	19	10000_1001_500
232	1	8	20	10000_1001_500
233	1	8	21	10000_1001_500
234	1	8	22	30000_7001_25000
235	1	8	23	10000_1001_500
236	1	8	24	30000_7009_1
237	1	8	25	10000_1001_500
238	1	8	26	10000_1001_500
239	1	8	27	30000_7001_25000
240	1	8	28	10000_1001_500
241	1	8	29	10000_1026_840
242	1	8	30	10000_1001_500
243	1	8	31	10000_1001_500
244	1	9	1	30000_7001_25000
245	1	9	2	10000_1001_500
246	1	9	3	30000_7001_25000
247	1	9	4	10000_1001_500
248	1	9	5	30000_7157_1
249	1	9	6	10000_1001_500
250	1	9	7	30000_7009_1
251	1	9	8	10000_1001_500
252	1	9	9	10000_1026_840
253	1	9	10	30000_7009_1
254	1	9	11	10000_1001_500
255	1	9	12	10000_1001_500
256	1	9	13	30000_7001_25000
257	1	9	14	10000_1001_500
258	1	9	15	30000_7126_1
259	1	9	16	30000_7157_1
260	1	9	17	10000_1001_500
261	1	9	18	30000_7009_1
262	1	9	19	10000_1001_500
263	1	9	20	10000_1001_500
264	1	9	21	10000_1001_500
265	1	9	22	30000_7001_25000
266	1	9	23	10000_1001_500
267	1	9	24	30000_7009_1
268	1	9	25	10000_1001_500
269	1	9	26	10000_1001_500
270	1	9	27	30000_7001_25000
271	1	9	28	10000_1001_500
272	1	9	29	10000_1026_840
273	1	9	30	10000_1001_500
274	1	10	1	30000_7001_25000
275	1	10	2	10000_1001_500
276	1	10	3	30000_7001_25000
277	1	10	4	10000_1001_500
278	1	10	5	30000_7157_1
279	1	10	6	10000_1001_500
280	1	10	7	30000_7009_1
281	1	10	8	10000_1001_500
282	1	10	9	10000_1026_840
283	1	10	10	30000_7009_1
284	1	10	11	10000_1001_500
285	1	10	12	10000_1001_500
286	1	10	13	30000_7001_25000
287	1	10	14	10000_1001_500
288	1	10	15	30000_7126_1
289	1	10	16	30000_7157_1
290	1	10	17	10000_1001_500
291	1	10	18	30000_7009_1
292	1	10	19	10000_1001_500
293	1	10	20	10000_1001_500
294	1	10	21	10000_1001_500
295	1	10	22	30000_7001_25000
296	1	10	23	10000_1001_500
297	1	10	24	30000_7009_1
298	1	10	25	10000_1001_500
299	1	10	26	10000_1001_500
300	1	10	27	30000_7001_25000
301	1	10	28	10000_1001_500
302	1	10	29	10000_1026_840
303	1	10	30	10000_1001_500
304	1	10	31	10000_1001_500
305	1	11	1	30000_7001_25000
306	1	11	2	10000_1001_500
307	1	11	3	30000_7001_25000
308	1	11	4	10000_1001_500
309	1	11	5	30000_7157_1
310	1	11	6	10000_1001_500
311	1	11	7	30000_7009_1
312	1	11	8	10000_1001_500
313	1	11	9	10000_1026_840
314	1	11	10	30000_7009_1
315	1	11	11	10000_1001_500
316	1	11	12	10000_1001_500
317	1	11	13	30000_7001_25000
318	1	11	14	10000_1001_500
319	1	11	15	30000_7126_1
320	1	11	16	30000_7157_1
321	1	11	17	10000_1001_500
322	1	11	18	30000_7009_1
323	1	11	19	10000_1001_500
324	1	11	20	10000_1001_500
325	1	11	21	10000_1001_500
326	1	11	22	30000_7001_25000
327	1	11	23	10000_1001_500
328	1	11	24	30000_7009_1
329	1	11	25	10000_1001_500
330	1	11	26	10000_1001_500
331	1	11	27	30000_7001_25000
332	1	11	28	10000_1001_500
333	1	11	29	10000_1026_840
334	1	11	30	10000_1001_500
335	1	12	1	30000_7001_25000
336	1	12	2	10000_1001_500
337	1	12	3	30000_7001_25000
338	1	12	4	10000_1001_500
339	1	12	5	30000_7157_1
340	1	12	6	10000_1001_500
341	1	12	7	30000_7009_1
342	1	12	8	10000_1001_500
343	1	12	9	10000_1026_840
344	1	12	10	30000_7009_1
345	1	12	11	10000_1001_500
346	1	12	12	10000_1001_500
347	1	12	13	30000_7001_25000
348	1	12	14	10000_1001_500
349	1	12	15	30000_7126_1
350	1	12	16	30000_7157_1
351	1	12	17	10000_1001_500
352	1	12	18	30000_7009_1
353	1	12	19	10000_1001_500
