id	Attr	Num	Buff
1	1	2	113_1_400,114_1_400,101_1_600
2	1	3	113_1_700,114_1_700,101_1_1000
3	1	4	113_1_1000,114_1_1000,101_1_1500
4	1	5	113_1_1600,114_1_1600,101_1_2200
5	2	2	113_1_400,114_1_400,101_1_600
6	2	3	113_1_700,114_1_700,101_1_1000
7	2	4	113_1_1000,114_1_1000,101_1_1500
8	2	5	113_1_1600,114_1_1600,101_1_2200
9	3	2	113_1_400,114_1_400,101_1_600
10	3	3	113_1_700,114_1_700,101_1_1000
11	3	4	113_1_1000,114_1_1000,101_1_1500
12	3	5	113_1_1600,114_1_1600,101_1_2200
13	4	2	113_1_700,114_1_700,101_1_1000
14	4	3	113_1_1100,114_1_1100,101_1_1500
15	4	4	113_1_1600,114_1_1600,101_1_2000
16	4	5	113_1_2000,114_1_2000,101_1_2800
17	5	2	113_1_700,114_1_700,101_1_1000
18	5	3	113_1_1100,114_1_1100,101_1_1500
19	5	4	113_1_1600,114_1_1600,101_1_2000
20	5	5	113_1_2000,114_1_2000,101_1_2800
