Role	Scale	Time1	X1Y1	Wait1	Time2	X2Y2	Wait2	Time3	X3Y3	Wait3
10103										
10203										
10303										
10403										
10503	3	0.3	50,-800	0.8	0.8	-15,1000	1.5	1	-35,-200	1.2
10603										
10703										
10803	3	0.3	-10,-600	1.2	1	20,1050	1.5	1	-10,-450	0.6
10903	2	0.3	-100,0	0.5	1	-50,-500	1.5	1	150,500	1.3
11103	3	0.3	0,-800	0.8	0.8	400,1100	1.5	1	-400,-300	1.6
11203	3	0.3	-300,-1100	0.8	0.8	500,1800	1	1	-200,-700	1
11303	3	0.3 	-100,-800	0.8	0.8	50,1300	1	1	50,-500	2.2
11403										
11503										
11603	2	0.3	50,-200	0.5	1	-130,-300	2	1	80,500	1.5
11703										
11803	3	0.3	-200,-500	0.8	1	100,1000	1.2	1	100,-500	2.3
11903										
12003	3	0.3	-450,-600	1.2	1	350,-400	2.2	1	100,1000	1.9
12103										
12203	3	0.3	-50,-400	0.8	0.8	50,1300	1.2	1	0,-900	0.6
12303										
12403										
12503										
12603										
12703										
12803										
12903										
13003										
13103										
13203										
13303										
13403										
13503	2	0.3	0,-500	1	1	250,900	2	1	-250,-400	1.5
13603	2	0.3	50,-300	1	0.8	-100,800	1.5	1	50,-500	1.3
13703										
13803	3	0.3	-100,-1000	1	1	150,1200	1	1	-50,-200	2.2
13903										
14003										
14103										
14203										
14303	3	0.3	200,-700	1	1	200,500	1.5	1	-400,200	1.9
14403										
14503										
14603										
14703	2	0.3	-80,50	1	0.8	-180,-300	5	1	260,250	2.5
14803	3	0.3	100,-500	0.8	1	0,800	1.5	1	-100,-300	1.2
14903										
15003										
15103										
15203	2	0.3	-150,-450	0.5	0.8	100,800	1.2	1	50,-350	1.2
15303										
15403										
15503										
15603	3	0.3	0,800	0.8	0.8	100,-1400	2.2	1	-100,600	1.5
15703	3	0.3	300,-500	0.8	0.8	-200,900	1.5	1	-100,-400	1.2
15803										
15903										
16003										
16103	3	0.3	-100,-600	1.7	1	150,1200	0.5	1	-50,-600	3
16203	2	0.3	0,-500	0.8	1	0,1000	1	1	0,-500	1.2
16303	3	0.3	-100,300	1	0.8	100,-900	1.5	1	0,600	1.4
16503										
16603										
16703										
16803										
16903	2	0.3	0,-300	6	0	0,0	0	1	0,300	1.8
17003										
17103										
17203										
17303										
17403										
17503										
17603										
17703										
17803										
17903										
18003	3	0.3	-250,-800	3	1	100,300	0.5	1	150,500	2.4
18103										
18203										
18303										
18403										
18503										
18603										
18703										
18803										
18903										
19003										
19103										
19203										
19303										
19403	2	0.3	0,-500	2	0.7	100,800	1.5	1	-100,-300	3.2
19503										
19603										
19703										
19803										
19903										
20003										
20103	2	0.3	50,-600	1	1	-30,1200	1	1	-20,-600	2
20203										
20303										
21703										
22203										
22303										
22403										
22503										
22603										
22703										
23203										
23303										
23403										
23503										
23603										
23703										
23803										
10104										
10204										
10304										
10404										
10504	3	0.3	-200,-800	1	0.8	150,1200	1	1	50,-400	3
10604										
10704										
10804	3	0.3	-100,-300	1	1	90,800	1.5	1	10,-500	1
10904	2	0.3	-100,100	1	0.5	-50,-400	1.5	1	150,300	0.7
11104	3	0.3	-350,-800	1	0.5	250,1000	1	1	100,-200	2
11204	3	0.3	100,-1000	1	1	100,1800	1	1	-200,-800	1.3
11304	3	0.3 	-100,-800	0.8	0.8	50,1300	1	1	50,-500	2.2
11404										
11504										
11604	2.5	0.3	-150,-500	1	1	200,700	2	1	-50,-200	1.8
11704										
11804	3	0.3	-200,-500	0.8	1	100,1000	1.2	1	100,-500	2.3
11904										
12004	3	0.3	300,-800	1.5	1	-390,1000	1.5	1	90,-200	1.2
12104										
12204	3	0.3	350,-800	0.8	0.8	-150,1200	1	1	-200,-400	3
12304										
12404	2	0.3	-300,-450	1	1	300,800	2	1	0,-350	3.3
12504										
12604										
12704										
12804										
12904										
13004										
13104										
13204										
13304										
13404										
13504	2	0.3	0,-500	1	1	250,900	1.5	1	-250,-400	1.5
13604	2	0.3	-50,-300	1	0.8	50,700	2	1	0,-400	1.4
13704	3	0.3	50,-1000	1	1	-300,1800	1	1	250,-800	2.4
13804	3	0.3	-100,-1000	1.5	1	150,1200	0.5	1	-50,-200	1.6
13904										
14004										
14104										
14204										
14304	2.5	0.3	0,-300	1	1	100,800	1.5	1	-100,-500	2.2
14404										
14504										
14604										
14704	3	0.3	380,-80	1.2	0.7	-750,400	2	1	370,-320	1.2
14804	3	0.3	-175,-800	1	1	275,1000	2	1	-100,-200	1.6
14904										
15004										
15104										
15204	2	0.3	-150,-450	0.5	0.8	200,1100	1	1	-50,-650	1.3
15304										
15404										
15504										
15604	3	0.3	0,-500	1	0.8	-50,1300	1.2	1	50,-800	1.7
15704	3	0.3	500,-350	1	1.5	-850,950	2.5	1	350,-600	2.4
15804										
15904										
16004										
16104	3	0.3	0,-600	1.7	1	-30,1200	1	1	30,-600	3.6
16204	2	0.3	0,-500	1	1	0,1000	1	1	0,-500	1.2
16304	3	0.3	-300,-600	1	1	600,700	1.5	1	-300,-100	1.8
16504										
16604										
16704										
16804										
16904	2	0.3	100,-300	1.2	0.8	-200,700	2.5	1	100,-400	0.3
17004										
17104										
17204										
17304										
17404										
17504										
17604										
17704										
17804										
17904										
18004	3	0.3	100,-500	1	0.8	-80,1000	1.5	1	-20,-500	1.7
18104										
18204										
18304										
18404										
18504										
18604										
18704										
18804										
18904										
19004										
19104										
19204										
19304										
19404	2	0.3	0,-500	1	0.7	0,800	2	1	0,-300	1.8
19504										
19604										
19704										
19804										
19904										
20004										
20104	2	0.3	50,-600	1	1	-30,1200	0.5	1	-20,-600	1.5
20204										
20304										
21704										
22204										
22304										
22404										
22504										
22604										
22704										
23204										
23304										
23404										
23504										
23604										
23704										
23804										
