id	order	vip等级	现价	原价（前端展示）	奖励	礼包名字
1	1	0	50	400	30000_106001_10,30000_103102_1	@vippackagename
2	2	1	150	1400	30000_106001_20,30000_103102_2,30000_106102_2	@vippackagename
3	3	2	300	3200	30000_106001_50,30000_103103_2,30000_106102_4	@vippackagename
4	4	3	6000	9000	70000_112_120,30000_104101_60	@vippackagename1
5	5	3	600	3900	30000_104003_10,30000_103103_3,30000_104212_60	@vippackagename
6	6	4	1200	6200	30000_104003_20,30000_103104_2,30000_104212_90	@vippackagename
7	7	5	2400	12000	30000_104003_50,30000_103104_3,30000_104212_150	@vippackagename
8	9	6	3600	14000	30000_104004_20,30000_104101_50,30000_104213_50	@vippackagename
9	10	7	7000	25500	30000_104004_40,30000_104101_75,30000_104213_100	@vippackagename
10	11	8	12000	43000	30000_104004_80,30000_104101_100,30000_104213_150	@vippackagename
11	12	9	24000	48000	70000_201_120,30000_104101_240	@vippackagename1
12	13	9	18000	72000	30000_104004_150,30000_104101_150,30000_104213_200	@vippackagename
13	14	10	26000	98000	30000_104004_200,30000_104101_200,30000_104213_300	@vippackagename
14	15	11	34000	130000	30000_104004_250,30000_104101_250,30000_104213_500	@vippackagename
15	16	12	42000	168000	30000_104004_300,30000_104101_300,30000_104213_800	@vippackagename
16	8	6	9000	28000	70000_231_60,30000_104101_120	@vippackagename1
