id	奖励
1	10000_1002_30000
2	10000_1002_50000,30000_202001_1
3	10000_1002_80000,30000_202001_1,30000_101001_20
4	10000_1002_100000,30000_202002_1,30000_101001_25
5	10000_1002_150000,30000_202002_1,30000_101001_30,10000_1011_100
6	10000_1002_200000,30000_202002_1,30000_101001_40,10000_1011_150
7	10000_1002_300000,30000_202003_1,30000_101001_50,10000_1011_200
8	10000_1002_400000,30000_202003_1,30000_101001_60,10000_1011_250
9	10000_1002_500000,30000_202003_1,30000_101001_70,10000_1011_300
10	10000_1002_600000,30000_202003_1,30000_101001_80,10000_1011_350
11	10000_1002_800000,30000_202003_1,30000_101001_90,10000_1011_400
12	10000_1002_1000000,30000_202003_1,30000_101001_100,10000_1011_500
