id	所需消耗金额（元宝）	奖励内容
1	1000	30000_104212_10,30000_101002_5
2	3000	30000_104212_20,30000_101002_10
3	5000	30000_299993_1,30000_104212_30,30000_101002_15
4	10000	30000_299993_3,30000_104003_20,30000_101002_30
5	30000	30000_299993_5,30000_104003_40,30000_101002_50
6	50000	30000_104101_80,30000_104003_50,30000_201007_1
7	70000	30000_104101_100,30000_104004_25,30000_201007_2
8	90000	30000_104101_120,30000_104004_30,30000_201007_3
9	1000	30000_104212_10,30000_101002_5
10	3000	30000_104212_20,30000_101002_10
11	5000	30000_299993_1,30000_104212_30,30000_101002_15
12	10000	30000_299993_3,30000_104003_20,30000_101002_30
13	30000	30000_299993_5,30000_104003_40,30000_101002_50
14	50000	30000_104101_80,30000_104003_50,30000_201007_1
15	70000	30000_104101_100,30000_104004_25,30000_201007_2
16	90000	30000_104101_120,30000_104004_30,30000_201007_3
