id	day	tagNum	tagName	task	taskTarget	reward	类型	价格	跳转备注
1001	0	0	0	0	20	10000_1001_200	0	0	0
1002	0	0	0	0	50	30000_6004_10	0	0	0
1003	0	0	0	0	80	30000_7191_5	0	0	0
1004	0	0	0	0	100	30000_10201_50	0	0	0
10001	0	0	-100,50	1	7	10000_1002_5000	0	0	0
101	1	1	@MissionDay7_tagname_9	@MissionDay7_target_13	1	10000_1001_50	0	0	0
102	1	2	@MissionDay7_tagname_7	@MissionDay7_target_7_1	19	30000_9002_25	0	0	30
103	1	2	@MissionDay7_tagname_7	@MissionDay7_target_7_2	33	70000_1_30	0	0	30
104	1	2	@MissionDay7_tagname_7	@MissionDay7_target_7_3	38	10000_1002_10000	0	0	30
105	1	2	@MissionDay7_tagname_7	@MissionDay7_target_7_4	39	10000_1001_25	0	0	30
106	1	2	@MissionDay7_tagname_7	@MissionDay7_target_7_5	46	30000_7001_5000	0	0	30
107	1	3	@MissionDay7_tagname_4	@MissionDay7_target_4	5	10000_1001_25	0	0	30
108	1	3	@MissionDay7_tagname_4	@MissionDay7_target_4	10	30000_9002_12	0	0	30
109	1	4	@MissionDay7_tagname_18	@MissionDay7_target_23_01	2	30000_9002_13	0	0	30
201	2	1	@MissionDay7_tagname_9	@MissionDay7_target_13	1	70000_1_30	0	0	0
202	2	2	@MissionDay7_tagname_7	@MissionDay7_target_7_6	58	70000_2_30	0	0	1
203	2	2	@MissionDay7_tagname_7	@MissionDay7_target_7_7	63	10000_1001_25	0	0	1
204	2	2	@MissionDay7_tagname_7	@MissionDay7_target_7_8	68	10000_1001_25	0	0	1
205	2	3	@MissionDay7_tagname_4	@MissionDay7_target_4	5	70000_1_30	0	0	1
206	2	3	@MissionDay7_tagname_4	@MissionDay7_target_4	10	70000_1_30	0	0	30
207	2	4	@MissionDay7_tagname_18	@MissionDay7_target_23_03	3	70000_2_30	0	0	30
208	2	4	@MissionDay7_tagname_18	@MissionDay7_target_23_04	4	70000_2_30	0	0	30
209	2	4	@MissionDay7_tagname_18	@MissionDay7_target_23_05	5	70000_2_30	0	0	30
301	3	1	@MissionDay7_tagname_9	@MissionDay7_target_13	1	10000_1001_50	0	0	0
302	3	2	@MissionDay7_tagname_5	@MissionDay7_target_5	1	30000_3001_1	0	0	30
303	3	2	@MissionDay7_tagname_5	@MissionDay7_target_5	2	70000_2_20	0	0	30
304	3	3	@MissionDay7_tagname_7	@MissionDay7_target_7_9	78	10000_1001_25	0	0	30
305	3	4	@MissionDay7_tagname_4	@MissionDay7_target_4	1	10000_1001_25	0	0	36
