id	nextid	star	type	monsterIds	dropItems	unlockTime	replay	關卡名字(name)	關卡banner文字圖片	關卡地圖背景	劇情BANNER
1	2	1	1	0,201011,201012,201013,201014,201015	30000_3001_2,30000_7002_40	0	0	@activitystage11	BG/NGEvent_002/Event002_Img02_01.png	battle_bg_014	BG/NGEvent_002/AlbumReview_002_Event.png
2	3	2	1	0,201021,201022,201023,201024,201025	30000_3501_2,30000_7002_40	0	0	@activitystage12	BG/NGEvent_002/Event002_Img02_01.png	battle_bg_014	BG/NGEvent_002/AlbumReview_002_Event.png
3	4	3	1	0,201031,201032,201033,201034,201035	30000_3801_1,30000_7002_40	0	0	@activitystage13	BG/NGEvent_002/Event002_Img02_01.png	battle_bg_014	BG/NGEvent_002/AlbumReview_002_Event.png
4	5	4	1	0,201041,201042,201043,201044,201045	30000_3001_2,30000_7002_40	0	1	@activitystage14	BG/NGEvent_002/Event002_Img02_01.png	battle_bg_014	BG/NGEvent_002/AlbumReview_002_Event.png
5	6	5	1	0,201051,201052,201053,201054,201055	30000_3501_2,30000_7002_40	0	0	@activitystage15	BG/NGEvent_002/Event002_Img02_01.png	battle_bg_014	BG/NGEvent_002/AlbumReview_002_Event.png
6	7	6	1	0,201061,201062,201063,201064,201065	30000_3801_1,30000_7002_40	0	0	@activitystage16	BG/NGEvent_002/Event002_Img02_01.png	battle_bg_014	BG/NGEvent_002/AlbumReview_002_Event.png
7	8	7	1	0,201071,201072,201073,201074,201075	30000_3501_2,30000_7002_40	0	1	@activitystage17	BG/NGEvent_002/Event002_Img02_01.png	battle_bg_014	BG/NGEvent_002/AlbumReview_002_Event.png
8	9	8	1	0,201081,201082,201083,201084,201085	30000_3001_2,30000_7002_40	0	0	@activitystage18	BG/NGEvent_002/Event002_Img02_01.png	battle_bg_014	BG/NGEvent_002/AlbumReview_002_Event.png
9	10	9	1	0,201091,201092,201093,201094,201095	30000_3801_1,30000_7002_40	0	0	@activitystage19	BG/NGEvent_002/Event002_Img02_01.png	battle_bg_014	BG/NGEvent_002/AlbumReview_002_Event.png
10	11	10	1	0,201101,201102,201103,201104,201105	30000_3801_1,30000_7002_40	0	1	@activitystage110	BG/NGEvent_002/Event002_Img02_01.png	battle_bg_014	BG/NGEvent_002/AlbumReview_002_Event.png
11	12	11	1	0,201111,201112,201113,201114,201115	30000_3501_2,30000_7002_40	0	0	@activitystage111	BG/NGEvent_002/Event002_Img02_01.png	battle_bg_014	BG/NGEvent_002/AlbumReview_002_Event.png
12	13	12	1	0,201121,201122,201123,201124,201125	30000_3001_2,30000_7002_40	0	0	@activitystage112	BG/NGEvent_002/Event002_Img02_01.png	battle_bg_014	BG/NGEvent_002/AlbumReview_002_Event.png
13	14	1	2	0,301011,301012,301013,301014,301015	30000_3002_2,30000_7002_50	48	0	@activitystage11	BG/NGEvent_002/Event002_Img02_01.png	battle_bg_014	BG/NGEvent_002/AlbumReview_002_Event.png
14	15	2	2	0,301021,301022,301023,301024,301025	30000_3502_2,30000_7002_50	48	0	@activitystage12	BG/NGEvent_002/Event002_Img02_01.png	battle_bg_014	BG/NGEvent_002/AlbumReview_002_Event.png
15	16	3	2	0,301031,301032,301033,301034,301035	30000_3802_1,30000_7002_50	48	0	@activitystage13	BG/NGEvent_002/Event002_Img02_01.png	battle_bg_014	BG/NGEvent_002/AlbumReview_002_Event.png
16	17	4	2	0,301041,301042,301043,301044,301045	30000_3002_2,30000_7002_50	48	1	@activitystage14	BG/NGEvent_002/Event002_Img02_01.png	battle_bg_014	BG/NGEvent_002/AlbumReview_002_Event.png
17	18	5	2	0,301051,301052,301053,301054,301055	30000_3502_2,30000_7002_50	48	0	@activitystage15	BG/NGEvent_002/Event002_Img02_01.png	battle_bg_014	BG/NGEvent_002/AlbumReview_002_Event.png
18	19	6	2	0,301061,301062,301063,301064,301065	30000_3802_1,30000_7002_50	48	0	@activitystage16	BG/NGEvent_002/Event002_Img02_01.png	battle_bg_014	BG/NGEvent_002/AlbumReview_002_Event.png
19	20	7	2	0,301071,301072,301073,301074,301075	30000_3502_2,30000_7002_50	48	1	@activitystage17	BG/NGEvent_002/Event002_Img02_01.png	battle_bg_014	BG/NGEvent_002/AlbumReview_002_Event.png
20	21	8	2	0,301081,301082,301083,301084,301085	30000_3002_2,30000_7002_50	48	0	@activitystage18	BG/NGEvent_002/Event002_Img02_01.png	battle_bg_014	BG/NGEvent_002/AlbumReview_002_Event.png
21	22	9	2	0,301091,301092,301093,301094,301095	30000_3802_1,30000_7002_50	48	0	@activitystage19	BG/NGEvent_002/Event002_Img02_01.png	battle_bg_014	BG/NGEvent_002/AlbumReview_002_Event.png
22	23	10	2	0,301101,301102,301103,301104,301105	30000_3802_1,30000_7002_50	48	1	@activitystage110	BG/NGEvent_002/Event002_Img02_01.png	battle_bg_014	BG/NGEvent_002/AlbumReview_002_Event.png
23	24	11	2	0,301111,301112,301113,301114,301115	30000_3502_2,30000_7002_50	48	0	@activitystage111	BG/NGEvent_002/Event002_Img02_01.png	battle_bg_014	BG/NGEvent_002/AlbumReview_002_Event.png
24	0	12	2	0,301121,301122,301123,301124,301125	30000_3002_2,30000_7002_50	48	0	@activitystage112	BG/NGEvent_002/Event002_Img02_01.png	battle_bg_014	BG/NGEvent_002/AlbumReview_002_Event.png
