公会等级(level)	商品组(goods)	所需贡献度(contribution)	初始数量(number)
1	30000_41001_1,30000_30001_1,30000_30002_1,30000_50001_1,30000_50002_1,30000_60001_1	120,160,500,80,250,100	70,30,15,30,15,10
2	30000_41001_1,30000_30001_1,30000_30002_1,30000_50001_1,30000_50002_1,30000_60001_1	120,160,500,80,250,100	70,30,15,30,15,10
3	30000_41001_1,30000_30001_1,30000_30002_1,30000_50001_1,30000_50002_1,30000_60001_1	120,160,500,80,250,100	70,30,15,30,15,10
4	30000_41001_1,30000_30001_1,30000_30002_1,30000_50001_1,30000_50002_1,30000_60001_1	120,160,500,80,250,100	70,30,15,30,15,10
5	30000_41001_1,30000_30001_1,30000_30002_1,30000_50001_1,30000_50002_1,30000_60001_1	120,160,500,80,250,100	70,30,15,30,15,10
6	30000_41001_1,30000_30001_1,30000_30002_1,30000_50001_1,30000_50002_1,30000_60001_1	120,160,500,80,250,100	70,30,15,30,15,10
7	30000_41001_1,30000_30001_1,30000_30002_1,30000_50001_1,30000_50002_1,30000_60001_1	120,160,500,80,250,100	70,30,15,30,15,10
8	30000_41001_1,30000_30001_1,30000_30002_1,30000_50001_1,30000_50002_1,30000_60001_1	120,160,500,80,250,100	70,30,15,30,15,10
9	30000_41001_1,30000_30001_1,30000_30002_1,30000_50001_1,30000_50002_1,30000_60001_1	120,160,500,80,250,100	70,30,15,30,15,10
10	30000_41001_1,30000_30001_1,30000_30002_1,30000_50001_1,30000_50002_1,30000_60001_1	120,160,500,80,250,100	70,30,15,30,15,10
11	30000_41001_1,30000_30001_1,30000_30002_1,30000_50001_1,30000_50002_1,30000_60001_1	120,160,500,80,250,100	70,30,15,30,15,10
12	30000_41001_1,30000_30001_1,30000_30002_1,30000_50001_1,30000_50002_1,30000_60001_1	120,160,500,80,250,100	70,30,15,30,15,10
13	30000_41001_1,30000_30001_1,30000_30002_1,30000_50001_1,30000_50002_1,30000_60001_1	120,160,500,80,250,100	70,30,15,30,15,10
14	30000_41001_1,30000_30001_1,30000_30002_1,30000_50001_1,30000_50002_1,30000_60001_1	120,160,500,80,250,100	70,30,15,30,15,10
15	30000_41001_1,30000_30001_1,30000_30002_1,30000_50001_1,30000_50002_1,30000_60001_1	120,160,500,80,250,100	70,30,15,30,15,10
16	30000_41001_1,30000_30001_1,30000_30002_1,30000_50001_1,30000_50002_1,30000_60001_1	120,160,500,80,250,100	70,30,15,30,15,10
17	30000_41001_1,30000_30001_1,30000_30002_1,30000_50001_1,30000_50002_1,30000_60001_1	120,160,500,80,250,100	70,30,15,30,15,10
18	30000_41001_1,30000_30001_1,30000_30002_1,30000_50001_1,30000_50002_1,30000_60001_1	120,160,500,80,250,100	70,30,15,30,15,10
19	30000_41001_1,30000_30001_1,30000_30002_1,30000_50001_1,30000_50002_1,30000_60001_1	120,160,500,80,250,100	70,30,15,30,15,10
20	30000_41001_1,30000_30001_1,30000_30002_1,30000_50001_1,30000_50002_1,30000_60001_1	120,160,500,80,250,100	70,30,15,30,15,10
21	30000_41001_1,30000_30001_1,30000_30002_1,30000_50001_1,30000_50002_1,30000_60001_1	120,160,500,80,250,100	70,30,15,30,15,10
22	30000_41001_1,30000_30001_1,30000_30002_1,30000_50001_1,30000_50002_1,30000_60001_1	120,160,500,80,250,100	70,30,15,30,15,10
23	30000_41001_1,30000_30001_1,30000_30002_1,30000_50001_1,30000_50002_1,30000_60001_1	120,160,500,80,250,100	70,30,15,30,15,10
24	30000_41001_1,30000_30001_1,30000_30002_1,30000_50001_1,30000_50002_1,30000_60001_1	120,160,500,80,250,100	70,30,15,30,15,10
25	30000_41001_1,30000_30001_1,30000_30002_1,30000_50001_1,30000_50002_1,30000_60001_1	120,160,500,80,250,100	70,30,15,30,15,10
26	30000_41001_1,30000_30001_1,30000_30002_1,30000_50001_1,30000_50002_1,30000_60001_1	120,160,500,80,250,100	70,30,15,30,15,10
27	30000_41001_1,30000_30001_1,30000_30002_1,30000_50001_1,30000_50002_1,30000_60001_1	120,160,500,80,250,100	70,30,15,30,15,10
28	30000_41001_1,30000_30001_1,30000_30002_1,30000_50001_1,30000_50002_1,30000_60001_1	120,160,500,80,250,100	70,30,15,30,15,10
29	30000_41001_1,30000_30001_1,30000_30002_1,30000_50001_1,30000_50002_1,30000_60001_1	120,160,500,80,250,100	70,30,15,30,15,10
30	30000_41001_1,30000_30001_1,30000_30002_1,30000_50001_1,30000_50002_1,30000_60001_1	120,160,500,80,250,100	70,30,15,30,15,10
