图鉴ID	图鉴类型	图鉴顺序	对应佣兵ID	需要碎片数量	佣兵名称文本	佣兵背景故事	是否开启	是否皮肤
1	1	1	1	30	@HeroName_1	@HeroStory_1	1	0
2	1	2	2	30	@HeroName_2	@HeroStory_2	1	0
3	2	3	3	60	@HeroName_3	@HeroStory_3	1	0
4	2	4	4	60	@HeroName_4	@HeroStory_4	1	0
5	2	5	5	60	@HeroName_5	@HeroStory_5	1	0
6	1	6	6	30	@HeroName_6	@HeroStory_6	1	0
7	2	7	7	60	@HeroName_7	@HeroStory_7	1	0
8	2	8	8	60	@HeroName_8	@HeroStory_8	1	0
9	2	9	9	60	@HeroName_9	@HeroStory_9	1	0
10	1	10	10	30	@HeroName_10	@HeroStory_10	1	0
11	1	11	11	30	@HeroName_11	@HeroStory_11	1	0
12	1	12	12	30	@HeroName_12	@HeroStory_12	1	0
13	1	13	13	30	@HeroName_13	@HeroStory_13	1	0
14	2	14	14	60	@HeroName_14	@HeroStory_14	1	0
15	2	15	15	60	@HeroName_15	@HeroStory_15	1	0
16	1	16	16	30	@HeroName_16	@HeroStory_16	1	0
17	1	17	17	30	@HeroName_17	@HeroStory_17	1	0
18	2	18	18	60	@HeroName_18	@HeroStory_18	1	0
19	2	19	19	60	@HeroName_19	@HeroStory_19	1	0
20	2	20	20	60	@HeroName_20	@HeroStory_20	1	0
21	2	21	21	60	@HeroName_21	@HeroStory_21	1	0
22	2	22	22	60	@HeroName_22	@HeroStory_22	1	0
23	2	23	23	60	@HeroName_23	@HeroStory_23	1	0
24	2	24	24	60	@HeroName_24	@HeroStory_24	1	0
501	3	1	501	100	@SpiritName_501		1	0
502	3	2	502	100	@SpiritName_502		1	0
503	3	3	503	100	@SpiritName_503		1	0
504	3	4	504	100	@SpiritName_504		1	0
505	2	5	505	50	@SpiritName_505		1	0
506	2	6	506	50	@SpiritName_506		1	0
507	2	7	507	50	@SpiritName_507		1	0
508	2	8	508	50	@SpiritName_508		1	0
509	1	9	509	30	@SpiritName_509		1	0
510	1	10	510	30	@SpiritName_510		1	0
511	1	11	511	30	@SpiritName_511		1	0
512	1	12	512	30	@SpiritName_512		1	0
