ID	group	rate	rare	type	skill
1001	1	70	1	1	30001
1002	1	30	2	1	30002
1003	1	70	1	2	30011
1004	1	30	2	2	30012
1005	1	70	1	3	30021
1006	1	30	2	3	30022
1007	1	70	1	4	30031
1008	1	30	2	4	30032
1009	1	70	1	5	30041
1010	1	30	2	5	30042
1011	1	70	1	6	30051
1012	1	30	2	6	30052
1013	1	70	1	7	30061
1014	1	30	2	7	30062
1015	1	70	1	8	30071
1016	1	30	2	8	30072
1017	1	70	1	9	30081
1018	1	30	2	9	30082
1019	1	70	1	10	30091
1020	1	30	2	10	30092
1021	1	70	1	11	30101
1022	1	30	2	11	30102
1023	1	70	1	12	30111
1024	1	30	2	12	30112
1025	1	70	1	13	30121
1026	1	30	2	13	30122
1027	1	70	1	14	30131
1028	1	30	2	14	30132
1029	1	70	1	15	30141
1030	1	30	2	15	30142
1031	1	70	1	16	30151
1032	1	30	2	16	30152
1033	1	70	1	17	30161
1034	1	30	2	17	30162
1035	1	70	1	18	30171
1036	1	30	2	18	30172
1037	1	70	1	19	30181
1038	1	30	2	19	30182
1039	1	70	1	20	30191
1040	1	30	2	20	30192
1041	1	70	1	21	30201
1042	1	30	2	21	30202
1043	1	70	1	22	30211
1044	1	30	2	22	30212
1045	1	70	1	23	30221
1046	1	30	2	23	30222
1047	1	70	1	24	30231
1048	1	30	2	24	30232
1049	1	70	1	25	30241
1050	1	30	2	25	30242
1051	1	70	1	26	30251
1052	1	30	2	26	30252
1053	1	70	1	27	30261
1054	1	30	2	27	30262
1055	1	70	1	28	30271
1056	1	30	2	28	30272
1057	1	70	1	29	30281
1058	1	30	2	29	30282
1059	1	70	1	30	30291
1060	1	30	2	30	30292
1061	1	70	1	31	30301
1062	1	30	2	31	30302
1063	1	70	1	32	30311
1064	1	30	2	32	30312
1065	1	70	1	33	30321
1066	1	30	2	33	30322
1067	1	70	1	34	30331
1068	1	30	2	34	30332
1069	1	70	1	35	30341
1070	1	30	2	35	30342
2001	2	50	1	1	30001
2002	2	30	2	1	30002
2003	2	20	3	1	30003
2004	2	50	1	2	30011
2005	2	30	2	2	30012
2006	2	20	3	2	30013
2007	2	50	1	3	30021
2008	2	30	2	3	30022
2009	2	20	3	3	30023
2010	2	50	1	4	30031
2011	2	30	2	4	30032
2012	2	20	3	4	30033
2013	2	50	1	5	30041
2014	2	30	2	5	30042
2015	2	20	3	5	30043
2016	2	50	1	6	30051
2017	2	30	2	6	30052
2018	2	20	3	6	30053
2019	2	50	1	7	30061
2020	2	30	2	7	30062
2021	2	20	3	7	30063
2022	2	50	1	8	30071
2023	2	30	2	8	30072
2024	2	20	3	8	30073
2025	2	50	1	9	30081
2026	2	30	2	9	30082
2027	2	20	3	9	30083
2028	2	50	1	10	30091
2029	2	30	2	10	30092
2030	2	20	3	10	30093
2031	2	50	1	11	30101
2032	2	30	2	11	30102
2033	2	20	3	11	30103
2034	2	50	1	12	30111
2035	2	30	2	12	30112
2036	2	20	3	12	30113
2037	2	50	1	13	30121
2038	2	30	2	13	30122
2039	2	20	3	13	30123
2040	2	50	1	14	30131
2041	2	30	2	14	30132
2042	2	20	3	14	30133
2043	2	50	1	15	30141
2044	2	30	2	15	30142
2045	2	20	3	15	30143
2046	2	50	1	16	30151
2047	2	30	2	16	30152
2048	2	20	3	16	30153
2049	2	50	1	17	30161
2050	2	30	2	17	30162
2051	2	20	3	17	30163
2052	2	50	1	18	30171
2053	2	30	2	18	30172
2054	2	20	3	18	30173
2055	2	50	1	19	30181
2056	2	30	2	19	30182
2057	2	20	3	19	30183
2058	2	50	1	20	30191
2059	2	30	2	20	30192
2060	2	20	3	20	30193
2061	2	50	1	21	30201
2062	2	30	2	21	30202
2063	2	20	3	21	30203
2064	2	50	1	22	30211
2065	2	30	2	22	30212
2066	2	20	3	22	30213
2067	2	50	1	23	30221
