英雄等级	护甲修正参数	物抗修正参数	魔抗修正参数	暴击修正参数	韧性修正参数	命中修正参数	闪避修正参数	护甲修正参数	物抗修正参数	魔抗修正参数
1	60	75	75	115	126	110	110	1000	1000	1000
2	71	88	88	172	189	164	164	1000	1000	1000
3	88	110	110	230	253	220	220	1000	1000	1000
4	111	138	138	287	315	275	275	1000	1000	1000
5	140	175	175	345	379	331	331	1000	1000	1000
6	175	218	218	402	442	385	385	1000	1000	1000
7	216	270	270	460	506	441	441	1000	1000	1000
8	263	328	328	517	568	496	496	1000	1000	1000
9	316	395	395	575	632	552	552	1000	1000	1000
10	375	468	468	632	695	606	606	1000	1000	1000
11	440	550	550	690	759	662	662	1000	1000	1000
12	511	638	638	747	821	716	716	1000	1000	1000
13	560	700	700	805	885	772	772	1000	1000	1000
14	600	750	750	862	948	827	827	1000	1000	1000
15	640	800	800	920	1012	883	883	1000	1000	1000
16	680	850	850	977	1074	937	937	1000	1000	1000
17	720	900	900	1035	1138	993	993	1000	1000	1000
18	780	975	975	1092	1201	1048	1048	1000	1000	1000
19	820	1025	1025	1150	1265	1104	1104	1000	1000	1000
20	880	1100	1100	1265	1391	1214	1214	1000	1000	1000
21	965	1206	1206	1388	1526	1332	1332	1000	1000	1000
22	1054	1317	1317	1515	1666	1454	1454	1000	1000	1000
23	1156	1445	1445	1661	1827	1594	1594	1000	1000	1000
24	1292	1615	1615	1857	2042	1782	1782	1000	1000	1000
25	1428	1785	1785	2052	2257	1969	1969	1000	1000	1000
26	1564	1955	1955	2248	2472	2157	2157	1000	1000	1000
27	1700	2125	2125	2443	2687	2344	2344	1000	1000	1000
28	1904	2380	2380	2737	3010	2627	2627	1000	1000	1000
29	2108	2635	2635	3030	3333	2908	2908	1000	1000	1000
30	2244	2805	2805	3225	3547	3096	3096	1000	1000	1000
31	2448	3060	3060	3519	3870	3377	3377	1000	1000	1000
32	2720	3400	3400	3910	4301	3753	3753	1000	1000	1000
33	2924	3655	3655	4203	4623	4034	4034	1000	1000	1000
34	3100	3875	3875	4496	4945	4316	4316	1000	1000	1000
35	3200	4000	4000	4789	5267	4596	4596	1000	1000	1000
36	3300	4125	4125	5083	5591	4879	4879	1000	1000	1000
37	3400	4250	4250	5376	5913	5160	5160	1000	1000	1000
38	3500	4375	4375	5865	6451	5630	5630	1000	1000	1000
39	3650	4562	4562	6353	6988	6098	6098	1000	1000	1000
40	3800	4750	4750	6842	7526	6568	6568	1000	1000	1000
41	3950	4937	4937	7331	8064	7037	7037	1000	1000	1000
42	4100	5125	5125	7820	8602	7507	7507	1000	1000	1000
43	4250	5312	5312	8308	9138	7975	7975	1000	1000	1000
44	4400	5500	5500	8797	9676	8444	8444	1000	1000	1000
45	4550	5687	5687	9286	10214	8914	8914	1000	1000	1000
46	4700	5875	5875	9775	10752	9384	9384	1000	1000	1000
47	4850	6062	6062	10263	11289	9852	9852	1000	1000	1000
48	5000	6250	6250	10752	11827	10321	10321	1000	1000	1000
49	5150	6437	6437	11241	12365	10791	10791	1000	1000	1000
50	5300	6625	6625	11730	12903	11260	11260	1000	1000	1000
51	5500	6875	6875	12218	13439	11728	11728	1000	1000	1000
52	5700	7125	7125	12707	13977	12198	12198	1000	1000	1000
53	5900	7375	7375	13196	14515	12668	12668	1000	1000	1000
54	6100	7625	7625	13685	15053	13137	13137	1000	1000	1000
55	6300	7875	7875	14173	15590	13605	13605	1000	1000	1000
56	6500	8125	8125	14662	16128	14075	14075	1000	1000	1000
57	6700	8375	8375	15151	16666	14544	14544	1000	1000	1000
58	6900	8625	8625	15640	17204	15014	15014	1000	1000	1000
59	7300	9125	9125	16128	17740	15482	15482	1000	1000	1000
60	7700	9625	9625	16617	18278	15952	15952	1000	1000	1000
61	8100	10125	10125	17106	18816	16421	16421	1000	1000	1000
62	8500	10625	10625	17595	19354	16891	16891	1000	1000	1000
63	8900	11125	11125	18083	19891	17359	17359	1000	1000	1000
64	9300	11625	11625	18572	20429	17828	17828	1000	1000	1000
65	9700	12125	12125	19061	20967	18298	18298	1000	1000	1000
66	10100	12625	12625	19550	21505	18768	18768	1000	1000	1000
67	10500	13125	13125	20527	22579	19705	19705	1000	1000	1000
68	10900	13625	13625	21505	23655	20644	20644	1000	1000	1000
69	11300	14125	14125	22482	24730	21582	21582	1000	1000	1000
70	11700	14625	14625	23460	25806	22521	22521	1000	1000	1000
71	12100	15125	15125	24437	26880	23459	23459	1000	1000	1000
72	12500	15625	15625	25415	27956	24398	24398	1000	1000	1000
73	12900	16125	16125	26392	29031	25336	25336	1000	1000	1000
74	13300	16625	16625	27370	30107	26275	26275	1000	1000	1000
75	13700	17125	17125	28347	31181	27212	27212	1000	1000	1000
76	14100	17625	17625	29325	32257	28152	28152	1000	1000	1000
77	14500	18125	18125	30302	33332	29089	29089	1000	1000	1000
78	14900	18625	18625	31280	34408	30028	30028	1000	1000	1000
79	15300	19125	19125	32257	35482	30966	30966	1000	1000	1000
80	15700	19625	19625	33235	36058	31905	31905	1010	1000	1000
81	15750	19900	19730	33800	36634	32343	32343	1020	1040	1040
82	15800	20175	19835	34365	37210	32781	32781	1030	1080	1080
83	15850	20450	19940	34930	37786	33219	33219	1040	1120	1120
84	15900	20725	20045	35495	38362	33657	33657	1050	1160	1160
85	15950	21000	20150	36060	38938	34095	34095	1060	1200	1200
86	16000	21275	20255	36625	39514	34533	34533	1070	1240	1240
87	16050	21550	20360	37190	40090	34971	34971	1080	1280	1280
88	16100	21825	20465	37755	40666	35409	35409	1090	1320	1320
89	16150	22100	20570	38320	41242	35847	35847	1100	1360	1360
90	16200	22375	20675	38885	41818	36285	36285	1110	1400	1400
91	16250	22650	20800	39450	42394	36723	36723	1120	1440	1440
92	16300	22925	20925	40015	42970	37161	37161	1130	1480	1480
93	16350	23200	21050	40580	43546	37599	37599	1140	1520	1520
94	16400	23475	21175	41145	44122	38037	38037	1150	1560	1560
95	16450	23750	21300	41710	44698	38475	38475	1160	1600	1600
96	16500	24025	21425	42275	45274	38913	38913	1170	1640	1640
97	16550	24300	21550	42840	45850	39351	39351	1180	1680	1680
98	16600	24575	21690	43405	46426	39789	39789	1190	1720	1720
99	16650	24850	21830	43970	47002	40227	40227	1200	1760	1760
100	16700	25125	21970	44535	47578	40665	40665	1210	1800	1800
101	16750	25400	22110	45100	48154	41103	41103	1220	1840	1840
102	16800	25675	22250	45665	48730	41541	41541	1230	1880	1880
103	16850	25950	22390	46230	49306	41979	41979	1240	1920	1920
104	16900	26225	22560	46795	49882	42417	42417	1250	1960	1960
105	16950	26500	22730	47360	50458	42855	42855	1260	2000	2000
106	17000	26775	22900	47925	51034	43293	43293	1270	2040	2040
107	17050	27050	23070	48490	51610	43731	43731	1280	2080	2080
108	17100	27325	23240	49055	52186	44169	44169	1290	2120	2120
109	17150	27600	23410	49620	52762	44607	44607	1300	2160	2160
110	17200	27875	23580	50185	53338	45045	45045	1310	2200	2200
111	17250	28150	23750	50750	53914	45483	45483	1320	2240	2240
112	17300	28425	23920	51315	54490	45921	45921	1330	2280	2280
113	17350	28700	24110	51880	55066	46359	46359	1340	2320	2320
114	17400	28975	24300	52445	55642	46797	46797	1350	2360	2360
115	17450	29250	24490	53010	56218	47235	47235	1360	2400	2400
116	17500	29525	24680	53575	56794	47673	47673	1370	2440	2440
117	17550	29800	24870	54140	57370	48111	48111	1380	2480	2480
118	17600	30075	25060	54705	57946	48549	48549	1390	2520	2520
119	17650	30350	25250	55270	58522	48987	48987	1400	2560	2560
120	17700	30625	25440	55835	59098	49425	49425	1410	2600	2600
121	17750	30900	25680	56400	59674	49863	49863	1420	2640	2640
122	17800	31175	25920	56965	60250	50301	50301	1430	2680	2680
123	17850	31450	26160	57530	60826	50739	50739	1440	2720	2720
124	17900	31725	26400	58095	61402	51177	51177	1450	2760	2760
125	17950	32000	26600	58660	61978	51615	51615	1460	2800	2800
126	18000	32275	26755	59225	62554	52053	52053	1470	2840	2840
127	18050	32550	26910	59790	63130	52491	52491	1480	2880	2880
128	18100	32825	27065	60355	63706	52929	52929	1490	2920	2920
129	18150	33100	27220	60920	64282	53367	53367	1500	2960	2960
130	18200	33375	27375	61485	64858	53805	53805	1510	3000	3000
131	18250	33650	27530	62050	65434	54243	54243	1520	3040	3040
132	18300	33925	27685	62615	66010	54681	54681	1530	3080	3080
133	18350	34200	27840	63180	66586	55119	55119	1540	3120	3120
134	18400	34475	27995	63745	67162	55557	55557	1550	3160	3160
135	18450	34750	28150	64310	67738	55995	55995	1560	3200	3200
136	18500	35025	28305	64875	68314	56433	56433	1570	3240	3240
137	18550	35300	28460	65440	68890	56871	56871	1580	3280	3280
138	18600	35575	28615	66005	69466	57309	57309	1590	3320	3320
139	18650	35850	28770	66570	70042	57747	57747	1600	3360	3360
140	18700	36125	28925	67135	70618	58185	58185	1610	3400	3400
141	18750	36400	29300	67700	71194	58623	58623	1620	3440	3440
142	18800	36675	29800	68265	71770	59061	59061	1630	3480	3480
143	18850	36950	30300	68830	72346	59499	59499	1640	3520	3520
144	18900	37225	30800	69395	72922	59937	59937	1650	3560	3560
145	18950	37500	31300	69960	73498	60375	60375	1660	3600	3600
146	19000	37775	32000	70525	74074	60813	60813	1670	3640	3640
147	19050	38050	32700	71090	74650	61251	61251	1680	3680	3680
148	19100	38325	33400	71655	75226	61689	61689	1690	3720	3720
149	19150	38600	34100	72220	75802	62127	62127	1700	3760	3760
150	19200	38875	34800	72785	76378	62565	62565	1710	3800	3800
151	19250	39150	35000	73350	76954	63003	63003	1720	3840	3840
152	19300	39425	35200	73915	77530	63441	63441	1730	3880	3880
153	19350	39700	35400	74480	78106	63879	63879	1740	3920	3920
154	19400	39975	35800	75045	78682	64317	64317	1750	3960	3960
155	19450	40250	36300	75610	79258	64755	64755	1760	4000	4000
156	19500	40525	36800	76175	79834	65193	65193	1770	4040	4040
157	19550	40800	37300	76740	80410	65631	65631	1780	4080	4080
158	19600	41075	37800	77305	80986	66069	66069	1790	4120	4120
159	19650	41350	38300	77870	81562	66507	66507	1800	4160	4160
160	19700	41625	38800	78435	82138	66945	66945	1810	4200	4200
161	19750	41900	39300	79000	82714	67383	67383	1820	4240	4240
162	19800	42175	39800	79565	83290	67821	67821	1830	4280	4280
163	19850	42450	40300	80130	83866	68259	68259	1840	4320	4320
164	19900	42725	40800	80695	84442	68697	68697	1850	4360	4360
165	19950	43000	41300	81260	85018	69135	69135	1860	4400	4400
166	20000	43275	41800	81825	85594	69573	69573	1870	4440	4440
167	20050	43550	42100	82390	86170	70011	70011	1880	4480	4480
168	20100	43825	42400	82955	86746	70449	70449	1890	4520	4520
