关卡ID	关卡名称	关卡类型	下一关ID	怪物列表	首次通关奖励	扫荡奖励	通关战力需求	过关条件
1	试炼之塔（1）第1关	1	2	4010101	10000_1002_5000_100,30000_60022_1_100,70000_10101_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10101_1_20	0	1_0
2	试炼之塔（1）第2关	1	3	4010201	10000_1002_5000_100,30000_60022_1_100,70000_10101_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10101_1_20	0	1_0
3	试炼之塔（1）第3关	1	4	4010301	10000_1002_5000_100,30000_60022_1_100,70000_10101_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10101_1_20	0	1_0
4	试炼之塔（1）第4关	1	5	4010401	10000_1002_5000_100,30000_60022_1_100,70000_10101_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10101_1_20	0	1_0
5	试炼之塔（1）第5关	2	6	4010501	10000_1002_5000_100,30000_60022_1_100,30000_60023_1_100,70000_20101_1_20	10000_1002_5000_100,30000_60022_1_66,30000_60023_1_66,70000_20101_1_20	0	2_30
6	试炼之塔（1）第6关	1	7	4010601	10000_1002_5000_100,30000_60022_1_100,70000_10102_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10102_1_20	0	2_20
7	试炼之塔（1）第7关	1	8	4010701	10000_1002_5000_100,30000_60022_1_100,70000_10102_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10102_1_20	0	2_20
8	试炼之塔（1）第8关	1	9	4010801	10000_1002_5000_100,30000_60022_1_100,70000_10102_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10102_1_20	0	2_20
9	试炼之塔（1）第9关	1	10	4010901	10000_1002_5000_100,30000_60022_1_100,70000_10102_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10102_1_20	0	2_20
10	试炼之塔（1）第10关	2	11	4011001	10000_1002_5000_100,30000_60022_1_100,30000_60023_1_100,70000_20102_1_20	10000_1002_5000_100,30000_60022_1_66,30000_60023_1_66,70000_20102_1_20	0	4_0.3
11	试炼之塔（1）第11关	1	12	4011101	10000_1002_5000_100,30000_60022_1_100,70000_10103_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10103_1_20	0	2_20
12	试炼之塔（1）第12关	1	13	4011201	10000_1002_5000_100,30000_60022_1_100,70000_10103_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10103_1_20	0	2_20
13	试炼之塔（1）第13关	1	14	4011301	10000_1002_5000_100,30000_60022_1_100,70000_10103_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10103_1_20	0	2_20
14	试炼之塔（1）第14关	1	15	4011401	10000_1002_5000_100,30000_60022_1_100,70000_10103_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10103_1_20	0	2_20
15	试炼之塔（1）第15关	2	16	4011501	10000_1002_5000_100,30000_60022_1_100,30000_60023_1_100,70000_20103_1_20	10000_1002_5000_100,30000_60022_1_66,30000_60023_1_66,70000_20103_1_20	0	2_30,4_0.3
16	试炼之塔（1）第16关	1	17	4011601	10000_1002_5000_100,30000_60022_1_100,70000_10104_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10104_1_20	0	4_0.5
17	试炼之塔（1）第17关	1	18	4011701	10000_1002_5000_100,30000_60022_1_100,70000_10104_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10104_1_20	0	4_0.5
18	试炼之塔（1）第18关	1	19	4011801	10000_1002_5000_100,30000_60022_1_100,70000_10104_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10104_1_20	0	4_0.5
19	试炼之塔（1）第19关	1	20	4011901	10000_1002_5000_100,30000_60022_1_100,70000_10104_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10104_1_20	0	4_0.5
20	试炼之塔（1）第20关	2	21	4012001,4012002	10000_1002_5000_100,30000_60022_1_100,30000_60023_1_100,70000_20104_1_20	10000_1002_5000_100,30000_60022_1_66,30000_60023_1_66,70000_20104_1_20	0	2_30,4_0.3
21	试炼之塔（1）第21关	1	22	4012101	10000_1002_5000_100,30000_60022_1_100,70000_10105_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10105_1_20	0	2_20,4_0.5
22	试炼之塔（1）第22关	1	23	4012201	10000_1002_5000_100,30000_60022_1_100,70000_10105_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10105_1_20	0	2_20,4_0.5
23	试炼之塔（1）第23关	1	24	4012301	10000_1002_5000_100,30000_60022_1_100,70000_10105_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10105_1_20	0	2_20,4_0.5
24	试炼之塔（1）第24关	1	25	4012401	10000_1002_5000_100,30000_60022_1_100,70000_10105_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10105_1_20	0	2_20,4_0.5
25	试炼之塔（1）第25关	2	26	4012501,4012502	10000_1002_5000_100,30000_60022_1_100,30000_60023_1_100,70000_20105_1_20	10000_1002_5000_100,30000_60022_1_66,30000_60023_1_66,70000_20105_1_20	0	2_30
26	试炼之塔（1）第26关	1	27	4012601,4012602	10000_1002_5000_100,30000_60022_1_100,70000_10106_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10106_1_20	0	2_20,4_0.5
27	试炼之塔（1）第27关	1	28	4012701,4012702	10000_1002_5000_100,30000_60022_1_100,70000_10106_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10106_1_20	0	2_20,4_0.5
28	试炼之塔（1）第28关	1	29	4012801,4012802	10000_1002_5000_100,30000_60022_1_100,70000_10106_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10106_1_20	0	2_20,4_0.5
29	试炼之塔（1）第29关	1	30	4012901,4012902	10000_1002_5000_100,30000_60022_1_100,70000_10106_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10106_1_20	0	2_20,4_0.5
30	试炼之塔（1）第30关	2	31	4013001,4013002	10000_1002_5000_100,30000_60022_1_100,30000_60023_1_100,70000_20106_1_20	10000_1002_5000_100,30000_60022_1_66,30000_60023_1_66,70000_20106_1_20	0	4_0.3
