id	名称	是否增益	是否显示
1	@Buff_1	0	1
2	@Buff_2	0	1
3	@Buff_3	0	1
4	@Buff_4	0	1
5	@Buff_5	1	1
6	@Buff_6	1	1
7	@Buff_7	0	1
8	@Buff_8	1	1
9	@Buff_9	0	1
10	@Buff_10	0	1
11	@Buff_11	0	1
12	@Buff_12	1	1
13	@Buff_13	0	1
14	@Buff_14	1	1
15	@Buff_15	1	1
16	@Buff_16	1	1
17	@Buff_17	1	1
18	@Buff_18	1	1
19	@Buff_19	1	1
20	@Buff_20	1	1
21	@Buff_21	0	1
22	@Buff_22	1	1
23	@Buff_23	1	1
24	@Buff_24	1	1
25	@Buff_25	0	1
26	@Buff_26	0	1
27	@Buff_27	0	1
28	@Buff_28	1	1
29	@Buff_29	1	1
30	@Buff_8	1	1
31	@Buff_31	0	1
32	@Buff_32	1	1
33	@Buff_33	0	1
34	@Buff_34	1	1
35	@Buff_35	1	1
36	@Buff_36	1	1
38	@Buff_38	1	1
39	@Buff_39	0	0
100	@Buff_100	1	1
101	@Buff_101	1	0
102	@Buff_102	1	0
103	@Buff_103	1	0
