id	group	type	stack	priority	values	gain	visible	dispel	position	eff_spine
100101	1	1	1	1	0.15	1	1	1	2,2,1	
100102	1	1	1	2	0.3	1	1	1	2,2,1	
100103	1	1	1	3	0.45	1	1	1	2,2,1	
100201	2	1	7	1	0.2	1	1	1	2,2	
100202	2	1	6	2	0.3	1	1	1	2,2	
100203	2	1	5	3	0.4	1	1	1	2,2	
100204	2	1	4	4	0.5	1	1	1	2,2	
100301	3	1	1	1	-0.1,0.1	1	1	1	2,2	
100302	3	1	1	2	-0.2,0.2	1	1	1	2,2	
100303	3	1	1	3	-0.3,0.3	1	1	1	2,2	
100401	4	1	5	1	7,-0.02,0.01	1	1	1	3	
100402	4	1	5	2	8,-0.02,0.02	1	1	1	3	
100403	4	1	5	3	9,-0.03,0.02	1	1	1	3	
100404	4	1	5	4	10,-0.04,0.02	1	1	1	3	
100501	5	1	5	1	7,0.01,0.05	1	1	1	3	
100502	5	1	5	2	8,0.02,0.1	1	1	1	3	
100503	5	1	10	3	9,0.02,0.1	1	1	1	3	
100504	5	1	10	4	10,0.03,0.15	1	1	1	3	
100601	6	4	1	1	100701	1	0	0	1	
100701	7	2	1	1	0.15	1	1	0	1	
100801	8	1	1	1	0.05,0.25	1	1	0	3	
100802	8	1	1	2	0.1,0.5	1	1	0	3	
100803	8	1	1	3	0.15,0.75	1	1	0	3	
100804	8	1	1	4	0.2,1	1	1	0	3	
100901	9	1	1	1	0.05,0.1	1	1	0	2,2	
100902	9	1	1	2	0.1,0.1	1	1	0	2,2	
100903	9	1	1	3	0.15,0.2	1	1	0	2,2	
100904	9	1	1	4	0.15,0.3	1	1	0	2,2	
101001	10	1	2	1	2	1	1	0	2	
101002	10	1	2	2	3	1	1	0	2	
101003	10	1	2	3	4	1	1	0	2	
101004	10	1	2	4	5	1	1	0	2	
101101	11	1	1	1	0.5,0	1	1	1	3	Buff_11
101102	11	1	1	2	0.5,0.5	1	1	1	3	Buff_11
101103	11	1	1	3	0.5,0.5	1	1	0	3	Buff_11
101104	11	1	1	4	0.5,0.5	1	1	0	3	Buff_11
101105	11	1	1	5	0.5,0.5	1	1	0	3	Buff_11
101201	12	1	1	1	0.1	1	1	0	2,2	
101202	12	1	1	2	0.2	1	1	0	2,2	
101301	13	1	1	1	0.1	1	1	1	3	
101302	13	1	1	2	0.2	1	1	1	3	
101303	13	1	1	3	0.3	1	1	1	3	
101304	13	1	1	4	0.4	1	1	1	3	
101401	14	1	1	1		1	1	1	2,2	Buff_14_FX1
101501	15	1	1	1	-0.15	1	1	1	2	
101502	15	1	1	2	-0.3	1	1	1	2	
101503	15	1	1	3	-0.45	1	1	1	2	
101504	15	1	1	4	-0.6	1	1	1	2	
101505	15	1	1	5	-0.75	1	1	1	2	
101601	16	4	1	1	101701	1	0	0	1	
101701	17	2	1	1	0.05,0.1	1	1	0	1	
101602	16	4	1	2	101702	1	0	0	1	
101702	17	2	1	2	0.07,0.12	1	1	0	1	
101603	16	4	1	3	101703	1	0	0	1	
101703	17	2	1	3	0.1,0.15	1	1	0	1	
101801	18	1	1	1	15,5,0.3,1,0.05	1	1	1	2	
101802	18	1	1	2	15,5,0.5,1,0.1	1	1	1	2	
101803	18	1	1	3	15,3,0.5,1,0.1	1	1	1	2	
101901	19	4	1	1	102001	1	0	0	1	
102001	20	2	1	1	0.1	1	1	0	1,1,1	
101902	19	4	1	2	102001	1	0	0	1	
102002	20	2	1	2	0.2	1	1	0	1,1,1	
101903	19	4	1	3	102001	1	0	0	1	
102003	20	2	1	3	0.3	1	1	0	1,1,1	
102101	21	1	1	1	0.01	1	1	1	2,2	Buff_21_FX2
102201	22	4	1	1	102301	1	0	0	1	
102301	23	2	1	1	0.05,0.1	1	1	0	1	
102202	22	4	1	2	102302	1	0	0	1	
102302	23	2	1	2	0.07,0.12	1	1	0	1	
102203	22	4	1	3	102303	1	0	0	1	
102303	23	2	1	3	0.1,0.15	1	1	0	1	
102401	24	1	1	1	0.05	1	1	1	3	
102402	24	1	1	2	0.1	1	1	1	3	
102403	24	1	1	3	0.15	1	1	1	3	
102404	24	1	1	4	0.2	1	1	1	3	
102501	25	1	5	1	0.02,0.01	1	1	1	2	
102502	25	1	5	2	0.02,0.02	1	1	1	2	
102503	25	1	5	3	0.02,0.03	1	1	1	2	
102504	25	1	5	4	0.02,0.04	1	1	1	2	
102601	26	1	1	1	0.4,0.1	1	1	1	2	
102602	26	1	1	2	0.4,0.15	1	1	1	2	
102603	26	1	1	3	0.5,0.15	1	1	1	2	
102604	26	1	1	4	0.5,0.2	1	1	1	2	
102701	27	4	1	1	102801	1	0	0	1	
102801	28	2	1	1	0.1	1	1	0	1,1	
102702	27	4	1	2	102802	1	0	0	1	
102802	28	2	1	2	0.2	1	1	0	1,1	
102703	27	4	1	3	102803	1	0	0	1	
102803	28	2	1	3	0.3	1	1	0	1,1	
102901	29	4	1	1	103001	1	0	0	1	
103001	30	2	1	1	0.1	1	1	0	1,1	
102902	29	4	1	2	103002	1	0	0	1	
103002	30	2	1	2	0.2	1	1	0	1,1	
102903	29	4	1	3	103003	1	0	0	1	
103003	30	2	1	3	0.3	1	1	0	1,1	
103101	31	1	1	1	0.05	1	1	1	3	
103102	31	1	1	2	0.1,0.05	1	1	1	3	
103103	31	1	1	3	0.15,0.07	1	1	1	3	
103104	31	1	1	4	0.2,0.1	1	1	1	3	
103201	32	1	1	1	1,0.02	1	1	1	2	
103202	32	1	1	2	1,0.04	1	1	1	2	
103203	32	1	1	3	1,0.06	1	1	1	2	
