id	winStreak	winCoinsRatio	winReputation	loseCoinsRatio	loseReputation
1	1	3	1	3	1
2	2	6	1	6	2
3	3	9	1	9	3
4	4	12	2	12	4
5	5	15	2	15	5
6	6	18	2	18	6
7	7	21	3	21	7
8	8	24	3	24	8
9	9	27	3	27	9
10	10	30	4	30	10
11	11	30	4	33	11
12	12	30	4	36	12
13	13	30	5	39	13
14	14	30	5	42	14
15	15	30	5	45	15
16	16	30	5	48	16
17	17	30	5	51	17
18	18	30	5	54	18
19	19	30	5	57	19
20	20	30	5	60	20
21	21	30	5	60	20
22	22	30	5	60	20
23	23	30	5	60	20
24	24	30	5	60	20
25	25	30	5	60	20
26	26	30	5	60	20
27	27	30	5	60	20
28	28	30	5	60	20
29	29	30	5	60	20
30	30	30	5	60	20
31	31	30	5	60	20
32	32	30	5	60	20
33	33	30	5	60	20
34	34	30	5	60	20
35	35	30	5	60	20
36	36	30	5	60	20
37	37	30	5	60	20
38	38	30	5	60	20
39	39	30	5	60	20
40	40	30	5	60	20
41	41	30	5	60	20
42	42	30	5	60	20
43	43	30	5	60	20
44	44	30	5	60	20
45	45	30	5	60	20
46	46	30	5	60	20
47	47	30	5	60	20
48	48	30	5	60	20
49	49	30	5	60	20
50	50	30	5	60	20
51	51	30	5	60	20
52	52	30	5	60	20
53	53	30	5	60	20
54	54	30	5	60	20
55	55	30	5	60	20
56	56	30	5	60	20
57	57	30	5	60	20
58	58	30	5	60	20
59	59	30	5	60	20
60	60	30	5	60	20
