id	Spine	Skills	Element	Job	Star	IsMagic	StrenghtRate	IntellectRate	AgilityRate	StaminaRate	Strenght	Intellect	Agility	Stamina	HP	Attack	Magic	PhyPenetrate	MagPenetrate	PhyDef	MagDef	RecoverHP	CriDamage	CriResist	Critical	Hit	Dodge	Immunity	ATKRange	ATKSpeed	WSpeed	RSpeed	ATKMP	DEFMP	SKMP	ClassCorrection	Skin	Hurt_EFF_X	Hurt_EFF_Y	Hurt_EFF_Head	Reflect
1	Spine/CharacterSpine,NG_01	10101,10111,10121,10131	1	2	1	0	42	7	13	24	210	35	65	120	1200	226	51	0	0	123	71	0	0.5	24	33	69	55	0	50	2000	2	3	19	2	7	1	0	45	90	180	0
2	Spine/CharacterSpine,NG_02	10201,10211,10221,10231	1	4	1	1	19	40	5	22	95	200	25	110	1100	101	206	0	0	84	115	0	0.5	22	13	67	51	0	300	2200	1.2	1.8	25	2	8	1	0	45	90	180	0
3	Spine/CharacterSpine,NG_03	10301,10311,10321,10331	1	3	6	1	20	34	6	26	100	170	30	130	1300	108	178	0	0	95	116	0	0.5	26	15	63	48	0	150	2300	0.8	1.2	12	3	7	1	0	45	90	180	0
4	Spine/CharacterSpine,NG_04	10401,10411,10421,10431	1	2	6	0	36	11	9	30	180	55	45	150	1500	191	66	0	0	129	92	0	0.5	30	23	61	47	0	10	2000	2	3	15	4	9	1	0	45	90	180	0
5	Spine/CharacterSpine,NG_05	10501,10511,10521,10531	1	1	6	0	30	16	4	36	150	80	20	180	1800	155	85	0	0	135	114	0	0.5	36	10	52	39	0	50	2500	1.6	2.4	19	2	7	1	0	45	90	180	0
6	Spine/CharacterSpine,NG_06	10601,10611,10621,10631	1	4	1	1	23	36	7	20	115	180	35	100	1000	124	189	0	0	85	104	0	0.5	20	18	70	54	0	300	2200	1.2	1.8	15	4	9	1	0	45	90	180	0
7	Spine/CharacterSpine,NG_07	10701,10711,10721,10731	2	1	6	0	20	14	3	49	100	70	15	245	2450	104	74	0	0	153	144	0	0.5	49	8	39	28	0	10	2500	1.6	2.4	19	2	7	1	0	45	90	180	0
8	Spine/CharacterSpine,NG_08	10801,10811,10821,10831	2	4	6	1	17	42	7	20	85	210	35	100	1000	94	219	0	0	76	113	0	0.5	20	18	70	54	0	300	2200	1.2	1.8	25	2	8	1	0	45	90	180	0
9	Spine/CharacterSpine,NG_09	10901,10911,10921,10931	2	3	6	1	21	31	5	29	105	155	25	145	1450	111	161	0	0	104	119	0	0.5	29	13	60	45	0	150	2300	0.8	1.2	12	3	7	1	0	45	90	180	0
10	Spine/CharacterSpine,NG_10	11001,11011,11021,11031	2	2	1	0	38	15	9	24	190	75	45	120	1200	201	86	0	0	117	83	0	0.5	24	23	67	52	0	50	2000	2	3	25	2	8	1	0	45	90	180	0
11	Spine/CharacterSpine,NG_11	11101,11111,11121,11131	2	3	1	1	24	28	10	24	120	140	50	120	1200	133	153	0	0	96	102	0	0.5	24	25	67	53	0	150	2300	0.8	1.2	25	2	8	1	0	45	90	180	0
12	Spine/CharacterSpine,NG_12	11201,11211,11221,11231	2	3	1	1	20	33	5	28	100	165	25	140	1400	106	171	0	0	100	120	0	0.5	28	13	61	46	0	150	2300	0.8	1.2	19	2	7	1	0	45	90	180	0
13	Spine/CharacterSpine,NG_13	11301,11311,11321,11331	3	4	1	1	18	38	6	24	90	190	30	120	1200	98	198	0	0	87	117	0	0.5	24	15	65	50	0	300	2200	1.2	1.8	12	3	7	1	0	45	90	180	0
14	Spine/CharacterSpine,NG_14	11401,11411,11421,11431	3	2	6	0	38	20	6	22	190	100	30	110	1100	198	108	0	0	112	85	0	0.5	22	15	67	51	0	50	2000	2	3	19	2	7	1	0	45	90	180	0
15	Spine/CharacterSpine,NG_15	11501,11511,11521,11531	3	4	6	1	21	34	9	22	105	170	45	110	1100	116	181	0	0	87	106	0	0.5	22	23	69	54	0	300	2200	1.2	1.8	12	3	7	1	0	45	90	180	0
16	Spine/CharacterSpine,NG_16	11601,11611,11621,11631	3	2	1	0	28	17	15	26	140	85	75	130	1300	159	104	0	0	107	91	0	0.5	26	38	68	55	0	50	2000	2	3	25	2	8	1	0	45	90	180	0
17	Spine/CharacterSpine,NG_17	11701,11711,11721,11731	3	3	1	1	21	28	7	30	105	140	35	150	1500	114	149	0	0	107	117	0	0.5	30	18	60	46	0	150	2300	0.8	1.2	15	4	9	1	0	45	90	180	0
