id	minRank	awards
1	1	10000_1015_1000
2	2	10000_1015_750
3	3	10000_1015_700
4	4	10000_1015_650
5	5	10000_1015_600
6	6	10000_1015_550
7	7	10000_1015_500
8	8	10000_1015_480
9	9	10000_1015_460
10	10	10000_1015_440
11	11	10000_1015_420
12	12	10000_1015_400
13	13	10000_1015_380
14	14	10000_1015_360
15	15	10000_1015_340
16	16	10000_1015_330
17	17	10000_1015_320
18	18	10000_1015_310
19	19	10000_1015_300
20	20	10000_1015_290
21	25	10000_1015_270
22	30	10000_1015_250
23	40	10000_1015_230
24	50	10000_1015_210
25	70	10000_1015_190
26	100	10000_1015_170
27	130	10000_1015_150
28	160	10000_1015_130
29	200	10000_1015_110
30	250	10000_1015_100
31	300	10000_1015_90
32	400	10000_1015_80
33	500	10000_1015_70
34	99999	10000_1015_60
