id	rank	rare	starrare	afterid	名字	图片	基础属性	隨機属性	是否有技能	slots	skillpool	unlocksp	refinecost	lockcost	spcost
110	1	1	1	211	@Rune_1	Rune_1_1.png	113_820	101_8365_143,106_521_143,107_521_143,111_95_143,108_137_143,109_212_143,110_171_142	0	0	0	0	10,20,40,80,160	1,2,4,8	1
111	1	1	1	211	@Rune_1	Rune_1_1.png	113_820,101_8365	101_8365	0	0	0	0	10,20,40,80,160	1,2,4,8	1
112	1	1	1	212	@Rune_1	Rune_1_1.png	113_820,106_521	106_521	0	0	0	0	10,20,40,80,160	1,2,4,8	1
113	1	1	1	213	@Rune_1	Rune_1_1.png	113_820,107_521	107_521	0	0	0	0	10,20,40,80,160	1,2,4,8	1
114	1	1	1	214	@Rune_1	Rune_1_1.png	113_820,111_95	111_95	0	0	0	0	10,20,40,80,160	1,2,4,8	1
115	1	1	1	215	@Rune_1	Rune_1_1.png	113_820,108_137	108_137	0	0	0	0	10,20,40,80,160	1,2,4,8	1
116	1	1	1	216	@Rune_1	Rune_1_1.png	113_820,109_212	109_212	0	0	0	0	10,20,40,80,160	1,2,4,8	1
117	1	1	1	217	@Rune_1	Rune_1_1.png	113_820,110_171	110_171	0	0	0	0	10,20,40,80,160	1,2,4,8	1
120	1	1	1	221	@Rune_1	Rune_1_2.png	114_820	101_8365_143,106_521_143,107_521_143,111_95_143,108_137_143,109_212_143,110_171_142	0	0	0	0	10,20,40,80,160	1,2,4,8	1
121	1	1	1	221	@Rune_1	Rune_1_2.png	114_820,101_8365	101_8365	0	0	0	0	10,20,40,80,160	1,2,4,8	1
122	1	1	1	222	@Rune_1	Rune_1_2.png	114_820,106_521	106_521	0	0	0	0	10,20,40,80,160	1,2,4,8	1
123	1	1	1	223	@Rune_1	Rune_1_2.png	114_820,107_521	107_521	0	0	0	0	10,20,40,80,160	1,2,4,8	1
124	1	1	1	224	@Rune_1	Rune_1_2.png	114_820,111_95	111_95	0	0	0	0	10,20,40,80,160	1,2,4,8	1
125	1	1	1	225	@Rune_1	Rune_1_2.png	114_820,108_137	108_137	0	0	0	0	10,20,40,80,160	1,2,4,8	1
