ID	Icon	Tier	Str1	Str2
30101	skill/S_3010.png	1	@Rune_1	@Eye_Name_1
30102	skill/S_3010.png	2	@Rune_2	@Eye_Name_1
30103	skill/S_3010.png	3	@Rune_3	@Eye_Name_1
30104	skill/S_3010.png	4	@Rune_4	@Eye_Name_1
30201	skill/S_3020.png	1	@Rune_1	@Eye_Name_2
30202	skill/S_3020.png	2	@Rune_2	@Eye_Name_2
30203	skill/S_3020.png	3	@Rune_3	@Eye_Name_2
30204	skill/S_3020.png	4	@Rune_4	@Eye_Name_2
30301	skill/S_3030.png	1	@Rune_1	@Eye_Name_3
30302	skill/S_3030.png	2	@Rune_2	@Eye_Name_3
30303	skill/S_3030.png	3	@Rune_3	@Eye_Name_3
30304	skill/S_3030.png	4	@Rune_4	@Eye_Name_3
30401	skill/S_3040.png	1	@Rune_1	@Eye_Name_4
30402	skill/S_3040.png	2	@Rune_2	@Eye_Name_4
30403	skill/S_3040.png	3	@Rune_3	@Eye_Name_4
30404	skill/S_3040.png	4	@Rune_4	@Eye_Name_4
30501	skill/S_3050.png	1	@Rune_1	@Eye_Name_5
30502	skill/S_3050.png	2	@Rune_2	@Eye_Name_5
30503	skill/S_3050.png	3	@Rune_3	@Eye_Name_5
30504	skill/S_3050.png	4	@Rune_4	@Eye_Name_5
30601	skill/S_3060.png	1	@Rune_1	@Eye_Name_6
30602	skill/S_3060.png	2	@Rune_2	@Eye_Name_6
30603	skill/S_3060.png	3	@Rune_3	@Eye_Name_6
30604	skill/S_3060.png	4	@Rune_4	@Eye_Name_6
30701	skill/S_3070.png	1	@Rune_1	@Eye_Name_7
30702	skill/S_3070.png	2	@Rune_2	@Eye_Name_7
30703	skill/S_3070.png	3	@Rune_3	@Eye_Name_7
30704	skill/S_3070.png	4	@Rune_4	@Eye_Name_7
30801	skill/S_3080.png	1	@Rune_1	@Eye_Name_8
30802	skill/S_3080.png	2	@Rune_2	@Eye_Name_8
30803	skill/S_3080.png	3	@Rune_3	@Eye_Name_8
30804	skill/S_3080.png	4	@Rune_4	@Eye_Name_8
30901	skill/S_3090.png	1	@Rune_1	@Eye_Name_9
30902	skill/S_3090.png	2	@Rune_2	@Eye_Name_9
30903	skill/S_3090.png	3	@Rune_3	@Eye_Name_9
30904	skill/S_3090.png	4	@Rune_4	@Eye_Name_9
31001	skill/S_3100.png	1	@Rune_1	@Eye_Name_10
31002	skill/S_3100.png	2	@Rune_2	@Eye_Name_10
31003	skill/S_3100.png	3	@Rune_3	@Eye_Name_10
31004	skill/S_3100.png	4	@Rune_4	@Eye_Name_10
31101	skill/S_3110.png	1	@Rune_1	@Eye_Name_11
31102	skill/S_3110.png	2	@Rune_2	@Eye_Name_11
31103	skill/S_3110.png	3	@Rune_3	@Eye_Name_11
31104	skill/S_3110.png	4	@Rune_4	@Eye_Name_11
31201	skill/S_3120.png	1	@Rune_1	@Eye_Name_12
31202	skill/S_3120.png	2	@Rune_2	@Eye_Name_12
31203	skill/S_3120.png	3	@Rune_3	@Eye_Name_12
31204	skill/S_3120.png	4	@Rune_4	@Eye_Name_12
31301	skill/S_3130.png	1	@Rune_1	@Eye_Name_13
31302	skill/S_3130.png	2	@Rune_2	@Eye_Name_13
31303	skill/S_3130.png	3	@Rune_3	@Eye_Name_13
31304	skill/S_3130.png	4	@Rune_4	@Eye_Name_13
31401	skill/S_3140.png	1	@Rune_1	@Eye_Name_14
31402	skill/S_3140.png	2	@Rune_2	@Eye_Name_14
31403	skill/S_3140.png	3	@Rune_3	@Eye_Name_14
31404	skill/S_3140.png	4	@Rune_4	@Eye_Name_14
31501	skill/S_3150.png	1	@Rune_1	@Eye_Name_15
31502	skill/S_3150.png	2	@Rune_2	@Eye_Name_15
31503	skill/S_3150.png	3	@Rune_3	@Eye_Name_15
31504	skill/S_3150.png	4	@Rune_4	@Eye_Name_15
