id	名字(name)	难度(difficulty)	推荐战力(power)	monsterId	奖励图标	地图图片路径（icon)	關卡地圖背景	活動類型	奖励物品（reward）	freetpye	怪物头像品质	二次奖励	開啟日期
1	@DM_1_1	1	100	1	Item/G_3_13.png	map/map_024.png	battle_bg_024	1	30000_9001_1	2101	3	0	1,6
2	@DM_1_2	2	100	1	Item/G_3_13.png	map/map_024.png	battle_bg_024	1	30000_9001_2	2101	3	0	1,6
3	@DM_1_3	3	100	1	Item/G_3_13.png	map/map_024.png	battle_bg_024	1	30000_9001_3	2101	3	0	1,6
4	@DM_1_4	4	100	1	Item/G_3_13.png	map/map_024.png	battle_bg_024	1	30000_9001_4	2101	3	0	1,6
5	@DM_1_5	5	100	1	Item/G_3_13.png	map/map_024.png	battle_bg_024	1	30000_9001_4	2101	3	0	1,6
6	@DM_1_6	6	100	1	Item/G_3_13.png	map/map_024.png	battle_bg_024	1	30000_9001_5	2101	3	0	1,6
7	@DM_1_7	7	100	1	Item/G_3_13.png	map/map_024.png	battle_bg_024	1	30000_9001_5	2101	3	0	1,6
8	@DM_1_8	8	100	1	Item/G_3_13.png	map/map_024.png	battle_bg_024	1	30000_9001_6	2101	3	0	1,6
9	@DM_1_9	9	100	1	Item/G_3_13.png	map/map_024.png	battle_bg_024	1	30000_9001_6	2101	3	0	1,6
10	@DM_1_10	10	100	1	Item/G_3_13.png	map/map_024.png	battle_bg_024	1	30000_9001_10	2101	3	0	1,6
21	@DM_2_1	1	100	1	Item/G_3_13.png	map/map_014.png	battle_bg_014	2	30000_9002_1	2101	3	0	2,6
22	@DM_2_2	2	100	1	Item/G_3_13.png	map/map_014.png	battle_bg_014	2	30000_9002_2	2101	3	0	2,6
23	@DM_2_3	3	100	1	Item/G_3_13.png	map/map_014.png	battle_bg_014	2	30000_9002_3	2101	3	0	2,6
24	@DM_2_4	4	100	1	Item/G_3_13.png	map/map_014.png	battle_bg_014	2	30000_9002_4	2101	3	0	2,6
25	@DM_2_5	5	100	1	Item/G_3_13.png	map/map_014.png	battle_bg_014	2	30000_9002_4	2101	3	0	2,6
26	@DM_2_6	6	100	1	Item/G_3_13.png	map/map_014.png	battle_bg_014	2	30000_9002_5	2101	3	0	2,6
27	@DM_2_7	7	100	1	Item/G_3_13.png	map/map_014.png	battle_bg_014	2	30000_9002_5	2101	3	0	2,6
28	@DM_2_8	8	100	1	Item/G_3_13.png	map/map_014.png	battle_bg_014	2	30000_9002_6	2101	3	0	2,6
29	@DM_2_9	9	100	1	Item/G_3_13.png	map/map_014.png	battle_bg_014	2	30000_9002_6	2101	3	0	2,6
30	@DM_2_10	10	100	1	Item/G_3_13.png	map/map_014.png	battle_bg_014	2	30000_9002_10	2101	3	0	2,6
41	@DM_3_1	1	100	1	Item/G_3_13.png	map/map_020.png	battle_bg_020	3	30000_9003_1	2101	3	0	3,6
42	@DM_3_2	2	100	1	Item/G_3_13.png	map/map_020.png	battle_bg_020	3	30000_9003_2	2101	3	0	3,6
43	@DM_3_3	3	100	1	Item/G_3_13.png	map/map_020.png	battle_bg_020	3	30000_9003_3	2101	3	0	3,6
44	@DM_3_4	4	100	1	Item/G_3_13.png	map/map_020.png	battle_bg_020	3	30000_9003_4	2101	3	0	3,6
45	@DM_3_5	5	100	1	Item/G_3_13.png	map/map_020.png	battle_bg_020	3	30000_9003_4	2101	3	0	3,6
46	@DM_3_6	6	100	1	Item/G_3_13.png	map/map_020.png	battle_bg_020	3	30000_9003_5	2101	3	0	3,6
47	@DM_3_7	7	100	1	Item/G_3_13.png	map/map_020.png	battle_bg_020	3	30000_9003_5	2101	3	0	3,6
48	@DM_3_8	8	100	1	Item/G_3_13.png	map/map_020.png	battle_bg_020	3	30000_9003_6	2101	3	0	3,6
49	@DM_3_9	9	100	1	Item/G_3_13.png	map/map_020.png	battle_bg_020	3	30000_9003_6	2101	3	0	3,6
50	@DM_3_10	10	100	1	Item/G_3_13.png	map/map_020.png	battle_bg_020	3	30000_9003_10	2101	3	0	3,6
61	@DM_4_1	1	100	1	Item/G_3_13.png	map/map_021.png	battle_bg_021	4	30000_9004_1	2101	3	0	4,0
62	@DM_4_2	2	100	1	Item/G_3_13.png	map/map_021.png	battle_bg_021	4	30000_9004_1	2101	3	0	4,0
63	@DM_4_3	3	100	1	Item/G_3_13.png	map/map_021.png	battle_bg_021	4	30000_9004_2	2101	3	0	4,0
64	@DM_4_4	4	100	1	Item/G_3_13.png	map/map_021.png	battle_bg_021	4	30000_9004_2	2101	3	0	4,0
65	@DM_4_5	5	100	1	Item/G_3_13.png	map/map_021.png	battle_bg_021	4	30000_9004_3	2101	3	0	4,0
66	@DM_4_6	6	100	1	Item/G_3_13.png	map/map_021.png	battle_bg_021	4	30000_9004_3	2101	3	0	4,0
67	@DM_4_7	7	100	1	Item/G_3_13.png	map/map_021.png	battle_bg_021	4	30000_9004_4	2101	3	0	4,0
68	@DM_4_8	8	100	1	Item/G_3_13.png	map/map_021.png	battle_bg_021	4	30000_9004_4	2101	3	0	4,0
69	@DM_4_9	9	100	1	Item/G_3_13.png	map/map_021.png	battle_bg_021	4	30000_9004_5	2101	3	0	4,0
70	@DM_4_10	10	100	1	Item/G_3_13.png	map/map_021.png	battle_bg_021	4	30000_9004_5	2101	3	0	4,0
81	@DM_5_1	1	100	1	Item/G_3_13.png	map/map_015.png	battle_bg_015	5	30000_9005_1	2101	3	0	5,0
82	@DM_5_2	2	100	1	Item/G_3_13.png	map/map_015.png	battle_bg_015	5	30000_9005_1	2101	3	0	5,0
83	@DM_5_3	3	100	1	Item/G_3_13.png	map/map_015.png	battle_bg_015	5	30000_9005_2	2101	3	0	5,0
84	@DM_5_4	4	100	1	Item/G_3_13.png	map/map_015.png	battle_bg_015	5	30000_9005_2	2101	3	0	5,0
85	@DM_5_5	5	100	1	Item/G_3_13.png	map/map_015.png	battle_bg_015	5	30000_9005_3	2101	3	0	5,0
86	@DM_5_6	6	100	1	Item/G_3_13.png	map/map_015.png	battle_bg_015	5	30000_9005_3	2101	3	0	5,0
87	@DM_5_7	7	100	1	Item/G_3_13.png	map/map_015.png	battle_bg_015	5	30000_9005_4	2101	3	0	5,0
88	@DM_5_8	8	100	1	Item/G_3_13.png	map/map_015.png	battle_bg_015	5	30000_9005_4	2101	3	0	5,0
89	@DM_5_9	9	100	1	Item/G_3_13.png	map/map_015.png	battle_bg_015	5	30000_9005_5	2101	3	0	5,0
90	@DM_5_10	10	100	1	Item/G_3_13.png	map/map_015.png	battle_bg_015	5	30000_9005_5	2101	3	0	5,0
