id	品质	名字	icon	描述	重铸消耗	职业
1	5	@ElementRandTest	Element/Element_204.png	@Element_desc	30000_60008_1	0
2	2	@ElementGreenTest	Element/Element_204.png	@Element_desc	30000_60008_1	0
3	3	@ElementBlueTest	Element/Element_204.png	@Element_desc	30000_60008_1	0
4	4	@ElementPurpleTest	Element/Element_204.png	@Element_desc	30000_60008_1	0
5	5	@ElementOrangeTest	Element/Element_204.png	@Element_desc	30000_60008_1	0
6	2	@ElementLowTest	Element/Element_204.png	@Element_desc	30000_60008_1	0
7	2	@ElementMidTest	Element/Element_204.png	@Element_desc	30000_60008_1	0
8	2	@ElementHighTest	Element/Element_204.png	@Element_desc	30000_60008_1	0
9	2	@Element2ndProperty	Element/Element_204.png	@Element_desc	30000_60008_1	0
10	2	@Element3AttachPropery	Element/Element_204.png	@Element_desc	30000_60008_1	0
11	2	@Element4AttachProperty	Element/Element_204.png	@Element_desc	30000_60008_1	0
12	2	@ElementLow	Element/Element_204.png	@Element_desc	30000_60008_1	0
13	2	@ElementMid	Element/Element_204.png	@Element_desc	30000_60008_1	0
14	2	@ElementHigh	Element/Element_204.png	@Element_desc	30000_60008_1	0
15	2	@ElementGreenUpgradePool	Element/Element_204.png	@Element_desc	30000_60008_1	0
16	2	@ElementBlueUpgradePool	Element/Element_204.png	@Element_desc	30000_60008_1	0
17	2	@ElementPurpleUpgradePool	Element/Element_204.png	@Element_desc	30000_60008_1	0
18	5	@ElementRebuild	Element/Element_204.png	@Element_desc	30000_60008_1	0
19	3	@ElementWarriorUnique	Element/Element_204.png	@Element_desc	30000_60008_1	0
20	3	@ElementHunterUnique	Element/Element_204.png	@Element_desc	30000_60008_1	0
21	3	@ElementMageUnique	Element/Element_204.png	@Element_desc	30000_60008_1	0
1001	5	@ElementSuperDMGCold	Element/Element_204.png	@Element_desc	30000_60008_1	0
1002	5	@ElementSuperDMGFire	Element/Element_204.png	@Element_desc	30000_60008_1	0
1003	5	@ElementSuperDMGThunder	Element/Element_204.png	@Element_desc	30000_60008_1	0
1004	5	@ElementSuperDEFCold	Element/Element_204.png	@Element_desc	30000_60008_1	0
1005	5	@ElementSuperDEFFire	Element/Element_204.png	@Element_desc	30000_60008_1	0
1006	5	@ElementSuperDEFThunder	Element/Element_204.png	@Element_desc	30000_60008_1	0
10001	2	@ElementWinSong	Element/Element_308.png	@Element_desc	30000_60008_1	1
10002	2	@ElementBabarrianPow	Element/Element_307.png	@Element_desc	30000_60008_1	1
10003	2	@ElementWinHeart	Element/Element_308.png	@Element_desc	30000_60008_1	1
10004	2	@ElementArrogance	Element/Element_309.png	@Element_desc	30000_60008_1	1
10005	2	@ElementWarImprint	Element/Element_308.png	@Element_desc	30000_60008_1	1
10006	2	@ElementDeathSwear	Element/Element_309.png	@Element_desc	30000_60008_1	1
10007	2	@ElementKingArmor	Element/Element_307.png	@Element_desc	30000_60008_1	1
10008	2	@ElementFighter	Element/Element_307.png	@Element_desc	30000_60008_1	1
11001	2	@ElementWinSong	Element/Element_308.png	@Element_desc	30000_60008_1	1
11002	2	@ElementBabarrianPow	Element/Element_307.png	@Element_desc	30000_60008_1	1
11003	2	@ElementWinHeart	Element/Element_308.png	@Element_desc	30000_60008_1	1
11004	2	@ElementArrogance	Element/Element_309.png	@Element_desc	30000_60008_1	1
11005	2	@ElementWarImprint	Element/Element_308.png	@Element_desc	30000_60008_1	1
11006	2	@ElementDeathSwear	Element/Element_309.png	@Element_desc	30000_60008_1	1
11007	2	@ElementKingArmor	Element/Element_307.png	@Element_desc	30000_60008_1	1
11008	2	@ElementFighter	Element/Element_307.png	@Element_desc	30000_60008_1	1
12001	2	@ElementWinSong	Element/Element_308.png	@Element_desc	30000_60008_1	1
12002	2	@ElementBabarrianPow	Element/Element_307.png	@Element_desc	30000_60008_1	1
12003	2	@ElementWinHeart	Element/Element_308.png	@Element_desc	30000_60008_1	1
12004	2	@ElementArrogance	Element/Element_309.png	@Element_desc	30000_60008_1	1
12005	2	@ElementWarImprint	Element/Element_308.png	@Element_desc	30000_60008_1	1
12006	2	@ElementDeathSwear	Element/Element_309.png	@Element_desc	30000_60008_1	1
12007	2	@ElementKingArmor	Element/Element_307.png	@Element_desc	30000_60008_1	1
12008	2	@ElementFighter	Element/Element_307.png	@Element_desc	30000_60008_1	1
12501	2	@ElementWinSong	Element/Element_308.png	@Element_desc	30000_60008_1	1
12502	2	@ElementBabarrianPow	Element/Element_307.png	@Element_desc	30000_60008_1	1
12503	2	@ElementWinHeart	Element/Element_308.png	@Element_desc	30000_60008_1	1
12504	2	@ElementArrogance	Element/Element_309.png	@Element_desc	30000_60008_1	1
12505	2	@ElementWarImprint	Element/Element_308.png	@Element_desc	30000_60008_1	1
12506	2	@ElementDeathSwear	Element/Element_309.png	@Element_desc	30000_60008_1	1
12507	2	@ElementKingArmor	Element/Element_307.png	@Element_desc	30000_60008_1	1
12508	2	@ElementFighter	Element/Element_307.png	@Element_desc	30000_60008_1	1
13001	2	@ElementWinSong	Element/Element_308.png	@Element_desc	30000_60008_1	1
13002	2	@ElementBabarrianPow	Element/Element_307.png	@Element_desc	30000_60008_1	1
13003	2	@ElementWinHeart	Element/Element_308.png	@Element_desc	30000_60008_1	1
13004	2	@ElementArrogance	Element/Element_309.png	@Element_desc	30000_60008_1	1
13005	2	@ElementWarImprint	Element/Element_308.png	@Element_desc	30000_60008_1	1
13006	2	@ElementDeathSwear	Element/Element_309.png	@Element_desc	30000_60008_1	1
13007	2	@ElementKingArmor	Element/Element_307.png	@Element_desc	30000_60008_1	1
13008	2	@ElementFighter	Element/Element_307.png	@Element_desc	30000_60008_1	1
