等级	升级经验	吞噬经验	吞噬金币
1	630	500	250000
2	660	520	260000
3	690	540	270000
4	730	560	280000
5	760	580	290000
6	800	600	300000
7	840	620	310000
8	880	640	320000
9	920	660	330000
10	960	680	340000
11	1000	700	350000
12	1040	720	360000
13	1090	740	370000
14	1130	760	380000
15	1180	780	390000
16	1230	800	400000
17	1280	820	410000
18	1330	840	420000
19	1390	860	430000
20	1440	880	440000
21	1500	900	450000
22	1560	920	460000
23	1620	940	470000
24	1680	960	480000
25	1750	980	490000
26	1820	1000	500000
27	1890	1020	510000
28	1960	1040	520000
29	2040	1060	530000
30	2120	1080	540000
31	2200	1100	550000
32	2240	1120	560000
33	2280	1140	570000
34	2320	1160	580000
35	2360	1180	590000
36	2400	1200	600000
37	2440	1220	610000
38	2480	1240	620000
39	2520	1260	630000
40	2560	1280	640000
41	2600	1300	650000
42	2640	1320	660000
43	2680	1340	670000
44	2720	1360	680000
45	2760	1380	690000
46	2800	1400	700000
47	2840	1420	710000
48	2880	1440	720000
49	2920	1460	730000
50	2990	1480	740000
51	3260	1500	750000
52	3560	1520	760000
53	3880	1540	770000
54	4220	1560	780000
55	4600	1580	790000
56	4990	1600	800000
57	5420	1620	810000
58	5870	1640	820000
59	6360	1660	830000
60	6890	1680	840000
61	7450	1700	850000
62	7900	1720	860000
63	8370	1740	870000
64	8860	1760	880000
65	9390	1780	890000
66	9930	1800	900000
67	10510	1820	910000
68	11110	1840	920000
69	11770	1860	930000
70	12430	1880	940000
71	13150	1900	950000
72	13880	1920	960000
73	14660	1940	970000
74	15520	1960	980000
75	16380	1980	990000
76	17310	2000	1000000
77	18240	2020	1010000
78	19240	2040	1020000
79	20320	2060	1030000
80	21500	2080	1040000
81	44110	2100	1050000
82	67830	2120	1060000
83	92650	2140	1070000
84	118580	2160	1080000
85	145610	2180	1090000
86	173740	2200	1100000
87	202970	2220	1110000
88	233300	2240	1120000
89	264720	2260	1130000
90	297240	2280	1140000
91	325600	2300	1150000
92	354130	2320	1160000
93	382830	2340	1170000
94	411680	2360	1180000
95	440680	2380	1190000
96	477590	2400	1200000
97	515600	2420	1210000
98	554710	2440	1220000
99	594920	2460	1230000
100	9999999	2480	1240000
