等级	地图序列
30	1
31	2
32	2
33	2
34	2
35	2
36	3
37	3
38	3
39	3
40	3
41	4
42	4
43	4
44	4
45	4
46	5
47	5
48	5
49	5
50	5
51	6
52	6
53	6
54	6
55	6
56	7
57	7
58	7
59	7
60	7
61	8
62	8
63	8
64	8
65	8
66	9
67	9
68	9
69	9
70	9
71	10
72	10
73	10
74	10
75	10
76	11
77	11
78	11
79	11
80	11
81	12
82	12
83	12
84	12
85	12
86	13
87	13
88	13
89	13
90	13
91	14
92	14
93	14
94	14
95	14
96	15
97	15
98	15
99	15
100	15
101	16
102	16
103	16
104	16
105	16
106	17
107	17
108	17
109	17
110	17
111	18
112	18
113	18
114	18
115	18
116	19
117	19
118	19
119	19
120	19
121	20
122	20
123	20
124	20
125	20
126	21
127	21
128	21
129	21
130	21
131	22
132	22
133	22
134	22
135	22
136	23
137	23
138	23
139	23
140	23
141	24
142	24
143	24
144	24
145	24
146	25
147	25
148	25
149	25
150	25
