id	type	costItem	costCoin
1	1	30000_7182_30	10000
2	1	30000_7182_35	10000
3	1	30000_7182_40	10000
4	1	30000_7182_45	10000
5	1	30000_7182_50	10000
6	1	30000_7182_55	10000
7	1	30000_7182_60	10000
8	1	30000_7182_65	10000
9	1	30000_7182_70	10000
10	1	30000_7182_75	10000
11	1	30000_7182_146	10000
12	1	30000_7182_151	10000
13	1	30000_7182_156	10000
14	1	30000_7182_161	10000
15	1	30000_7182_166	10000
16	1	30000_7182_171	10000
17	1	30000_7182_176	10000
18	1	30000_7182_181	10000
19	1	30000_7182_186	10000
20	1	30000_7182_191	10000
21	1	30000_7182_229	12000
22	1	30000_7182_234	12000
23	1	30000_7182_239	12000
24	1	30000_7182_244	12000
25	1	30000_7182_249	12000
26	1	30000_7182_254	12000
27	1	30000_7182_259	12000
28	1	30000_7182_264	12000
29	1	30000_7182_269	12000
30	1	30000_7182_274	12000
31	1	30000_7182_356	15600
32	1	30000_7182_361	15600
33	1	30000_7182_366	15600
34	1	30000_7182_371	15600
35	1	30000_7182_376	15600
36	1	30000_7182_381	15600
37	1	30000_7182_386	15600
38	1	30000_7182_391	15600
39	1	30000_7182_396	15600
40	1	30000_7182_401	15600
41	1	30000_7182_561	21840
42	1	30000_7182_566	21840
43	1	30000_7182_571	21840
44	1	30000_7182_576	21840
45	1	30000_7182_581	21840
46	1	30000_7182_586	21840
47	1	30000_7182_591	21840
48	1	30000_7182_596	21840
49	1	30000_7182_601	21840
50	1	30000_7182_606	21840
51	1	30000_7182_970	34944
52	1	30000_7182_975	34944
53	1	30000_7182_980	34944
54	1	30000_7182_985	34944
55	1	30000_7182_990	34944
56	1	30000_7182_995	34944
57	1	30000_7182_1000	34944
58	1	30000_7182_1005	34944
59	1	30000_7182_1010	34944
60	1	30000_7182_1015	34944
61	1	30000_7182_1726	59405
62	1	30000_7182_1731	59405
63	1	30000_7182_1736	59405
64	1	30000_7182_1741	59405
65	1	30000_7182_1746	59405
66	1	30000_7182_1751	59405
67	1	30000_7182_1756	59405
68	1	30000_7182_1761	59405
69	1	30000_7182_1766	59405
70	1	30000_7182_1771	59405
71	1	30000_7182_3188	106929
72	1	30000_7182_3193	106929
73	1	30000_7182_3198	106929
74	1	30000_7182_3203	106929
75	1	30000_7182_3208	106929
76	1	30000_7182_3213	106929
77	1	30000_7182_3218	106929
78	1	30000_7182_3223	106929
79	1	30000_7182_3228	106929
80	1	30000_7182_3233	106929
81	1	30000_7182_6143	203165
82	1	30000_7182_6148	203165
83	1	30000_7182_6153	203165
84	1	30000_7182_6158	203165
85	1	30000_7182_6163	203165
86	1	30000_7182_6168	203165
87	1	30000_7182_6173	203165
88	1	30000_7182_6178	203165
89	1	30000_7182_6183	203165
90	1	30000_7182_6188	203165
91	1	30000_7182_12376	406330
92	1	30000_7182_12381	406330
93	1	30000_7182_12386	406330
94	1	30000_7182_12391	406330
95	1	30000_7182_12396	406330
96	1	30000_7182_12401	406330
97	1	30000_7182_12406	406330
98	1	30000_7182_12411	406330
99	1	30000_7182_12416	406330
100	1	30000_7182_12421	406330
